資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
20-002-01	医心方_半井家旧蔵	1	1	經	経	經方	経方			1		去	去去		＊ホウ					0101a8	
20-002-01	医心方_半井家旧蔵	2	1	方	方	經方	経方			2		去	去去	〔右〕ホウ	＊ホウ					0101a8	
20-002-01	医心方_半井家旧蔵	3	2	由	由	由來	由来			1		去	去上	〔左〕ユ	ユライ					0101a8	
20-002-01	医心方_半井家旧蔵	4	2	來	来	由來	由来			2		上	去上	〔左〕ライ	ユライ					0101a8	
20-002-01	医心方_半井家旧蔵	5	3	五	五	五藏	五蔵			1		平	平＊							0101a9	
20-002-01	医心方_半井家旧蔵	6	4	營	営	營衞	営衛			1		平	平去							0101b1	
20-002-01	医心方_半井家旧蔵	7	4	衞	衛	營衞	営衛			2		去	平去							0101b1	
20-002-01	医心方_半井家旧蔵	8	5	盈	盈	盈虚	盈虚			1		東	平平	〔右〕エイ	エイ＊					0101b1	
20-002-01	医心方_半井家旧蔵	9	5	虚	虚	盈虚	盈虚			2		東	平平		エイ＊					0101b1	
20-002-01	医心方_半井家旧蔵	10	6	通	通	通塞	通塞			1		東	平入							0101b1	
20-002-01	医心方_半井家旧蔵	11	6	塞	塞	通塞	通塞			2		入軽	平入							0101b1	
20-002-01	医心方_半井家旧蔵	12	7	緊	緊	弦緊	弦緊			2		上	＊上	〔左〕キン	＊キン	〔右〕居忍反				0101b2	
20-002-01	医心方_半井家旧蔵	13	8	脈	脈	脈	脈			1		入	入	〔右〕ミヤク	ミヤク					0101b2	
20-002-01	医心方_半井家旧蔵	14	9	流	流	流注	流注			1		平	平去							0101b2	
20-002-01	医心方_半井家旧蔵	15	9	注	注	流注	流注			2		去	平去							0101b2	
20-002-01	医心方_半井家旧蔵	16	10	兪	兪	兪穴	兪穴			1		平	平＊	〔右〕ユ	ユ＊	〔右〕羊朱反				0101b2	
20-002-01	医心方_半井家旧蔵	17	11	筋	筋	筋骨	筋骨			1		東	平入	〔右〕キン	キン＊					0101b3	
20-002-01	医心方_半井家旧蔵	18	11	骨	骨	筋骨	筋骨			2		入軽	平入		キン＊					0101b3	
20-002-01	医心方_半井家旧蔵	19	12	厚	厚	厚薄	厚薄			1		去	去入							0101b3	
20-002-01	医心方_半井家旧蔵	20	12	薄	薄	厚薄	厚薄			2		入軽	去入							0101b3	
20-002-01	医心方_半井家旧蔵	21	13	剛	剛	剛柔	剛柔			1		東	平平							0101b3	
20-002-01	医心方_半井家旧蔵	22	13	柔	柔	剛柔	剛柔			2		平	平平							0101b3	
20-002-01	医心方_半井家旧蔵	23	14	肌	肌	肌膚	肌膚			1		東	平平	〔右〕キ	キフ	〔右〕居義反				0101b3	
20-002-01	医心方_半井家旧蔵	24	14	膚	膚	肌膚	肌膚			2		平	平平	〔右〕フ	キフ					0101b3	
20-002-01	医心方_半井家旧蔵	25	15	庶	庶	至庶	至庶			2		東	＊平	〔右〕ソ	＊ソ					0101b5	
20-002-01	医心方_半井家旧蔵	26	16	徹	徹	徹	徹			1		入	入							0101b6	
20-002-01	医心方_半井家旧蔵	27	17	壅	壅	壅	壅			1		上	上							0101b6	
20-002-01	医心方_半井家旧蔵	28	18	筮	筮	卜筮	卜筮			2		去	＊去	〔右〕セイ	＊セイ					0101b8	
20-002-01	医心方_半井家旧蔵	29	19	幽	幽	幽微	幽微			1		東	平平							0101b9	
20-002-01	医心方_半井家旧蔵	30	19	微	微	幽微	幽微			2		平	平平							0101b9	
20-002-01	医心方_半井家旧蔵	31	20	含	含	含靈	含霊			1		去	去上							0102a2	
20-002-01	医心方_半井家旧蔵	32	20	靈	霊	含靈	含霊			2		上	去上							0102a2	
20-002-01	医心方_半井家旧蔵	33	21	怨	怨	怨親	怨親			1				〔右〕エム	エム＊					0102a3	
20-002-01	医心方_半井家旧蔵	34	22	研	研	研蚩	研蚩			1		平	平平		＊シ					0102a3	
20-002-01	医心方_半井家旧蔵	35	22	蚩	蚩	研蚩	研蚩			2		東	平平	〔右〕〔濃朱〕シ	＊シ	〔右〕赤之反				0102a3	
20-002-01	医心方_半井家旧蔵	36	23	有	有	有	有			1		上	上							0102a6	
20-002-01	医心方_半井家旧蔵	37	24	愴	愴	悽愴	悽愴			2		去	＊去			〔右〕初亮反				0102a6	
20-002-01	医心方_半井家旧蔵	38	25	濡	濡	濡禄	濡禄			1		平	平＊	〔右〕シユ	シユ＊					0102a9	
20-002-01	医心方_半井家旧蔵	39	26	羞	羞	珎羞	珎羞			2		東	＊平	〔右〕シウ	＊シウ					0102a9	
20-002-01	医心方_半井家旧蔵	40	27	苦	苦	苦楚	苦楚			1		上	上上		＊ソ					0102b2	
20-002-01	医心方_半井家旧蔵	41	27	楚	楚	苦楚	苦楚			2		上	上上	〔右〕ソ	＊ソ					0102b2	
20-002-01	医心方_半井家旧蔵	42	28	談	談	談謔	談謔			1		平	平入	〔右〕タム	タム＊					0102b4	仮名音注は後の書入か
20-002-01	医心方_半井家旧蔵	43	28	謔	謔	談謔	談謔			2		入軽	平入		タム＊					0102b4	
20-002-01	医心方_半井家旧蔵	44	29	諠	諠	諠譁	諠譁			1		東	平平	〔右〕ケム	ケム＊					0102b4	仮名音注は後の書入か
20-002-01	医心方_半井家旧蔵	45	29	譁	譁	諠譁	諠譁			2		平	平平		ケム＊					0102b4	
20-002-01	医心方_半井家旧蔵	46	30	_	_	_咲	_咲			1		平	平去	〔下〕タウ	タウセウ					0102b4	本行の「調」字を訂正し右傍に「_」字書入、仮名音注は後の書入か
20-002-01	医心方_半井家旧蔵	47	30	咲	咲	_咲	_咲			2		去	平去	〔右〕セウ	タウセウ					0102b4	仮名音注は後の書入か
