資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-008-01	遊仙窟_金剛寺	1	1	卦	卦	卦	卦			1				クワ	クワ					1：1	割注内
30-008-01	遊仙窟_金剛寺	2	2	_	_	眇_	眇_			2		入軽	＊入軽	ハク	＊ハク					1：2	
30-008-01	遊仙窟_金剛寺	3	3	騫	騫	張騫	張騫			2				ケム	＊ケム					1：2	
30-008-01	遊仙窟_金剛寺	4	4	漢	漢	漢	漢			1		去	去							1：2	割注内
30-008-01	遊仙窟_金剛寺	5	5	圖	図	古圖	古図			2				ツ	＊ツ					1：3	割注内
30-008-01	遊仙窟_金剛寺	6	6	績	績	績	績			1				セキ	セキ					1：5	割注内
30-008-01	遊仙窟_金剛寺	7	7	姓	姓	姓	姓			1		去	去							1：5	割注内
30-008-01	遊仙窟_金剛寺	8	8	坂	坂	坂_	坂_			1		上	上去		＊トウ					1：6	
30-008-01	遊仙窟_金剛寺	9	8	_	_	坂_	坂_			2		去	上去	トウ	＊トウ					1：6	
30-008-01	遊仙窟_金剛寺	10	9	崗	崗	崗巒	崗巒			1				カウ	カウラム					2：3	
30-008-01	遊仙窟_金剛寺	11	9	巒	巒	崗巒	崗巒			2				ラム	カウラム					2：3	
30-008-01	遊仙窟_金剛寺	12	10	仞	仞	千仞	千仞			2				シム	＊シム					3：2	
30-008-01	遊仙窟_金剛寺	13	11	波	波	波瀾	波瀾			1				ハ	ハラム					3：5	割注内
30-008-01	遊仙窟_金剛寺	14	11	瀾	瀾	波瀾	波瀾			2				ラム	ハラム					3：5	割注内
30-008-01	遊仙窟_金剛寺	15	12	鉢	鉢	錫鉢	錫鉢			2				ハチ	＊ハチ					3：6	
30-008-01	遊仙窟_金剛寺	16	13	徒	徒	徒子	徒子			1				ト	トシ					4：3	割注内
30-008-01	遊仙窟_金剛寺	17	13	子	子	徒子	徒子			2				シ	トシ					4：3	割注内
30-008-01	遊仙窟_金剛寺	18	14	音	音	惠音	恵音			2		平軽	＊平軽							4：4	割注内
30-008-01	遊仙窟_金剛寺	19	15	聲	声	聲	声			1		平軽	平軽							4：4	割注内
30-008-01	遊仙窟_金剛寺	20	16	號	号	號	号ス			1		去	去							5：1	割注内
30-008-01	遊仙窟_金剛寺	21	17	輝	輝	輝輝	輝輝			1				クヰ	クヰクヰ					5：1	
30-008-01	遊仙窟_金剛寺	22	17	輝	輝	輝輝	輝輝			2				クヰ	クヰクヰ					5：1	踊り字
30-008-01	遊仙窟_金剛寺	23	18	荏	荏	荏	荏			1		平濁	平濁	シム	シム					5：2	
30-008-01	遊仙窟_金剛寺	24	19	苒	苒	苒	苒			2		平	＊平	セム	セム					5：2	
30-008-01	遊仙窟_金剛寺	25	20	_	_	輕_	軽_			1				ナム	ナム＊					5：2	割注内
30-008-01	遊仙窟_金剛寺	26	21	細	細	細細	細細			1		去	去＊							5：4	
30-008-01	遊仙窟_金剛寺	27	22	腰	腰	腰支	腰支			1		去	去去							5：4	
30-008-01	遊仙窟_金剛寺	28	22	支	支	腰支	腰支			2		去	去去							5：4	
30-008-01	遊仙窟_金剛寺	29	23	韓	韓	韓娥	韓娥			1		平	平＊	カム	カム＊					5：5	
30-008-01	遊仙窟_金剛寺	30	24	宋	宋	宋玉	宋玉			1		去	去＊							5：5	
30-008-01	遊仙窟_金剛寺	31	25	韓	韓	韓娥	韓娥			1		平／去	平＊／去＊							5：5	割注内、去声点はなし？
30-008-01	遊仙窟_金剛寺	32	26	襄	襄	襄王	襄王			1		平軽	平軽＊	シヤウ	シヤウ＊					5：6	割注内
30-008-01	遊仙窟_金剛寺	33	27	冶	冶	容冶	容冶			2				ヤ	＊ヤ					5：6	割注内
30-008-01	遊仙窟_金剛寺	34	28	微	微	微辭	微辞			1				ヒ	ヒシ					5：6	割注内
30-008-01	遊仙窟_金剛寺	35	28	辭	辞	微辭	微辞			2				シ	ヒシ					5：6	割注内
30-008-01	遊仙窟_金剛寺	36	29	寡	寡	寡人	寡人			1				クワ	クワ＊					5：6	割注内
30-008-01	遊仙窟_金剛寺	37	30	絳	絳	絳樹	絳樹			1		去	去去	カウ	カウ＊					6：1	
30-008-01	遊仙窟_金剛寺	38	30	樹	樹	絳樹	絳樹			2		去	去去		カウ＊					6：1	
30-008-01	遊仙窟_金剛寺	39	31	青	青	青琴	青琴			1		平軽	平軽＊							6：1	
30-008-01	遊仙窟_金剛寺	40	32	欽	欽	繁欽	繁欽			2				キム	＊キム					6：2	割注内
30-008-01	遊仙窟_金剛寺	41	33	妙	妙	妙舞	妙舞			1		去濁	去濁＊							6：2	割注内
30-008-01	遊仙窟_金剛寺	42	34	孟	孟	孟獻忠	孟献忠			1		去	去去平軽							6：2	割注内
30-008-01	遊仙窟_金剛寺	43	34	獻	献	孟獻忠	孟献忠			2		去	去去平軽							6：2	割注内
30-008-01	遊仙窟_金剛寺	44	34	忠	忠	孟獻忠	孟献忠			3		平軽	去去平軽							6：2	割注内
30-008-01	遊仙窟_金剛寺	45	35	場	場	文場	文場			2		去	＊去							6：2	割注内
30-008-01	遊仙窟_金剛寺	46	36	美	美	美夫	美夫			1				ヒ	ヒフ					6：3	割注内
30-008-01	遊仙窟_金剛寺	47	36	夫	夫	美夫	美夫			2				フ	ヒフ					6：3	割注内
30-008-01	遊仙窟_金剛寺	48	37	青	青	青琴	青琴			1		平軽	平軽平							6：3	割注内
30-008-01	遊仙窟_金剛寺	49	37	琴	琴	青琴	青琴			2		平	平軽平							6：3	割注内
30-008-01	遊仙窟_金剛寺	50	38	_	_	_妃	_妃			1				ヒツ	ヒツヒ					6：3	割注内
30-008-01	遊仙窟_金剛寺	51	38	妃	妃	_妃	_妃			2				ヒ	ヒツヒ					6：3	割注内
30-008-01	遊仙窟_金剛寺	52	39	嚴	厳	伏嚴	伏厳			2				ケム	＊ケム					6：3	割注内
30-008-01	遊仙窟_金剛寺	53	40	卒	卒	倉卒	倉卒			2				ソツ	＊ソツ					6：4	割注内
30-008-01	遊仙窟_金剛寺	54	41	内	内	内裏	内裏			1		去濁	去濁＊							6：6	
30-008-01	遊仙窟_金剛寺	55	42	筝	筝	筝	筝			1		去	去	シヤウ	シヤウ					6：6	
30-008-01	遊仙窟_金剛寺	56	43	可	可	可愛	可愛			1				カ	カアイ					7：1	割注内
30-008-01	遊仙窟_金剛寺	57	43	愛	愛	可愛	可愛			2				アイ	カアイ					7：1	割注内
30-008-01	遊仙窟_金剛寺	58	44	恣	恣	恣	恣			1				シ	シ					7：1	割注内、音注でない？
30-008-01	遊仙窟_金剛寺	59	45	嬌	嬌	嬌	嬌			1				コ	コ					7：1	割注内、音注でない？
30-008-01	遊仙窟_金剛寺	60	46	欺	欺	欺	欺			1				コ	コ					7：2	割注内
30-008-01	遊仙窟_金剛寺	61	47	辛	辛	辛苦	辛苦			1				シム	シムコ					8：2	
30-008-01	遊仙窟_金剛寺	62	47	苦	苦	辛苦	辛苦			2				コ	シムコ					8：2	
30-008-01	遊仙窟_金剛寺	63	48	娘	娘	十娘	十娘			2				チヤウ	＊チヤウ					8：3	
30-008-01	遊仙窟_金剛寺	64	49	斂	斂	斂咲	斂咲			1				レム	レムセウ					8：3	
30-008-01	遊仙窟_金剛寺	65	49	咲	咲	斂咲	斂咲			2				セウ	レムセウ					8：3	
30-008-01	遊仙窟_金剛寺	66	50	含	含	含羞	含羞			1		平	平平	カム	カムシウ					8：5	
30-008-01	遊仙窟_金剛寺	67	50	羞	羞	含羞	含羞			2		平	平平	シウ	カムシウ					8：5	
30-008-01	遊仙窟_金剛寺	68	51	耐	耐	耐	耐			1				タイ	タイ					9：1	割注内
30-008-01	遊仙窟_金剛寺	69	52	佳	佳	佳麗	佳麗			1				カ	カ＊					9：3	割注内
30-008-01	遊仙窟_金剛寺	70	53	沈	沈	沈吟	沈吟			1				チム	チムキム					9：4	
30-008-01	遊仙窟_金剛寺	71	53	吟	吟	沈吟	沈吟			2				キム	チムキム					9：5	
30-008-01	遊仙窟_金剛寺	72	54	_	_	__	__			1				ハウ	ハウクワウ					9：5	
30-008-01	遊仙窟_金剛寺	73	54	_	_	__	__			2				クワウ	ハウクワウ					9：5	
30-008-01	遊仙窟_金剛寺	74	55	徒	徒	徒倚	徒倚			1				シ	シイ					9：5	「徙か」と注
30-008-01	遊仙窟_金剛寺	75	55	倚	倚	徒倚	徒倚			2				イ	シイ					9：5	
30-008-01	遊仙窟_金剛寺	76	56	聲	声	聲色	声色			1		平軽	平軽入軽							10：1	
30-008-01	遊仙窟_金剛寺	77	56	色	色	聲色	声色			2		入軽	平軽入軽							10：1	
30-008-01	遊仙窟_金剛寺	78	57	佳	佳	佳期	佳期			1				カ	カキ					10：1	
30-008-01	遊仙窟_金剛寺	79	57	期	期	佳期	佳期			2				キ	カキ					10：1	
30-008-01	遊仙窟_金剛寺	80	58	離	離	離騷	離騒			1				リ	リサウ					10：2	割注内
30-008-01	遊仙窟_金剛寺	81	58	騷	騒	離騷	離騒			2				サウ	リサウ					10：2	割注内
30-008-01	遊仙窟_金剛寺	82	59	善	善	李善	李善			2		去	＊去							10：2	割注内
30-008-01	遊仙窟_金剛寺	83	60	始	始	始秋	始秋			1				シ	シシウ					10：2	割注内
30-008-01	遊仙窟_金剛寺	84	60	秋	秋	始秋	始秋			2				シウ	シシウ					10：2	割注内
30-008-01	遊仙窟_金剛寺	85	61	蘋	蘋	蘋草	蘋草			1		平	平上	ヒム	ヒム＊					10：2	割注内
30-008-01	遊仙窟_金剛寺	86	61	草	草	蘋草	蘋草			2		上	平上		ヒム＊					10：2	割注内
30-008-01	遊仙窟_金剛寺	87	62	望	望	望平	望平			1		去濁	去濁平							10：2	割注内
30-008-01	遊仙窟_金剛寺	88	62	平	平	望平	望平			2		平	去濁平							10：2	割注内
30-008-01	遊仙窟_金剛寺	89	63	設	設	設具	設具			1		入軽	入軽平濁							10：2	割注内
30-008-01	遊仙窟_金剛寺	90	63	具	具	設具	設具			2		平濁	入軽平濁							10：2	割注内
30-008-01	遊仙窟_金剛寺	91	64	夕	夕	夕旦	夕旦			1		入	入去							10：2	割注内
30-008-01	遊仙窟_金剛寺	92	64	旦	旦	夕旦	夕旦			2		去	入去							10：2	割注内
30-008-01	遊仙窟_金剛寺	93	65	洒	洒	洒掃	洒掃			1				セイ	セイサウ					10：3	割注内
30-008-01	遊仙窟_金剛寺	94	65	掃	掃	洒掃	洒掃			2				サウ	セイサウ					10：3	割注内
30-008-01	遊仙窟_金剛寺	95	66	施	施	施	施			1		平	平							10：3	割注内
30-008-01	遊仙窟_金剛寺	96	67	帷	帷	帷帳	帷帳			1				ヰ	ヰ＊					10：3	割注内
30-008-01	遊仙窟_金剛寺	97	68	_	_	_響	_響			1				キム	キムキヤウ					10：3	割注内
30-008-01	遊仙窟_金剛寺	98	68	響	響	_響	_響			2				キヤウ	キムキヤウ					10：3	割注内
30-008-01	遊仙窟_金剛寺	99	69	郡	郡	蜀郡	蜀郡			2		去	＊去							10：4	
30-008-01	遊仙窟_金剛寺	100	70	文	文	文君	文君			1		平濁	平濁＊							10：4	
30-008-01	遊仙窟_金剛寺	101	71	商	商	商陵	商陵			1		平軽	平軽平							10：4	割注内
30-008-01	遊仙窟_金剛寺	102	71	陵	陵	商陵	商陵			2		平	平軽平							10：4	割注内
30-008-01	遊仙窟_金剛寺	103	72	牧	牧	牧子	牧子			1		入軽濁	入軽濁＊							10：4	割注内
30-008-01	遊仙窟_金剛寺	104	73	父	父	父兄	父兄			1				フ	フ＊					10：4	割注内
30-008-01	遊仙窟_金剛寺	105	74	枚	枚	枚子	枚子			1		平	平平軽							10：5	割注内、牧の誤りか
30-008-01	遊仙窟_金剛寺	106	74	子	子	枚子	枚子			2		平軽	平平軽							10：5	割注内
30-008-01	遊仙窟_金剛寺	107	75	齊	斉	齊■公	斉■公			1		平	平＊＊	セイ	セイクヱン＊					10：6	割注内
30-008-01	遊仙窟_金剛寺	108	75	■	■	齊■公	斉■公			2			平＊＊	クヱン	セイクヱン＊					10：6	割注内、桓か
30-008-01	遊仙窟_金剛寺	109	76	■	■	■	■			2				クヰヨウ	クヰヨウ					11：1	割注内
30-008-01	遊仙窟_金剛寺	110	77	王	王	■王	■王			2		平	＊平							11：1	割注内
30-008-01	遊仙窟_金剛寺	111	78	吉	吉	吉	吉			1		入軽	入軽							11：1	割注内
30-008-01	遊仙窟_金剛寺	112	79	卓	卓	卓王孫	卓王孫			1			＊平＊	タク	タク＊＊					11：1	割注内
30-008-01	遊仙窟_金剛寺	113	79	王	王	卓王孫	卓王孫			2		平	＊平＊		タク＊＊					11：1	割注内
30-008-01	遊仙窟_金剛寺	114	80	長	長	長卿	長卿			1		平	平平軽		＊ケイ					11：1	割注内
30-008-01	遊仙窟_金剛寺	115	80	卿	卿	長卿	長卿			2		平軽	平平軽	ケイ	＊ケイ					11：1	割注内
30-008-01	遊仙窟_金剛寺	116	81	弄	弄	弄玉	弄玉			1				ロウ	ロウキヨク					11：3	
30-008-01	遊仙窟_金剛寺	117	81	玉	玉	弄玉	弄玉			2				キヨク	ロウキヨク					11：3	
30-008-01	遊仙窟_金剛寺	118	82	簫	簫	簫史	簫史			1				セウ	セウシ					11：3	割注内
30-008-01	遊仙窟_金剛寺	119	82	史	史	簫史	簫史			2				シ	セウシ					11：3	割注内
30-008-01	遊仙窟_金剛寺	120	83	雍	雍	雍宮	雍宮			1		去	去平軽	ヰヨウ	ヰヨウ＊					11：5	割注内
30-008-01	遊仙窟_金剛寺	121	83	宮	宮	雍宮	雍宮			2		平軽	去平軽		ヰヨウ＊					11：5	割注内
30-008-01	遊仙窟_金剛寺	122	84	簫	簫	簫	簫			1				セウ	セウ					11：5	割注内
30-008-01	遊仙窟_金剛寺	123	85	妖	妖	妖冶	妖冶			1				エウ	エウヤ					11：6	割注内
30-008-01	遊仙窟_金剛寺	124	85	冶	冶	妖冶	妖冶			2				ヤ	エウヤ					11：6	割注内
30-008-01	遊仙窟_金剛寺	125	86	秦	秦	秦	秦			1				シム	シム					12：1	割注内
30-008-01	遊仙窟_金剛寺	126	87	甫	甫	交甫	交甫			2				フ	＊フ					12：1	割注内
30-008-01	遊仙窟_金剛寺	127	88	魃	魃	魃服	魃服			1				ハツ	ハツ＊					12：2	割注内
30-008-01	遊仙窟_金剛寺	128	89	荊	荊	荊鷄卵	荊鶏卵			1		平	平平＊							12：2	割注内
30-008-01	遊仙窟_金剛寺	129	89	鷄	鶏	荊鷄卵	荊鶏卵			2		平	平平＊							12：2	割注内
30-008-01	遊仙窟_金剛寺	130	90	交	交	交甫	交甫			1				ケウ	ケウフ					12：2	割注内、カウか
30-008-01	遊仙窟_金剛寺	131	90	甫	甫	交甫	交甫			2				フ	ケウフ					12：2	割注内
30-008-01	遊仙窟_金剛寺	132	91	合	合	合_	合_			1		入	入平		＊キム					12：3	
30-008-01	遊仙窟_金剛寺	133	91	_	_	合_	合_			2		平	入平	キム	＊キム					12：3	
30-008-01	遊仙窟_金剛寺	134	92	婚	婚	婚揖	婚揖			1		去濁	去濁＊							12：4	割注内、声点でない？
30-008-01	遊仙窟_金剛寺	135	93	牢	牢	牢	牢			1				ラウ	ラウ					12：4	割注内
30-008-01	遊仙窟_金剛寺	136	94	匏	匏	匏	匏			1				ハウ	ハウ					12：5	割注内
30-008-01	遊仙窟_金剛寺	137	95	〓	〓（小＋木）	〓_	〓_			1				ホク	ホクテキ					12：5	割注内
30-008-01	遊仙窟_金剛寺	138	95	_	_	〓_	〓_			2				テキ	ホクテキ					12：6	割注内
