資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-011-01	浄土論註_西本願寺	1	1	相	相	外道相	外道相			2		平	＊＊平	シヤウ反	＊＊シヤウ					上2.1	
30-011-01	浄土論註_西本願寺	2	2	事	事	事	事			1		平濁	平濁							上2.4	
30-011-01	浄土論註_西本願寺	3	3	衍	衍	上衍	上衍			2				〔墨〕エン反／〔左〕〔墨〕カン反	＊エン／＊カン					上3.2	
30-011-01	浄土論註_西本願寺	4	4	衍	衍	衍字	衍字			2						口旦反				上3.2	
30-011-01	浄土論註_西本願寺	5	5	航	航	風航	風航			2				カウ	＊カウ					上3.3	
30-011-01	浄土論註_西本願寺	6	6	婆	婆	婆數槃頭菩薩	婆数槃頭菩薩			1				ハ	ハソハンツ＊＊					上3.6	
30-011-01	浄土論註_西本願寺	7	6	數	数	婆數槃頭菩薩	婆数槃頭菩薩			1				ソ	ハソハンツ＊＊					上3.6	
30-011-01	浄土論註_西本願寺	8	6	槃	槃	婆數槃頭菩薩	婆数槃頭菩薩			2				ハン	ハソハンツ＊＊					上3.6	
30-011-01	浄土論註_西本願寺	9	6	頭	頭	婆數槃頭菩薩	婆数槃頭菩薩			1				ツ	ハソハンツ＊＊					上3.6	
30-011-01	浄土論註_西本願寺	10	7	膺	膺	服膺	服膺シテ			2				〔左〕〔墨〕ヰヨ反	＊ヰヨ					上3.6	
30-011-01	浄土論註_西本願寺	11	8	隅	隅	隅隅	隅隅			1				ク	＊ク					上4.3	
30-011-01	浄土論註_西本願寺	12	9	制	制	制作	制作			2				セイ	セイサク					上4.4	
30-011-01	浄土論註_西本願寺	13	9	作	作	制作	制作			2				サク	セイサク					上4.4	
30-011-01	浄土論註_西本願寺	14	10	軆	軆	軆例	軆例			2		平	平去							上4.5	
30-011-01	浄土論註_西本願寺	15	10	例	例	軆例	軆例			2		去	平去							上4.5	
30-011-01	浄土論註_西本願寺	16	11	事	事	事	事			1		平濁	平濁							上5.4	
30-011-01	浄土論註_西本願寺	17	12	仍	仍	仍字	仍字			2						如承反				上5.6	
30-011-01	浄土論註_西本願寺	18	13	如	如	如承反	如承反			1				〔墨〕シヨ	シヨ＊＊					上5.6	
30-011-01	浄土論註_西本願寺	19	14a	生	生	生	生			2		去	去							上7.4	
30-011-01	浄土論註_西本願寺	20	14b	生	生	生	生			2		去	去							上7.5	
30-011-01	浄土論註_西本願寺	21	15	藪	藪	婆藪	婆藪			1				ソ	＊ソ					上7.6	
30-011-01	浄土論註_西本願寺	22	16	習	習	習氣	習氣			2		入	入平							上10.5	
30-011-01	浄土論註_西本願寺	23	16	氣	氣	習氣	習氣			1		平	入平							上10.5	
30-011-01	浄土論註_西本願寺	24	17	歸	歸	歸	歸シタテマツル歸			1		上	上＊							上11.3	
30-011-01	浄土論註_西本願寺	25	18	督	督	自督	自督			2				〔墨〕トク	＊トク					上12.2	
30-011-01	浄土論註_西本願寺	26	19	詞	詞	詞	詞			1		上	上							上12.2	
30-011-01	浄土論註_西本願寺	27	20	彼	彼	彼此	彼此			1		平	平平							上14.3	
30-011-01	浄土論註_西本願寺	28	20	此	此	彼此	彼此			1		平	平平							上14.3	
30-011-01	浄土論註_西本願寺	29	21	事	事	事	事			1		平濁	平濁							上18.2	
30-011-01	浄土論註_西本願寺	30	22	心	心	心	心			2		去	去							上21.6	
30-011-01	浄土論註_西本願寺	31	23	事	事	事	事			1		平濁	平濁							上24.4	
30-011-01	浄土論註_西本願寺	32	24	_	_	_	_			2				シヤク	シヤク					上25.1	
30-011-01	浄土論註_西本願寺	33	25	蠖	蠖	蠖	蠖			2		〔墨〕去	去	クワク	クワク					上25.1	
30-011-01	浄土論註_西本願寺	34	26	環	環	修環	修環スルカ			2				クワン	＊クワン					上25.1	
30-011-01	浄土論註_西本願寺	35	27	蠶	蚕	蠶	蚕			2				サム	サム					上25.1	
30-011-01	浄土論註_西本願寺	36	28	繭	繭	繭	繭			2		〔墨〕去	去	ケン	ケン					上25.2	
30-011-01	浄土論註_西本願寺	37	29	壞	壊	破壞	破壊			1				ヱ	＊ヱ					上26.1	
30-011-01	浄土論註_西本願寺	38	30	脩	脩	脩短	脩短			2				シウ	シウタン					上27.4	
30-011-01	浄土論註_西本願寺	39	30	短	短	脩短	脩短			2				タン	シウタン					上27.4	
30-011-01	浄土論註_西本願寺	40	31	脩	脩	脩環	脩環			2				シウ	シウ＊					上27.5	
30-011-01	浄土論註_西本願寺	41	32	環	環	修環	修環			2				クワン	＊クワン					上27.5	
