資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	Unnamed: 22
30-022-02	唯信鈔文意_専修寺_正月二十七日本	1	1	唯	唯	唯信抄	唯信抄			1	2			ユイ	ユイシンセウ					3.2		唯信抄
30-022-02	唯信鈔文意_専修寺_正月二十七日本	2	1	信	信	唯信抄	唯信抄			2	2			シン	ユイシンセウ					3.2		唯信抄
30-022-02	唯信鈔文意_専修寺_正月二十七日本	3	1	抄	抄	唯信抄	唯信抄			3	2			セウ	ユイシンセウ					3.2		唯信抄
30-022-02	唯信鈔文意_専修寺_正月二十七日本	4	2a	唯	唯	唯	唯			1	2			ユイ	ユイ					3.2		唯
30-022-02	唯信鈔文意_専修寺_正月二十七日本	5	2b	唯	唯	唯	唯			1	2			ユイ	ユイ					3.4		唯
30-022-02	唯信鈔文意_専修寺_正月二十七日本	6	3	信	信	信	信			1	2			シン	シン					3.5		信
30-022-02	唯信鈔文意_専修寺_正月二十七日本	7	4	眞	真	眞實	真實			1	2			シン	シンシチ					4.1		真實
30-022-02	唯信鈔文意_専修寺_正月二十七日本	8	4	實	實	眞實	真實			2	2			シチ	シンシチ					4.2		真實
30-022-02	唯信鈔文意_専修寺_正月二十七日本	9	5	信	信	信心	信心			1	2			シン	シンシム					4.2		信心
30-022-02	唯信鈔文意_専修寺_正月二十七日本	10	5	心	心	信心	信心			2	2			シム	シンシム					4.2		信心
30-022-02	唯信鈔文意_専修寺_正月二十七日本	11	6	虚	虚	虚假	虚假			1	1			コ	コケ					4.2		虚假
30-022-02	唯信鈔文意_専修寺_正月二十七日本	12	6	假	假	虚假	虚假			2	1			ケ	コケ					4.2		虚假
30-022-02	唯信鈔文意_専修寺_正月二十七日本	13	7	虚	虚	虚	虚			1	1			コ	コ					4.3		虚
30-022-02	唯信鈔文意_専修寺_正月二十七日本	14	8	假	假	假	假			1	1			ケ	ケ					4.3		假
30-022-02	唯信鈔文意_専修寺_正月二十七日本	15	9	虚	虚	虚	虚			1	1			コ	コ					4.4		虚
30-022-02	唯信鈔文意_専修寺_正月二十七日本	16	10	實	實	實	實			1	2			シチ	シチ					4.5		實
30-022-02	唯信鈔文意_専修寺_正月二十七日本	17	11	假	假	假	假			1	1			ケ	ケ					4.5		假
30-022-02	唯信鈔文意_専修寺_正月二十七日本	18	12	眞	眞	眞	眞			1	2			シン	シン					4.5		眞
30-022-02	唯信鈔文意_専修寺_正月二十七日本	19	13	本	本	本願他力	本願他力			1	2			ホン	ホンクワンタリキ					5.1		本願他力
30-022-02	唯信鈔文意_専修寺_正月二十七日本	20	13	願	願	本願他力	本願他力			2	2			クワン	ホンクワンタリキ					5.1		本願他力
30-022-02	唯信鈔文意_専修寺_正月二十七日本	21	13	他	他	本願他力	本願他力			3	1			タ	ホンクワンタリキ					5.1		本願他力
30-022-02	唯信鈔文意_専修寺_正月二十七日本	22	13	力	力	本願他力	本願他力			4	2			リキ	ホンクワンタリキ					5.1		本願他力
30-022-02	唯信鈔文意_専修寺_正月二十七日本	23	14	自	自	自力	自力			1	1			シ	シリキ					5.2		自力
30-022-02	唯信鈔文意_専修寺_正月二十七日本	24	14	力	力	自力	自力			2	2			リキ	シリキ					5.2		自力
30-022-02	唯信鈔文意_専修寺_正月二十七日本	25	15	唯	唯	唯信	唯信			1	2			ユイ	ユイシン					5.2		唯信
30-022-02	唯信鈔文意_専修寺_正月二十七日本	26	15	信	信	唯信	唯信			2	2			シン	ユイシン					5.2		唯信
30-022-02	唯信鈔文意_専修寺_正月二十七日本	27	16	鈔	鈔	鈔	鈔			1	2			セウ	セウ					5.3		鈔
30-022-02	唯信鈔文意_専修寺_正月二十七日本	28	17	唯	唯	唯信鈔	唯信鈔			1	2			ユイ	ユイシンセウ					5.4		唯信鈔
30-022-02	唯信鈔文意_専修寺_正月二十七日本	29	17	信	信	唯信鈔	唯信鈔			2	2			シン	ユイシンセウ					5.5		唯信鈔
30-022-02	唯信鈔文意_専修寺_正月二十七日本	30	17	鈔	鈔	唯信鈔	唯信鈔			3	2			セウ	ユイシンセウ					5.5		唯信鈔
30-022-02	唯信鈔文意_専修寺_正月二十七日本	31	18	唯	唯	唯信	唯信			1	2			ユイ	ユイシン					5.5		唯信
30-022-02	唯信鈔文意_専修寺_正月二十七日本	32	18	信	信	唯信	唯信			2	2			シン	ユイシン					5.5		唯信
30-022-02	唯信鈔文意_専修寺_正月二十七日本	33	19	他	他	他力	他力			1	1			タ	タリキ					6.1		他力
30-022-02	唯信鈔文意_専修寺_正月二十七日本	34	19	力	力	他力	他力			2	2			リキ	タリキ					6.1		他力
30-022-02	唯信鈔文意_専修寺_正月二十七日本	35	20	信	信	信心	信心			1	2			シン	シンシム					6.1		信心
30-022-02	唯信鈔文意_専修寺_正月二十七日本	36	20	心	心	信心	信心			2	2			シム	シンシム					6.1		信心
30-022-02	唯信鈔文意_専修寺_正月二十七日本	37	21	餘	餘	餘	餘			1	1			ヨ	ヨ					6.1		餘
30-022-02	唯信鈔文意_専修寺_正月二十七日本	38	22	本	本	本弘誓願	本弘誓願			1	2			ホン	ホンクセイクワン					6.2		本弘誓願
30-022-02	唯信鈔文意_専修寺_正月二十七日本	39	22	弘	弘	本弘誓願	本弘誓願			2	1			ク	ホンクセイクワン					6.2		本弘誓願
30-022-02	唯信鈔文意_専修寺_正月二十七日本	40	22	誓	誓	本弘誓願	本弘誓願			3	2			セイ	ホンクセイクワン					6.3		本弘誓願
30-022-02	唯信鈔文意_専修寺_正月二十七日本	41	22	願	願	本弘誓願	本弘誓願			4	2			クワン	ホンクセイクワン					6.3		本弘誓願
30-022-02	唯信鈔文意_専修寺_正月二十七日本	42	23	如	如	如來尊號甚分明	如來尊號甚分明			1	1			ニヨ	ニヨライソンカウシムフンミヤウ					6.4		如來尊號甚分明
30-022-02	唯信鈔文意_専修寺_正月二十七日本	43	23	來	來	如來尊號甚分明	如來尊號甚分明			2	2			ライ	ニヨライソンカウシムフンミヤウ					6.4		如來尊號甚分明
30-022-02	唯信鈔文意_専修寺_正月二十七日本	44	23	尊	尊	如來尊號甚分明	如來尊號甚分明			3	2			ソン	ニヨライソンカウシムフンミヤウ					6.4		如來尊號甚分明
