資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	SAT所在
30-038-02	正保版魚山私抄五悔	1	1	一	一	一切	一切			1								e4		26a5		T2713_.84.0829a09
30-038-02	正保版魚山私抄五悔	2	1	切	切	一切	一切			2								e4		26a5		T2713_.84.0829a09
30-038-02	正保版魚山私抄五悔	3	2	恭	恭	恭敬	恭敬			1								e5		26a5		T2713_.84.0829a09
30-038-02	正保版魚山私抄五悔	4	2	敬	敬	恭敬	恭敬			2								fr4		26a5		T2713_.84.0829a09
30-038-02	正保版魚山私抄五悔	5	3	敬	敬	敬禮	敬礼			1								r3		26a5		T2713_.84.0829a09
30-038-02	正保版魚山私抄五悔	6	3	禮	礼	敬禮	敬礼			2								e4		26a5		T2713_.84.0829a09
30-038-02	正保版魚山私抄五悔	7	4	常	常	常住	常住			1								e2		26a5		T2713_.84.0829a09
30-038-02	正保版魚山私抄五悔	8	4	住	住	常住	常住			2								rfR3		26a5		T2713_.84.0829a09
30-038-02	正保版魚山私抄五悔	9	5	三	三	三寶	三寶			1								f5		26a5		T2713_.84.0829a09
30-038-02	正保版魚山私抄五悔	10	6	寳	寳	三寳	三寳			2								e4		26a5		T2713_.84.0829a09
30-038-02	正保版魚山私抄五悔	11	7	娑	娑	娑縛婆縛_駄	娑縛婆縛_駄			1								e5		26b1	音写字	T2713_.84.0829a10
30-038-02	正保版魚山私抄五悔	12	7	縛	縛	娑縛婆縛_駄	娑縛婆縛_駄			2								r5		26b1	音写字	T2713_.84.0829a10
30-038-02	正保版魚山私抄五悔	13	7	婆	婆	娑縛婆縛_駄	娑縛婆縛_駄			3								f5		26b1	音写字	T2713_.84.0829a10
30-038-02	正保版魚山私抄五悔	14	7	縛	縛	娑縛婆縛_駄	娑縛婆縛_駄			4								e4		26b1	音写字	T2713_.84.0829a10
30-038-02	正保版魚山私抄五悔	15	7	_	_	娑縛婆縛_駄	娑縛婆縛_駄			5								e'5		26b1	音写字	T2713_.84.0829a10
30-038-02	正保版魚山私抄五悔	16	7	駄	駄	娑縛婆縛_駄	娑縛婆縛_駄			6								e4		26b1	音写字	T2713_.84.0829a10
30-038-02	正保版魚山私抄五悔	17	8	薩	薩	薩縛達_	薩縛達_			1								e5		26b2	音写字	T2713_.84.0829a11
30-038-02	正保版魚山私抄五悔	18	8	縛	縛	薩縛達_	薩縛達_			2								e5		26b2	音写字	T2713_.84.0829a11
30-038-02	正保版魚山私抄五悔	19	8	達	達	薩縛達_	薩縛達_			3								fr4		26b2	音写字	T2713_.84.0829a11
30-038-02	正保版魚山私抄五悔	20	8	_	_	薩縛達_	薩縛達_			4								e4		26b2	音写字	T2713_.84.0829a11
30-038-02	正保版魚山私抄五悔	21	9	娑	娑	娑縛婆縛_度憾	娑縛婆縛_度憾			1								e5		26b3	音写字	T2713_.84.0829a12
30-038-02	正保版魚山私抄五悔	22	9	縛	縛	娑縛婆縛_度憾	娑縛婆縛_度憾			2								e5		26b3	音写字	T2713_.84.0829a12
30-038-02	正保版魚山私抄五悔	23	9	婆	婆	娑縛婆縛_度憾	娑縛婆縛_度憾			3								r4		26b3	音写字	T2713_.84.0829a12
30-038-02	正保版魚山私抄五悔	24	9	縛	縛	娑縛婆縛_度憾	娑縛婆縛_度憾			4								e4		26b3	音写字	T2713_.84.0829a12
30-038-02	正保版魚山私抄五悔	25	9	_	_	娑縛婆縛_度憾	娑縛婆縛_度憾			5								e'5		26b3	音写字	T2713_.84.0829a12
30-038-02	正保版魚山私抄五悔	26	9	度	度	娑縛婆縛_度憾	娑縛婆縛_度憾			6								e4		26b3	音写字	T2713_.84.0829a12
30-038-02	正保版魚山私抄五悔	27	9	憾	憾	娑縛婆縛_度憾	娑縛婆縛_度憾			7								e4		26b3	音写字	T2713_.84.0829a12
30-038-02	正保版魚山私抄五悔	28	10	薩	薩	薩縛怛他__多	薩縛怛他__多			1								e5		27a1	音写字	T2713_.84.0829b01
30-038-02	正保版魚山私抄五悔	29	10	縛	縛	薩縛怛他__多	薩縛怛他__多			2								r5		27a1	音写字	T2713_.84.0829b01
30-038-02	正保版魚山私抄五悔	30	10	怛	怛	薩縛怛他__多	薩縛怛他__多			3								e'5		27a1	音写字	T2713_.84.0829b01
30-038-02	正保版魚山私抄五悔	31	10	他	他	薩縛怛他__多	薩縛怛他__多			4								f4		27a1	音写字	T2713_.84.0829b01
30-038-02	正保版魚山私抄五悔	32	10	__	__	薩縛怛他__多	薩縛怛他__多			5								e'5		27a1	音写字	T2713_.84.0829b01
30-038-02	正保版魚山私抄五悔	33	10	多	多	薩縛怛他__多	薩縛怛他__多			6								e4		27a1	音写字	T2713_.84.0829b01
30-038-02	正保版魚山私抄五悔	34	11	_	_	_那滿娜曩迦_弭	_那滿娜曩迦_弭			1								e4		27a3	音写字	T2713_.84.0829b03
30-038-02	正保版魚山私抄五悔	35	11	那	那	_那滿娜曩迦_弭	_那滿娜曩迦_弭			2								e5		27a3	音写字	T2713_.84.0829b03
30-038-02	正保版魚山私抄五悔	36	11	滿	滿	_那滿娜曩迦_弭	_那滿娜曩迦_弭			3								e5		27a3	音写字	T2713_.84.0829b03
30-038-02	正保版魚山私抄五悔	37	11	娜	娜	_那滿娜曩迦_弭	_那滿娜曩迦_弭			4								e4		27a3	音写字	T2713_.84.0829b03
30-038-02	正保版魚山私抄五悔	38	11	曩	曩	_那滿娜曩迦_弭	_那滿娜曩迦_弭			5								e4		27a3	音写字	T2713_.84.0829b03
30-038-02	正保版魚山私抄五悔	39	11	迦	迦	_那滿娜曩迦_弭	_那滿娜曩迦_弭			6								f4		27a3	音写字	T2713_.84.0829b03
30-038-02	正保版魚山私抄五悔	40	11	_	_	_那滿娜曩迦_弭	_那滿娜曩迦_弭			7								e'5		27a3	音写字	T2713_.84.0829b03
30-038-02	正保版魚山私抄五悔	41	11	弭	弭	_那滿娜曩迦_弭	_那滿娜曩迦_弭			8								e4		27a3	音写字	T2713_.84.0829b03
30-038-02	正保版魚山私抄五悔	42	12	歸	帰	歸命	帰命			1								e5		27b1		T2713_.84.0829b04
30-038-02	正保版魚山私抄五悔	43	12	命	命	歸命	帰命			2								ffR5		27b1		T2713_.84.0829b04
30-038-02	正保版魚山私抄五悔	44	13	十	十	十方	十方			1								ff5		27b1		T2713_.84.0829b04
30-038-02	正保版魚山私抄五悔	45	13	方	方	十方	十方			2								ff4		27b1		T2713_.84.0829b04
30-038-02	正保版魚山私抄五悔	46	14	一	一	一切佛	一切佛			1								e5		27b1		T2713_.84.0829b04
30-038-02	正保版魚山私抄五悔	47	14	切	切	一切佛	一切佛			2								_f5		27b1		T2713_.84.0829b04
