資料番号	資料名	資料内漢字番号	資料内漢語番号_仮	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	Unnamed: 22
30-038-03	魚山六巻帖五悔	1	1	歸	歸	歸命	歸命			1			＊去濁	クヰ	クヰ＊				e1	77:2		T2712_.84.0818b18
30-038-03	魚山六巻帖五悔	2	1	命	命	歸命	歸命			2		去濁	＊去濁		クヰ＊				〔右〕r1	77:2		T2712_.84.0818b18
30-038-03	魚山六巻帖五悔	3	2	十	十	十方	十方			1					＊ハウ				e1	77:2		T2712_.84.0818b18
30-038-03	魚山六巻帖五悔	4	2	方	方	十方	十方			2				ハウ	＊ハウ				f2	77:2		T2712_.84.0818b18
30-038-03	魚山六巻帖五悔	5	3	一	一	一切佛	一切佛			1				イ〈ツ〉	イ〈ツ〉＊フ〈ツ〉				〔右〕e2	77:2		T2712_.84.0818b18
30-038-03	魚山六巻帖五悔	6	3	切	切	一切佛	一切佛			2					イ〈ツ〉＊フ〈ツ〉				〔右〕r1	77:2		T2712_.84.0818b18
30-038-03	魚山六巻帖五悔	7	3	佛	佛	一切佛	一切佛			3				フ〈ツ〉	イ〈ツ〉＊フ〈ツ〉				〔右〕e1	77:2		T2712_.84.0818b18
30-038-03	魚山六巻帖五悔	8	4	_	_	_勝	_勝			1				サイ	サイシ				f2	77:3		T2712_.84.0818b19
30-038-03	魚山六巻帖五悔	9	4	勝	勝	_勝	_勝			2				シ	サイシ				〔右〕r2	77:3		T2712_.84.0818b19
30-038-03	魚山六巻帖五悔	10	5	妙	妙	妙法	妙法			1		去濁	去濁＊	ヘウ	ヘウハウ				〔右〕ffr2	77:3		T2712_.84.0818b19
30-038-03	魚山六巻帖五悔	11	5	法	法	妙法	妙法			2			去濁＊	ハウ	ヘウハウ				e1	77:3		T2712_.84.0818b19
30-038-03	魚山六巻帖五悔	12	6	菩	菩	菩提衆	菩提衆			1									f2	77:3		T2712_.84.0818b19
30-038-03	魚山六巻帖五悔	13	6	提	提	菩提衆	菩提衆			2									e1	77:3		T2712_.84.0818b19
30-038-03	魚山六巻帖五悔	14	6	衆	衆	菩提衆	菩提衆			3									e1	77:3		T2712_.84.0818b19
30-038-03	魚山六巻帖五悔	15	7	以	以	以身	以身			1									〔右〕r2	77:4		T2712_.84.0818b20
30-038-03	魚山六巻帖五悔	16	7	身	身	以身	以身			2									e2	77:4		T2712_.84.0818b20
30-038-03	魚山六巻帖五悔	17	8	口	口	口意	口意			1				コウ	コウ＊				e2	77:4		T2712_.84.0818b20
30-038-03	魚山六巻帖五悔	18	8	意	意	口意	口意			2					コウ＊				〔右〕ffr2	77:4		T2712_.84.0818b20
30-038-03	魚山六巻帖五悔	19	9	清	清	清淨業	清浄業			1			＊＊入濁	セイ	セイ＊ケウ				F1	77:4		T2712_.84.0818b20
30-038-03	魚山六巻帖五悔	20	9	淨	浄	清淨業	清浄業			2			＊＊入濁		セイ＊ケウ				〔右〕r1	77:4		T2712_.84.0818b20
30-038-03	魚山六巻帖五悔	21	9	業	業	清淨業	清浄業			3		入濁	＊＊入濁	ケウ	セイ＊ケウ				e1	77:4		T2712_.84.0818b20
30-038-03	魚山六巻帖五悔	22	10	慇	慇	慇懃	慇懃			1			＊上濁		＊キン				e2	77:5		T2712_.84.0818c01
30-038-03	魚山六巻帖五悔	23	10	懃	懃	慇懃	慇懃			2		上濁	＊上濁	キン	＊キン				e2	77:5		T2712_.84.0818c01
30-038-03	魚山六巻帖五悔	24	11	合	合	合掌	合掌			1				カ〈ツ〉	カ〈ツ〉シヤウ				e4_	77:5		T2712_.84.0818c01
30-038-03	魚山六巻帖五悔	25	11	掌	掌	合掌	合掌			2				シヤウ	カ〈ツ〉シヤウ				〔右〕r5_	77:5		T2712_.84.0818c01
30-038-03	魚山六巻帖五悔	26	12	恭	恭	恭敬禮	恭敬礼			1									f2	77:5		T2712_.84.0818c01
30-038-03	魚山六巻帖五悔	27	12	敬	敬	恭敬禮	恭敬礼			2									e1	77:5		T2712_.84.0818c01
30-038-03	魚山六巻帖五悔	28	12	禮	礼	恭敬禮	恭敬礼			3									e1	77:5		T2712_.84.0818c01
