資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	Unnamed: 22
30-039-05	高山寺蔵胎蔵界自行次第九方便	1	1	歸	歸	歸命	歸命			1				クヰ	クヰヘイ					20		T2712_.84.0816c18
30-039-05	高山寺蔵胎蔵界自行次第九方便	2	1	命	命	歸命	歸命			2				ヘイ	クヰヘイ					20		T2712_.84.0816c18
30-039-05	高山寺蔵胎蔵界自行次第九方便	3	2	十	十	十方	十方			1				シ	シハウ					20		T2712_.84.0816c18
30-039-05	高山寺蔵胎蔵界自行次第九方便	4	2	方	方	十方	十方			2				ハウ	シハウ					20		T2712_.84.0816c18
30-039-05	高山寺蔵胎蔵界自行次第九方便	5	3	正	正	正等覺	正等覺			1				セイ	セイトウカク					20		T2712_.84.0816c18
30-039-05	高山寺蔵胎蔵界自行次第九方便	6	3	等	等	正等覺	正等覺			2				トウ	セイトウカク					20		T2712_.84.0816c18
30-039-05	高山寺蔵胎蔵界自行次第九方便	7	3	覺	覺	正等覺	正等覺			3				カク	セイトウカク					20		T2712_.84.0816c18
30-039-05	高山寺蔵胎蔵界自行次第九方便	8	4	三	三	三世	三世			1				サム	サムセイ					20		T2712_.84.0816c19
30-039-05	高山寺蔵胎蔵界自行次第九方便	9	4	世	世	三世	三世			2				セイ	サムセイ					20		T2712_.84.0816c19
30-039-05	高山寺蔵胎蔵界自行次第九方便	10	5	一	一	一切	一切			1				イツ	イツセイ					20		T2712_.84.0816c19
30-039-05	高山寺蔵胎蔵界自行次第九方便	11	5	切	切	一切	一切			2				セイ	イツセイ					20		T2712_.84.0816c19
30-039-05	高山寺蔵胎蔵界自行次第九方便	12	6	具	具	具三身	具三身			1				ク	クサムシン					20		T2712_.84.0816c19
30-039-05	高山寺蔵胎蔵界自行次第九方便	13	6	三	三	具三身	具三身			2				サム	クサムシン					20		T2712_.84.0816c19
30-039-05	高山寺蔵胎蔵界自行次第九方便	14	6	身	身	具三身	具三身			3				シン	クサムシン					20		T2712_.84.0816c19
30-039-05	高山寺蔵胎蔵界自行次第九方便	19	7	大	大	大乘法	大乘法			1				タイ	タイシハフ					21		T2712_.84.0816c20
30-039-05	高山寺蔵胎蔵界自行次第九方便	20	7	乘	乘	大乘法	大乘法			2				シ	タイシハフ					21		T2712_.84.0816c20
30-039-05	高山寺蔵胎蔵界自行次第九方便	21	7	法	法	大乘法	大乘法			3				ハフ	タイシハフ					21		T2712_.84.0816c20
30-039-05	高山寺蔵胎蔵界自行次第九方便	24	8	不	不	不退	不退			1				フ	フタイ					21		T2712_.84.0816d01
30-039-05	高山寺蔵胎蔵界自行次第九方便	25	8	退	退	不退	不退			2				タイ	フタイ					21		T2712_.84.0816d01
30-039-05	高山寺蔵胎蔵界自行次第九方便	26	9	菩	菩	菩提衆	菩提衆			1				ホ	ホテイシ□					21		T2712_.84.0816d01
