資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-040-01	専修大学図書館本和漢朗詠集	1	1	芳	芳	芳菲	芳菲			1	2	平軽	平軽平	ハウ	ハウヒ					1-01a3	
30-040-01	専修大学図書館本和漢朗詠集	2	1	菲	菲	芳菲	芳菲			2	1	平	平軽平	ヒ	ハウヒ					1-01a3	
30-040-01	専修大学図書館本和漢朗詠集	3	2	候	候	候	候			1	2			コウ	コウ					1-01a3	
30-040-01	専修大学図書館本和漢朗詠集	4	3	東	東	東頭	東頭			1	2	平軽？	平軽？平							1-01a5	
30-040-01	専修大学図書館本和漢朗詠集	5	3	頭	頭	東頭	東頭			2	2	平	平軽？平							1-01a5	
30-040-01	専修大学図書館本和漢朗詠集	6	4	北	北	北面	北面			1	2		＊去							1-01a5	
30-040-01	専修大学図書館本和漢朗詠集	7	4	面	面	北面	北面			2	2	去	＊去							1-01a5	
30-040-01	専修大学図書館本和漢朗詠集	8	5	封	封	封	封			1	2	平？	平？	ホウ	ホウ					1-01a5	
30-040-01	専修大学図書館本和漢朗詠集	9	6	時	時	一時	一時			2	1	平	＊平							1-01b1	
30-040-01	専修大学図書館本和漢朗詠集	10	7	寒	寒	寒磬	寒磬			1	2	平	平去							1-01b2	
30-040-01	専修大学図書館本和漢朗詠集	11	7	磬	磬	寒磬	寒磬			2	2	去	平去							1-01b2	
30-040-01	専修大学図書館本和漢朗詠集	12	8	爐	爐	曉爐	曉爐			2	1	平	＊平							1-01b2	
30-040-01	専修大学図書館本和漢朗詠集	13	9	地	地	田地	田地			2	1	上	＊上							1-02a1	
30-040-01	専修大学図書館本和漢朗詠集	14	10	蘆	蘆	蘆錐	蘆錐			1	1	平	平平	ロ	ロスイ					1-02a1	「ロ」に朱合点、右傍「アシノ」
30-040-01	専修大学図書館本和漢朗詠集	15	10	錐	錐	蘆錐	蘆錐			2	2	平	平平	スイ	ロスイ					1-02a1	「スイ」に朱合点、右傍「キリ」
30-040-01	専修大学図書館本和漢朗詠集	16	11	枝	枝	枝條	枝條			1	1	平	平＊							1-02a1	
30-040-01	専修大学図書館本和漢朗詠集	17	12	柳	柳	柳眼	柳眼			1	2	上	上上濁	リウ	リウカン					1-02a1	
30-040-01	専修大学図書館本和漢朗詠集	18	12	眼	眼	柳眼	柳眼			2	2	上濁	上上濁	カン	リウカン					1-02a1	
30-040-01	専修大学図書館本和漢朗詠集	19	13	和	和	和風	和風			1	1	平	平＊							1-02a2	
30-040-01	専修大学図書館本和漢朗詠集	20	14	報	報	報	報			1	2	去	去							1-02a2	
30-040-01	専修大学図書館本和漢朗詠集	21	15	啼	啼	啼鳥	啼鳥			1	2			テイ	テイ＊					1-02a2	
30-040-01	専修大学図書館本和漢朗詠集	22	15	鳥	鳥	啼鳥	啼鳥			2	2	上	＊上							1-02a2	
30-040-01	専修大学図書館本和漢朗詠集	23	16	來	來	來由	來由			1	2	平	平平	ユ	＊ユヲ？					1-02a2	
30-040-01	専修大学図書館本和漢朗詠集	24	16	由	由	來由	來由			2	2	平	平平		＊ユヲ？					1-02a2	
30-040-01	専修大学図書館本和漢朗詠集	25	17	東	東	東岸	東岸			1	2	平	平去濁		＊カン					1-02a3	
30-040-01	専修大学図書館本和漢朗詠集	26	17	岸	岸	東岸	東岸			2	2	去濁	平去濁	カン	＊カン					1-02a3	
30-040-01	専修大学図書館本和漢朗詠集	27	18	西	西	西岸	西岸			1	2	平	平去濁	セイ	セイ＊					1-02a3	
30-040-01	専修大学図書館本和漢朗詠集	28	18	岸	岸	西岸	西岸			2	2	去濁	平去濁		セイ＊					1-02a3	
30-040-01	専修大学図書館本和漢朗詠集	29	19	遲	遲	遲速	遲速			1	1		＊入	チ	チソク					1-02a3	
30-040-01	専修大学図書館本和漢朗詠集	30	19	速	速	遲速	遲速			2	2	入	＊入	ソク	チソク					1-02a3	
30-040-01	専修大学図書館本和漢朗詠集	31	20	南	南	南枝	南枝			1	2	平	平平	ナン	ナンシ					1-02a3	
30-040-01	専修大学図書館本和漢朗詠集	32	20	枝	枝	南枝	南枝			2	1	平	平平	シ	ナンシ					1-02a3	
30-040-01	専修大学図書館本和漢朗詠集	33	21	北	北	北枝	北枝			1	2	入	入平							1-02a3	
30-040-01	専修大学図書館本和漢朗詠集	34	21	枝	枝	北枝	北枝			2	1	平	入平							1-02a3	
30-040-01	専修大学図書館本和漢朗詠集	35	22	開	開	開落	開落			1	2	平	平入	カイ	カイ＊					1-02a4	
30-040-01	専修大学図書館本和漢朗詠集	36	22	落	落	開落	開落			2	2	入	平入		カイ＊					1-02a4	
30-040-01	専修大学図書館本和漢朗詠集	37	23	紫	紫	紫塵	紫塵			1	1	上	上平		＊チン					1-02a5	
30-040-01	専修大学図書館本和漢朗詠集	38	23	塵	塵	紫塵	紫塵			2	2	平	上平	チン	＊チン					1-02a5	
30-040-01	専修大学図書館本和漢朗詠集	39	24	碧	碧	碧玉	碧玉			1	2	入	入入濁							1-02a5	
30-040-01	専修大学図書館本和漢朗詠集	40	24	玉	玉	碧玉	碧玉			2	2	入濁	入入濁							1-02a5	
30-040-01	専修大学図書館本和漢朗詠集	41	25	氣	氣	氣	氣			1	1	去	去	キ	キ					1-02a6	
30-040-01	専修大学図書館本和漢朗詠集	42	26	新	新	新柳	新柳			1	2	平	平上							1-02a6	
30-040-01	専修大学図書館本和漢朗詠集	43	26	柳	柳	新柳	新柳			2	2	上	平上							1-02a6	
30-040-01	専修大学図書館本和漢朗詠集	44	27	舊	舊	舊苔	舊苔			1	2			キウ	キウタイ					1-02a6	
30-040-01	専修大学図書館本和漢朗詠集	45	27	苔	苔	舊苔	舊苔			2	2			タイ	キウタイ					1-02a6	
30-040-01	専修大学図書館本和漢朗詠集	46	28	氣	氣	氣色	氣色			1	1	去	去入							1-02b1	
30-040-01	専修大学図書館本和漢朗詠集	47	28	色	色	氣色	氣色			2	2	入	去入							1-02b1	
30-040-01	専修大学図書館本和漢朗詠集	48	29	變	變	變	變			1	2	去	去							1-02b1	
30-040-01	専修大学図書館本和漢朗詠集	49	30	容	容	容輝	容輝			1	2	平	平平							1-02b1	
30-040-01	専修大学図書館本和漢朗詠集	50	30	輝	輝	容輝	容輝			2	1	平	平平							1-02b1	
