資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	Unnamed: 22
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	1	1	吹	吹	吹	吹			1						昌瑞切風也				1-03a1	頭注部分にあり	
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	2	2	芳	芳	芳菲	芳菲			1	2	平軽	平軽平	ハウ	ハウヒ					1-03a1		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	3	2	菲	菲	芳菲	芳菲			2	1	平	平軽平	ヒ	ハウヒ					1-03a1		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	4	3	候	候	候	候			1	2	平／（去）	平／（去）	コウ	コウ					1-03a1	去声点剥落の痕跡あり	
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	5	4	變	變	變	變			1	2	去	去							1-03a2		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	6	5	恩	恩	恩	恩			1		平軽	平軽							1-03a2		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	7	6	東	東	東頭	東頭			1	2	平／平軽	平平／平軽平							1-03a3		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	8	6	頭	頭	東頭	東頭			2	2	平	平平／平軽平							1-03a3		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	9	7	北	北	北面	北面			1		入	入去							1-03a3		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	10	7	面	面	北面	北面			2	2	去	入去							1-03a3		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	11	8	封	封	封	封			1		平軽	平軽	ホウ	ホウ					1-03a3		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	12	9	氣	氣	氣力	氣力			1		平	平入							1-03a5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	13	9	力	力	氣力	氣力			2		入	平入							1-03a5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	14	10	文	文	文	文			1		去	去							1-03a5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	15	11	計	計	計會	計會			1	2	上／（去）	上＊／（去去）							1-03a6	去声点剥落の痕跡あり	
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	16	11	會	會	計會	計會			2	2	（去）	上＊／（去去）							1-03a6	去声点剥落の痕跡あり	
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	17	12	一	一	一時	一時			1		入	入上濁							1-03a6		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	18	12	時	時	一時	一時			2		上濁	入上濁							1-03a6		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	19	13	殘	殘	殘更	殘更			1		平濁	平濁平							1-03b1		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	20	13	更	更	殘更	殘更			2		平	平濁平							1-03b1		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	21	14	寒	寒	寒磬	寒磬			1		平	平去							1-03b1		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	22	14	磬	磬	寒磬	寒磬			2	2	去	平去							1-03b1		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	23	15	香	香	香	香			1				カウ	カウ					1-03b1		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	24	16	曉	曉	曉爐	曉爐			1		上	上平							1-03b1		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	25	16	爐	爐	曉爐	曉爐			2		平	上平							1-03b1		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	26	17	田	田	田地	田地			1		平	平去							1-03b5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	27	17	地	地	田地	田地			2	1	去	平去							1-03b5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	28	18	蘆	蘆	蘆錐	蘆錐			1		平	平平		＊スイ					1-03b5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	29	18	錐	錐	蘆錐	蘆錐			2		平	平平	スイ	＊スイ					1-03b5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	30	19	枝	枝	枝條	枝條			1		平	平平濁	シ	シテウ					1-03b5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	31	19	條	條	枝條	枝條			2		平濁	平平濁	テウ	シテウ					1-03b5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	32	20	柳	柳	柳眼	柳眼			1		上	上上濁	リウ	リウ＊					1-03b5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	33	20	眼	眼	柳眼	柳眼			2		上濁	上上濁		リウ＊					1-03b5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	34	21	和	和	和風	和風			1		平	平上							1-03b6		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	35	21	風	風	和風	和風			2		上	平上							1-03b6		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	36	22	報	報	報	報			1	2	去	去							1-03b6		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	37	23	消	消	消息	消息			1		去	去入	セ―	セ―ソク					1-03b6		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	38	23	息	息	消息	消息			2		入	去入	ソク	セ―ソク					1-03b6		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	39	24	啼	啼	啼鳴	啼鳴			1		平	平＊	テイ	テイ＊					1-03b6	大系本「啼鳥」	
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	40	25	來	來	來由	來由			1		平	平平							1-03b6		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	41	25	由	由	來由	來由			2		平	平平							1-03b6		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	42	26	東	東	東岸	東岸			1		平	平去濁							1-04a1		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	43	26	岸	岸	東岸	東岸			2	2	去濁	平去濁							1-04a1		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	44	27	西	西	西岸	西岸			1		平軽	平軽＊							1-04a1		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	45	28	遲	遲	遲速	遲速			1		平	平入							1-04a1		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	46	28	速	速	遲速	遲速			2		入	平入							1-04a1		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	47	29	南	南	南枝	南枝			1		平	平＊							1-04a1		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	48	30	北	北	北枝	北枝			1		入	入＊							1-04a2		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	49	31	開	開	開落	開落			1		平軽	平軽入							1-04a2		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	50	31	落	落	開落	開落			2		入	平軽入							1-04a2		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	51	32	紫	紫	紫塵	紫塵			1		上	上平							1-04a3		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	52	32	塵	塵	紫塵	紫塵			2		平	上平							1-04a3		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	53	33	碧	碧	碧玉	碧玉			1		入	入入濁	ヘキ	ヘキ＊					1-04a3		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	54	33	玉	玉	碧玉	碧玉			2		入濁	入入濁		ヘキ＊					1-04a3		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	55	34	氣	氣	氣	氣			1	1	去	去							1-04a4		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	56	35	新	新	新柳	新柳			1		平	平上							1-04a4		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	57	35	柳	柳	新柳	新柳			2		平	平上							1-04a4		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	58	36	舊	舊	舊苔	舊苔			1	2	去	去平		＊タイ					1-04a4		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	59	36	苔	苔	舊苔	舊苔			2		平	去平	タイ	＊タイ					1-04a4		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	60	37	色	色	氣色	氣色			2		入	＊入	シヨク	＊シヨク					1-04a5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	61	38	沙	沙	晴沙	晴沙			2				サ／シヤ	サ／シヤ					1-04a5	右傍「サ」左傍「シヤ」	
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	62	39	變	變	變	變			1	2	上／（去）	上／（去）							1-04a5	去声点剥落の痕跡あり	
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	63	40	容	容	容輝	容輝			1		平	平平	ヨウ	ヨウクヰ					1-04a5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	64	40	輝	輝	容輝	容輝			2		平	平平	クヰ	ヨウクヰ					1-04a5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	65	41	宿	宿	宿雪	宿雪			1		入	入入							1-04a5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	66	41	雪	雪	宿雪	宿雪			2		入	入入							1-04a5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	67	42	美	美	美景	美景			1		上濁	上濁＊	ヒ	ヒ―イ					1-04b4		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	68	42	景	景	美景	美景			2			上濁＊	―イ	ヒ―イ					1-04b4		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	69	43	樽	樽	樽	樽			1		去	去							1-04b4		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	70	44	野	野	野草	野草			1		上	上上							1-04b5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	71	44	草	草	野草	野草			2		上	上上							1-04b5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	72	45	芳	芳	芳菲	芳菲			1		平軽	平軽平							1-04b5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	73	45	菲	菲	芳菲	芳菲			2		平	平軽平							1-04b5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	74	46	錦	錦	紅錦	紅錦			2		上	＊上							1-04b5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	75	47	地	地	地	地			1	1	去	去							1-04b5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	76	48	遊	遊	遊絲	遊絲			1		平軽	平軽去							1-04b5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	77	48	絲	絲	遊絲	遊絲			2		去	平軽去							1-04b5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	78	49	繚	繚	繚亂	繚亂			1		上	上去	リヨウ	リヨウ＊					1-04b5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	79	49	亂	亂	繚亂	繚亂			2	2	去	上去		リヨウ＊					1-04b5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	80	50	碧	碧	碧羅	碧羅			1		入	入平							1-04b5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	81	50	羅	羅	碧羅	碧羅			2		平	入平							1-04b5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	82	51	天	天	天	天			1		平	平							1-04b5		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	83	52	歌	歌	歌酒	歌酒			1		平	平上							1-04b6		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	84	52	酒	酒	歌酒	歌酒			2		上	平上							1-04b6		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	85	53	管	管	管領	管領			1		上	上上							1-04b6		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	86	53	領	領	管領	管領			2		上	上上							1-04b6		
30-040-02	岩瀬文庫蔵延慶二年識語本和漢朗詠集	87	54	上	上	上陽	上陽			1	2	去	去上							1-04b6		
