資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
40-016-03	新猿楽記_尊経閣文庫_康永本	1	1	唐	唐	唐術	唐術			1		〔墨〕平	平入濁							082-04	
40-016-03	新猿楽記_尊経閣文庫_康永本	2	1	術	術	唐術	唐術			2		〔墨〕入濁	平入濁							082-04	
40-016-03	新猿楽記_尊経閣文庫_康永本	3	2	鼓	鼓	輪鼓	輪鼓			2		〔墨〕上濁	＊上濁	〔墨〕コ	＊コ					082-04	
40-016-03	新猿楽記_尊経閣文庫_康永本	4	3	大	大	大動	大動			1		〔墨〕平	平平？							082-05	
40-016-03	新猿楽記_尊経閣文庫_康永本	5	3	動	動	大動	大動			2		〔墨〕平？	平平？							082-05	
40-016-03	新猿楽記_尊経閣文庫_康永本	6	4	專	専	專當	専當			1		〔朱〕平濁	平濁平濁							082-06	
40-016-03	新猿楽記_尊経閣文庫_康永本	7	4	當	當	專當	専當			2		〔朱〕平濁	平濁平濁							082-06	
40-016-03	新猿楽記_尊経閣文庫_康永本	8	5	秋	秋	千秋	千秋			2		〔朱〕平濁	＊平濁							082-07	
40-016-03	新猿楽記_尊経閣文庫_康永本	9	6	歳	歳	萬歳	万歳			2		〔朱〕平濁	＊平濁							082-08	
40-016-03	新猿楽記_尊経閣文庫_康永本	10	7	仁	仁	仁南	仁南			1		〔朱〕平濁	平濁平	〔墨〕シン	シン＊					083-01	
40-016-03	新猿楽記_尊経閣文庫_康永本	11	7	南	南	仁南	仁南			2		〔朱〕平	平濁平		シン＊					083-01	
40-016-03	新猿楽記_尊経閣文庫_康永本	12	8	仙	仙	仙	仙			1		〔朱〕平	平							083-03	
40-016-03	新猿楽記_尊経閣文庫_康永本	13	9	先	先	先生	先生			1		〔朱〕去	去上濁							083-04	上濁は声点か
40-016-03	新猿楽記_尊経閣文庫_康永本	14	9	生	生	先生	先生			2		〔朱〕上濁	去上濁							083-04	上濁は声点か
40-016-03	新猿楽記_尊経閣文庫_康永本	15	10	言	言	言失	言失			1		〔朱〕去濁	去濁＊							083-05	
40-016-03	新猿楽記_尊経閣文庫_康永本	16	11	菊	菊	菊正	菊正			1		〔朱〕入	入＊		＊マサ					083-06	人名
40-016-03	新猿楽記_尊経閣文庫_康永本	17	12	物	物	被物	被物			2		〔朱〕入濁	＊入濁							083-12	汚損？
40-016-03	新猿楽記_尊経閣文庫_康永本	18	13	祿	祿	祿物	祿物			1		〔朱〕入	入入							083-12	
40-016-03	新猿楽記_尊経閣文庫_康永本	19	13	物	物	祿物	祿物			2		〔朱〕入	入入							083-12	
40-016-03	新猿楽記_尊経閣文庫_康永本	20	14	萬	万	萬	万			1		〔朱〕／〔墨〕去濁	／去濁							083-12	
40-016-03	新猿楽記_尊経閣文庫_康永本	21	15	弱	弱	弱冠	弱冠			1		〔朱〕入濁	入濁上							084-06	
40-016-03	新猿楽記_尊経閣文庫_康永本	22	15	冠	冠	弱冠	弱冠			2		〔朱〕上	入濁上							084-06	
40-016-03	新猿楽記_尊経閣文庫_康永本	23	16	懸	懸	懸隔	懸隔			1		〔朱〕平	平入濁							084-08	
40-016-03	新猿楽記_尊経閣文庫_康永本	24	16	隔	隔	懸隔	懸隔			2		〔朱〕入濁	平入濁							084-08	
40-016-03	新猿楽記_尊経閣文庫_康永本	25	17	喉	コ	喉痺	コヒ			1		〔朱〕上	上上濁							084-11	
40-016-03	新猿楽記_尊経閣文庫_康永本	26	17	痺	ヒ	喉痺	コヒ			2		〔朱〕上濁	上上濁							084-11	
40-016-03	新猿楽記_尊経閣文庫_康永本	27	18	嫉	嫉	嫉妬	嫉妬			1		〔朱〕入	入平							085-03	
40-016-03	新猿楽記_尊経閣文庫_康永本	28	18	妬	妬	嫉妬	嫉妬			2		〔朱〕平	入平							085-03	
40-016-03	新猿楽記_尊経閣文庫_康永本	29	19	睚	睚	睚眦	睚眦			1		〔朱〕上濁	上濁平	〔墨〕カイ	カイサイ					085-04	
40-016-03	新猿楽記_尊経閣文庫_康永本	30	19	眦	眦	睚眦	睚眦			2		〔朱〕平	上濁平	〔墨〕サイ	カイサイ					085-04	
40-016-03	新猿楽記_尊経閣文庫_康永本	31	20	西	西	西施	西施			1		〔朱〕平	平上							085-08	
40-016-03	新猿楽記_尊経閣文庫_康永本	32	20	施	施	西施	西施			2		〔朱〕上	平上							085-08	
40-016-03	新猿楽記_尊経閣文庫_康永本	33	21	操	操	心操	心操			2		〔朱〕去濁	＊去濁							085-09	
40-016-03	新猿楽記_尊経閣文庫_康永本	34	22	剛	剛	剛柔	剛柔			1		〔朱〕平	平平濁							085-09	
40-016-03	新猿楽記_尊経閣文庫_康永本	35	22	柔	柔	剛柔	剛柔			2		〔朱〕平濁	平平濁							085-09	
40-016-03	新猿楽記_尊経閣文庫_康永本	36	23	進	進	進退	進退			1		〔朱〕去	去＊							085-09	
40-016-03	新猿楽記_尊経閣文庫_康永本	37	24	厨	厨	厨膳	厨膳			1		〔朱〕去濁	去濁平濁	〔墨〕ツ	ツセン					085-12	
40-016-03	新猿楽記_尊経閣文庫_康永本	38	24	膳	膳	厨膳	厨膳			2		〔朱〕平濁	去濁平濁	〔墨〕セン	ツセン					085-12	
40-016-03	新猿楽記_尊経閣文庫_康永本	39	25	妖	妖	妖艷	妖艶			1		〔朱〕上	上去							086-04	
40-016-03	新猿楽記_尊経閣文庫_康永本	40	25	艷	艶	妖艷	妖艶			2		〔朱〕去	上去							086-04	
40-016-03	新猿楽記_尊経閣文庫_康永本	41	26	窮	窮	窮屈	窮屈			1		〔朱〕平	平入							086-05	
40-016-03	新猿楽記_尊経閣文庫_康永本	42	26	屈	屈	窮屈	窮屈			2		〔朱〕入	平入							086-05	
40-016-03	新猿楽記_尊経閣文庫_康永本	43	27	喧	喧	喧囂	喧囂			1		〔朱〕平	平平	〔墨〕クヱン	クヱンケウ					086-05	
40-016-03	新猿楽記_尊経閣文庫_康永本	44	27	囂	囂	喧囂	喧囂			2		〔朱〕平	平平	〔墨〕ケウ	クヱンケウ					086-05	
40-016-03	新猿楽記_尊経閣文庫_康永本	45	28	衞	衛	衞官	衛官			1		〔朱〕去	去平							086-06	
40-016-03	新猿楽記_尊経閣文庫_康永本	46	28	官	官	衞官	衛官			2		〔朱〕平	去平							086-06	
40-016-03	新猿楽記_尊経閣文庫_康永本	47	29	長	長	長生	長生			1		〔朱〕平	平上							086-12	
40-016-03	新猿楽記_尊経閣文庫_康永本	48	29	生	生	長生	長生			2		〔朱〕上	平上							086-12	
40-016-03	新猿楽記_尊経閣文庫_康永本	49	30	博	博	博打	博打			1		〔朱〕入濁	入濁＊	〔墨〕ハク	ハクチ					086-14	
40-016-03	新猿楽記_尊経閣文庫_康永本	50	31	筒	筒	筒	筒			1		〔朱〕去濁	去濁	〔墨〕トウ	トウ					086-14	
40-016-03	新猿楽記_尊経閣文庫_康永本	51	32	語	語	語條	語条			1		〔朱〕平濁	平濁平濁	〔墨〕コ	コ＊					086-15	
40-016-03	新猿楽記_尊経閣文庫_康永本	52	32	條	条	語條	語条			2		〔朱〕平濁	平濁平濁		コ＊					086-15	
40-016-03	新猿楽記_尊経閣文庫_康永本	53	33	謀	謀	謀計	謀計			1		〔朱〕平濁	平濁去	〔墨〕ホウ	ホウケイ					086-15	
40-016-03	新猿楽記_尊経閣文庫_康永本	54	33	計	計	謀計	謀計			2		〔朱〕去	平濁去	〔墨〕ケイ	ホウケイ					086-15	
40-016-03	新猿楽記_尊経閣文庫_康永本	55	34	五	五	五四	五四			1		〔朱〕上濁	上濁平	〔墨〕ク	ク＊					086-15	
40-016-03	新猿楽記_尊経閣文庫_康永本	56	34	四	四	五四	五四			2		〔朱〕平	上濁平		ク＊					086-15	
