資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	位置	単字長	声点	声点型	仮名	仮名型	反切	類音注	節博士	その他	出現位置	備考	推定語形
60-028-01	平曲譜本	1	1	惡	悪	惡所	悪所に			1								上上××	HHL	4下老馬13-3口説		あくしょ
60-028-01	平曲譜本	2	1	所	所	惡所	悪所に			2								上上××	HHL	4下老馬13-3口説		あくしょ
60-028-01	平曲譜本	3	2	惡	悪	惡所	悪所にて			1								上上×××	HHL	4下老馬13-1口説		あくしょ
60-028-01	平曲譜本	4	2	所	所	惡所	悪所にて			2								上上×××	HHL	4下老馬13-1口説		あくしょ
60-028-01	平曲譜本	5	3	惡	悪	惡所	悪所に			1								上上×××	HHL	14上一魁1-5口説		あくしょ
60-028-01	平曲譜本	6	3	所	所	惡所	悪所に			2								上上×××	HHL	14上一魁1-5口説		あくしょ
60-028-01	平曲譜本	7	4	惡	悪	惡所	悪所を			1								上上××	HHL	8上冨士14-1素声		あくしょ
60-028-01	平曲譜本	8	4	所	所	惡所	悪所を			2								上上××	HHL	8上冨士14-1素声		あくしょ
60-028-01	平曲譜本	9	5	案	案	案	案の内に			1								上上××××	HL	5下千寿2-2口説		あん
60-028-01	平曲譜本	10	7	案	案	案	案の如く			1								上上×コ××	HL	13下瀬尾35-4口説		あん
60-028-01	平曲譜本	11	8	案	案	案	案の如く			1								上上×コ××	HL	13読下山返1-3口説		あん
60-028-01	平曲譜本	12	9	案	案	案	案のごとく			1								上上××××	HL	2上殿上21-5白声		あん
60-028-01	平曲譜本	13	10	案	案	案	案のごとく			1								上上×コ××	HL	14上一魁3-4口説		あん
60-028-01	平曲譜本	14	11	案	案	案	案のごとく			1								上上×コ××	HL	15下勝浦3-5口説		あん
60-028-01	平曲譜本	15	12	案	案	案	案のごとく			1								上上×コ××	HL	15読上願書4-5口説		あん
60-028-01	平曲譜本	16	13	優	優	優	優ｳなる舞ｲ姫ﾒども			1								上×××―	HL	3上徳大8-1白声		いう
60-028-01	平曲譜本	17	14	優	優	優	ゆうなる人の			1								上×××―	HL	5下千寿33-3シ口		いう
60-028-01	平曲譜本	18	15	優	優	優	優に			1								上中中	HL	2下青山5-4指声		いう
60-028-01	平曲譜本	19	16	優	優	優	優に			1								上××	HL	4下吉田4-2素声		いう
60-028-01	平曲譜本	20	17	優	優	優	優に			1								上××	HL	6下実盛4-2口説		いう
60-028-01	平曲譜本	21	18	優	優	優	優に			1								上××	HL	7上競19-4口説		いう
60-028-01	平曲譜本	22	19	優	優	優	優に			1								上××	HL	9上院崩9-2口説		いう
60-028-01	平曲譜本	23	20	優	優	優	優に			1								コ××	HL	10下六乞63-3口説		いう
60-028-01	平曲譜本	24	21	優	優	優	ゆうに			1								上××	HL	5下千寿22-5口説		いう
60-028-01	平曲譜本	25	22	優	優	優	ゆうに			1								上××	HL	5下千寿23-4口説		いう
60-028-01	平曲譜本	26	23	優	優	優	ゆうに			1								上××	HL	5下千寿42-4素声		いう
60-028-01	平曲譜本	27	24	優	優	優	ゆうに			1								上××	HL	15下文沙8-1口説		いう
60-028-01	平曲譜本	28	25	優	優	優長	優ｳ長			1								コ×××	HLLL	10上鹿谷18-2口説		いうちゃう
60-028-01	平曲譜本	29	25	長	長	優長	優ｳ長			2								コ×××	HLLL	10上鹿谷18-2口説		いうちゃう
