資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
20-001-01	大般若波羅蜜多経_根津美術館	1	1	怠	怠	身心勤怠	身心勤怠			4	2			〔墨〕タイ	＊＊＊タイ					3：0011c24	
20-001-01	大般若波羅蜜多経_根津美術館	2	2	膖	膖	謂膖脹想	謂膖脹想			2	2	〔朱〕平濁	＊平濁平＊	〔墨〕フウ	＊フウチヤウ＊					3：0012a13	
20-001-01	大般若波羅蜜多経_根津美術館	3	2	脹	脹	謂膖脹想	謂膖脹想			3	2	〔朱〕平	＊平濁平＊	〔墨〕チヤウ	＊フウチヤウ＊					3：0012a13	
20-001-01	大般若波羅蜜多経_根津美術館	4	3	膿	膿	膿爛想	膿爛想			1	2	〔朱〕平	平去＊	〔墨〕ノウ	ノウラン＊					3：0012a14	
20-001-01	大般若波羅蜜多経_根津美術館	5	3	爛	爛	膿爛想	膿爛想			2	2	〔朱〕去	平去＊	〔墨〕ラン	ノウラン＊					3：0012a14	
20-001-01	大般若波羅蜜多経_根津美術館	6	4	瘀	瘀	青瘀想	青瘀想			2	1	〔朱〕上	＊上＊	〔墨〕オ	＊オ＊					3：0012a14	
20-001-01	大般若波羅蜜多経_根津美術館	7	5	啄	啄	啄噉想	啄噉想			1	2	〔朱〕入	入去濁＊	〔墨〕タク	タクタム＊					3：0012a14	
20-001-01	大般若波羅蜜多経_根津美術館	8	5	噉	噉	啄噉想	啄噉想			2	2	〔朱〕去濁	入去濁＊	〔墨〕タム（ンを訂正）	タクタム＊					3：0012a14	
20-001-01	大般若波羅蜜多経_根津美術館	9	6	骸	骸	骸骨想	骸骨想			1	2	〔朱〕去濁	去濁＊＊	〔墨〕カイ	カイ＊＊					3：0012a14	
20-001-01	大般若波羅蜜多経_根津美術館	10	7	焚	焚	焚燒想	焚燒想			1	2			〔墨〕ホン	ホンセウ＊					3：0012a15	
20-001-01	大般若波羅蜜多経_根津美術館	11	7	燒	燒	焚燒想	焚燒想			2	2			〔墨〕セウ	ホンセウ＊					3：0012a15	
20-001-01	大般若波羅蜜多経_根津美術館	12	8	保	保	不可保想	不可保想			3	2	〔朱〕去	＊＊去＊	〔墨〕ホウ	＊＊ホウ＊					3：0012a15	
20-001-01	大般若波羅蜜多経_根津美術館	13	9	樂	樂	不可樂想	不可樂想			3	2	〔朱〕入／〔朱〕平濁	＊＊入＊／＊＊平濁＊							3：0012a23	
20-001-01	大般若波羅蜜多経_根津美術館	14	10	奢	奢	及奢摩他	及奢摩他			2	1			〔墨〕シヤ	＊シヤ＊＊					3：0012b07	
20-001-01	大般若波羅蜜多経_根津美術館	15	11	毘	毘	毘鉢舍那	毘鉢舍那			1	1			〔墨〕ヒ	ヒハチシヤナ					3：0012b08	音写字
20-001-01	大般若波羅蜜多経_根津美術館	16	11	鉢	鉢	毘鉢舍那	毘鉢舍那			2	2			〔墨〕ハチ	ヒハチシヤナ					3：0012b08	音写字
20-001-01	大般若波羅蜜多経_根津美術館	17	11	舍	舍	毘鉢舍那	毘鉢舍那			3	1			〔墨〕シヤ	ヒハチシヤナ					3：0012b08	音写字
