資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
20-002-02	医心方_仁和寺	1	1	焫	焫	灸焫	灸焫			2		入	＊入	〔右〕セツ	＊セツ	〔左〕而悦反				0101a5	
20-002-02	医心方_仁和寺	2	2	腑	腑	腑	腑			1						〔右〕符遇反				0101b2	
20-002-02	医心方_仁和寺	3	3	緻	緻	緻理	緻理			1						〔右〕直吏反				0101b2	
20-002-02	医心方_仁和寺	4	4	痿	痿	痿瘚	痿瘚			1						〔右〕於危反				0101b5	
20-002-02	医心方_仁和寺	5	4	瘚	瘚	痿瘚	痿瘚			2						〔左〕倶越反				0101b5	
20-002-02	医心方_仁和寺	6	5	喝	喝	咽喝	咽喝			2		〔朱〕去	＊去	〔左〕アイ	＊アイ	〔右〕乙芥反				0102b1	
20-002-02	医心方_仁和寺	7	6	渾	渾	渾々	渾々			1				〔右〕コン	コン＊					0103a1	
20-002-02	医心方_仁和寺	8	7	瀌	瀌	瀌々	瀌々			1		〔朱〕平	平＊	〔右〕ヘウ	ヘウ＊					0103a1	
20-002-02	医心方_仁和寺	9	8	熇	熇	熇々	熇々			1				〔右〕コク	コク＊					0103a1	
20-002-02	医心方_仁和寺	10	9	刺	刺	刺	刺			1		平	平							0103a1	
20-002-02	医心方_仁和寺	11	10	蟄	蟄	蟄々	蟄々			1						〔右〕直立反				0103a7	
20-002-02	医心方_仁和寺	12	11	黄	黄	麻黄湯	麻黄湯			2		〔朱〕上	＊上上							0103b3	
20-002-02	医心方_仁和寺	13	11	湯	湯	麻黄湯	麻黄湯			3		〔朱〕上	＊上上							0103b3	
20-002-02	医心方_仁和寺	14	12	衄	衄	衄家	衄家			1		〔朱〕入	入＊	〔右〕チク	チク＊	頭女鞠反				0104b3	
20-002-02	医心方_仁和寺	15	13	淋	淋	淋家	淋家			1		〔朱〕上	上＊	〔右〕リム	リム＊					0104b4	
20-002-02	医心方_仁和寺	16	14	歐	歐	歐揵	歐揵			1		〔朱〕上	上入							0105a2	
20-002-02	医心方_仁和寺	17	14	揵	揵	歐揵	歐揵			2		〔朱〕入	上入							0105a2	
20-002-02	医心方_仁和寺	18	15	厥	厥	厥冷	厥冷			1						〔右〕居月反				0105a4	
20-002-02	医心方_仁和寺	19	16	羸	羸	虚羸	虚羸			2				〔右〕ルイ	＊ルイ					0106a4	
20-002-02	医心方_仁和寺	20	17	逆	逆	厥逆	厥逆			2										0108a1	声点部分虫損
20-002-02	医心方_仁和寺	21	18	痞	痞	痞	痞			1						下補被平几□反				0108a6	
20-002-02	医心方_仁和寺	22	19	諴	諴	諴語	諴語			1						〔右〕胡讒反				0108a7	
20-002-02	医心方_仁和寺	23	20	恫	恫	恫々	恫々			1						〔左〕徒弄反				0109a1	
20-002-02	医心方_仁和寺	24	20	憒	憒	憒々	憒々			1		去	去＊	〔左〕クワイ	クワイ＊	〔右〕古對反				0109a1	
20-002-02	医心方_仁和寺	25	21	憒	憒	昏憒	昏憒			2		〔朱〕去	＊去							0110a4	
20-002-02	医心方_仁和寺	26	22	莖	茎	莖	茎			1		平	平							0111b6	
20-002-02	医心方_仁和寺	27	23	積	積	積聚	積聚			1		入	入＊							0113b3	
20-002-02	医心方_仁和寺	28	24	癥	癥	堅癥	堅癥			2		平	＊平				〔右〕音徴			0113b4	
20-002-02	医心方_仁和寺	29	25	易	易	易	易			1		〔朱〕去	去							0113b7	
20-002-02	医心方_仁和寺	30	26	冷	冷	冷	冷			1		〔朱〕平	平							0115a4	
20-002-02	医心方_仁和寺	31	27	長	長	長宿	長宿			1		〔朱〕上	上＊							0118b5	
20-002-02	医心方_仁和寺	32	28	虚	虚	虚	虚			1		〔朱〕平	平							0119b4	
20-002-02	医心方_仁和寺	33	29	竭	竭	竭	竭			1		入	入							0119b5	
20-002-02	医心方_仁和寺	34	30	聚	聚	積聚	積聚			2		平	＊平							0120b2	
20-002-02	医心方_仁和寺	35	31	積	積	癥積	癥積			2		入	入＊							0120b2	
20-002-02	医心方_仁和寺	36	32	度	度	度	度			1		入	入							0120b4	
20-002-02	医心方_仁和寺	37	33	數	数	數	数			1		入	入							0121a5	
20-002-02	医心方_仁和寺	38	34	促	促	促	促			1		入	入							0121a5	
20-002-02	医心方_仁和寺	39	35	灌	灌	漑灌	漑灌			2		去	＊去							0121b3	
20-002-02	医心方_仁和寺	40	36	臛	臛	羹臛	羹臛			2		入	＊入	〔右〕カク	＊カク					0123a4	
20-002-02	医心方_仁和寺	41	37	數	数	數	数			1		入	入							0123b7	
20-002-02	医心方_仁和寺	42	38	淹	淹	淹穢	淹穢			1		去	去＊							0124b7	
20-002-02	医心方_仁和寺	43	39	䔧	䔧	䔧蘆	䔧蘆			1				〔右〕レイ	レイ＊					0125a7	
20-002-02	医心方_仁和寺	44	40	魚	魚	魚	魚			1		平	平							0126b1	
20-002-02	医心方_仁和寺	45	41	鷄	鷄	鷄	鷄			1		平	平							0126b1	
20-002-02	医心方_仁和寺	46	42	䐗	䐗	䐗	䐗			1		平	平			頭陟於反				0126b1	
20-002-02	医心方_仁和寺	47	43	蘘	蘘	蘘荷	蘘荷			1		去	去上							0127a6	
20-002-02	医心方_仁和寺	48	43	荷	荷	蘘荷	蘘荷			2		上	去上							0127a6	
20-002-02	医心方_仁和寺	49	44	㕮	㕮	㕮咀	㕮咀			1		平	平平	〔右〕フ	フ＊					0128a3	
20-002-02	医心方_仁和寺	50	44	咀	咀	㕮咀	㕮咀			2		平	平平	〔右〕ソ	フ＊					0128a3	
20-002-02	医心方_仁和寺	51	45	芒	芒	芒消	芒消			1		〔朱〕平	平上	〔右〕ホウ	ホウ＊					0128b4	
20-002-02	医心方_仁和寺	52	45	消	消	芒消	芒消			2		〔朱〕上	平上		ホウ＊					0128b4	
20-002-02	医心方_仁和寺	53	46	甘	甘	甘遂	甘遂			1		去	去平							0128b6	
20-002-02	医心方_仁和寺	54	46	遂	遂	甘遂	甘遂			2		平	去平							0128b6	
20-002-02	医心方_仁和寺	55	47	苨	苨	薺苨	薺苨			2		上	＊上	〔右〕チ	＊チ					0128b7	
20-002-02	医心方_仁和寺	56	48	黄	黄	鷄子黄	鶏子黄			3		平／〔朱〕平	＊＊平							0129a3	
20-002-02	医心方_仁和寺	57	49	薺	薺	薺苨	薺苨			1		上	上上			〔右〕斉礼反				0129a7	
20-002-02	医心方_仁和寺	58	49	苨	苨	薺苨	薺苨			2		上	上上	〔右〕チ	＊チ	〔右〕泥礼反				0129a7	
20-002-02	医心方_仁和寺	59	50	𦬣	𦬣	射𦬣丸	射𦬣丸			2		〔朱〕上	＊上＊							0129b3	
20-002-02	医心方_仁和寺	60	51	礬	礬	礬石	礬石			1		平	平＊							0131a1	
20-002-02	医心方_仁和寺	61	52	烏	烏	烏頭	烏頭			1		去	去＊	〔右〕ウ	ウ＊					0131a3	
20-002-02	医心方_仁和寺	62	53	雄	雄	天雄	天雄			2		〔朱〕上	＊上							0131a3	
20-002-02	医心方_仁和寺	63	54	防	防	防風	防風			1		去	去＊							0131a4	
20-002-02	医心方_仁和寺	64	55	棗	棗	棗肌	棗肌			1		上	上＊							0131a4	
20-002-02	医心方_仁和寺	65	55	肌	肌	棗肌	棗肌			2			上＊	〔右〕キ	＊キ					0131a4	
20-002-02	医心方_仁和寺	66	56	大	大	大戟	大戟			1		去	去上							0131a5	
20-002-02	医心方_仁和寺	67	56	戟	戟	大戟	大戟			2		上	去上							0131a5	
20-002-02	医心方_仁和寺	68	57	莨	莨	莨菪	莨菪			1		〔朱〕平	平平							0131b3	
20-002-02	医心方_仁和寺	69	57	菪	菪	莨菪	莨菪			2		〔朱〕平	平平							0131b3	
20-002-02	医心方_仁和寺	70	58	刀	刀	馬刀	馬刀			2				〔右〕テウ	＊テウ		〔右〕音彫			0131b4	
20-002-02	医心方_仁和寺	71	59	慈	慈	慈石	慈石			1		去	去入							0131b7	
20-002-02	医心方_仁和寺	72	59	石	石	慈石	慈石			2		入	去入							0131b7	
20-002-02	医心方_仁和寺	73	60	洒	洒	洒掃	洒掃			1		〔朱〕去	去＊	〔右〕サイ	サイ＊					0132a7	仮名音注「サイ」の上に「シヤ」を書入
20-002-02	医心方_仁和寺	74	61	尚	尚	藥尚	薬尚			2		平	＊平				〔右〕音上			0132b2	
20-002-02	医心方_仁和寺	75	62	兪	兪	兪附	兪附			1				〔右〕ユ	ユ＊					0132b3	
20-002-02	医心方_仁和寺	76	63	石	石	石斛	石斛			1		入	入入							0133a3	
20-002-02	医心方_仁和寺	77	63	斛	斛	石斛	石斛			2		入	入入							0133a3	
20-002-02	医心方_仁和寺	78	64	蝋	蝋	蝋	蝋			1		入	入							0133b6	
20-002-02	医心方_仁和寺	79	65	膝	膝	牛膝	牛膝			2		入	＊入							0134a5	
20-002-02	医心方_仁和寺	80	66	洮	洮	洮汰	洮汰			1				〔左〕テウ	テウタ					0134a7	
20-002-02	医心方_仁和寺	81	66	汰	汰	洮汰	洮汰			2				〔左〕タ	テウタ					0134a7	
20-002-02	医心方_仁和寺	82	67	茸	茸	鹿茸	鹿茸			2		濁平	＊平	〔右〕シヨウ	＊シヨウ					0134b4	
20-002-02	医心方_仁和寺	83	68	鼈	鼈	鼈	鼈			1		入	入	〔右〕ヘツ	ヘツ					0134b4	
20-002-02	医心方_仁和寺	84	69	〓	〓	〓黄	〓黄			1		〔朱〕平	平上							0134b7	「艹＋補」
20-002-02	医心方_仁和寺	85	69	黄	黄	〓黄	〓黄			2		〔朱〕上	平上							0134b7	「艹＋補」
20-002-02	医心方_仁和寺	86	70	牛	牛	牛黄	牛黄			1		〔朱〕去	去上							0134b7	
20-002-02	医心方_仁和寺	87	70	黄	黄	牛黄	牛黄			2		〔朱〕上	去上							0134b7	
20-002-02	医心方_仁和寺	88	71	漆	漆	干漆	干漆			2		入	＊入							0135a6	
20-002-02	医心方_仁和寺	89	72	蠶	蚕	彊蠶	彊蚕			2		平	＊平							0135a6	
20-002-02	医心方_仁和寺	90	73	卷	巻	大豆黄卷	大豆黄巻			4		去	＊＊＊去							0135a6	
20-002-02	医心方_仁和寺	91	74	蕪	蕪	蕪荑	蕪荑			1		平	平平							0135a6	
20-002-02	医心方_仁和寺	92	74	荑	荑	蕪荑	蕪荑			2		平	平平							0135a6	
20-002-02	医心方_仁和寺	93	75	彊	彊	彊蠶	彊蚕			1		上	上＊			〔右〕紀良反				0135a6	
20-002-02	医心方_仁和寺	94	76	蜂	蜂	蜂房	蜂房			1		去	去上							0135a7	
20-002-02	医心方_仁和寺	95	76	房	房	蜂房	蜂房			2		上	去上							0135a7	
20-002-02	医心方_仁和寺	96	77	率	率	率	率			1		入	入				〔右〕音栗			0136b6	
20-002-02	医心方_仁和寺	97	78	腎	腎	腎	腎			1				〔右〕シン	シン					0137b2	
20-002-02	医心方_仁和寺	98	79	晬	晬	晬時	晬時			1		〔朱〕去	去＊	〔右〕サイ	サイ＊					0137b5	
20-002-02	医心方_仁和寺	99	80	迊	迊	迊々	迊々			1						〔右〕祖合反				0137b7	
20-002-02	医心方_仁和寺	100	81	𥹋	𥹋	𥹋糖	𥹋糖			1						〔右〕以之反				0139a6	
20-002-02	医心方_仁和寺	101	82	礬	礬	礬石	礬石			1		〔朱〕去	去＊							0139b7	「石」字右傍に書入
20-002-02	医心方_仁和寺	102	83	天	天	天雄	天雄			1		去	去上							0140a3	
20-002-02	医心方_仁和寺	103	83	雄	雄	天雄	天雄			2		上	去上							0140a3	
20-002-02	医心方_仁和寺	104	84	撮	撮	一撮	一撮			2		入	＊入			〔右〕庶活反				0143a5	
20-002-02	医心方_仁和寺	105	85	流	流	流黄	流黄			1				〔右〕ユ	ユ＊					0146a2	
20-002-02	医心方_仁和寺	106	86	鹵	鹵	鹵鹹	鹵鹹			1		上	上平	〔右〕ロ	ロカム					0146a4	
