資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長さ	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
20-038-04	五悔_石山寺_声明集	1	1	歸	歸	歸命	歸-命			1		平	平去濁							10:12	
20-038-04	五悔_石山寺_声明集	2	1	命	命	歸命	歸-命			2		去濁	平去濁							10:12	
20-038-04	五悔_石山寺_声明集	3	2	十	十	十方	十方			1		入軽	入軽平							10:12	
20-038-04	五悔_石山寺_声明集	4	2	方	方	十方	十方			2		平	入軽平							10:12	
20-038-04	五悔_石山寺_声明集	5	3	一	一	一切佛	一切佛			1		去	去去入							10:12	
20-038-04	五悔_石山寺_声明集	6	3	切	切	一切佛	一切佛			2		去	去去入							10:12	
20-038-04	五悔_石山寺_声明集	7	3	佛	佛	一切佛	一切佛			3		入	去去入							10:12	
20-038-04	五悔_石山寺_声明集	8	4	_	_	_勝	_勝			1		平	平平		＊シ					10:12	
20-038-04	五悔_石山寺_声明集	9	4	勝	勝	_勝	_勝			2			平平	シ	＊シ					10:12	
20-038-04	五悔_石山寺_声明集	10	5	妙	妙	妙法	妙法			1		去濁	去濁入							10:12	
20-038-04	五悔_石山寺_声明集	11	5	法	法	妙法	妙法			2		入	去濁入							10:12	
20-038-04	五悔_石山寺_声明集	12	6	菩	菩	菩提衆	菩提衆			1		平	平平去							10:12	
20-038-04	五悔_石山寺_声明集	13	6	提	提	菩提衆	菩提衆			2		平	平平去							10:12	
20-038-04	五悔_石山寺_声明集	14	6	衆	衆	菩提衆	菩提衆			3		去	平平去							10:12	
20-038-04	五悔_石山寺_声明集	15	7	以	以	以身	以身			1		去	去平軽							10:13	
20-038-04	五悔_石山寺_声明集	16	7	身	身	以身	以身			2		平軽	去平軽							10:13	
20-038-04	五悔_石山寺_声明集	17	8	口	口	口意	口意			1		上	上去							10:13	
20-038-04	五悔_石山寺_声明集	18	8	意	意	口意	口意			2		去	上去							10:13	
20-038-04	五悔_石山寺_声明集	19	9	清	清	清淨業	清浄業			1		平軽	平軽去入濁							10:13	
20-038-04	五悔_石山寺_声明集	20	9	淨	浄	清淨業	清浄業			2		去	平軽去入濁							10:13	
20-038-04	五悔_石山寺_声明集	21	9	業	業	清淨業	清浄業			3		入濁	平軽去入濁							10:13	
20-038-04	五悔_石山寺_声明集	22	10	慇	慇	慇懃	慇懃			1		上	上上							10:13	
20-038-04	五悔_石山寺_声明集	23	10	懃	懃	慇懃	慇懃			2		上	上上							10:13	
20-038-04	五悔_石山寺_声明集	24	11	合	合	合掌	合掌			1		入軽	入軽去							10:13	
20-038-04	五悔_石山寺_声明集	25	11	掌	掌	合掌	合掌			2		去	入軽去							10:13	
20-038-04	五悔_石山寺_声明集	26	12	恭	恭	恭敬禮	恭敬礼			1		平軽	平軽上上							10:13	
20-038-04	五悔_石山寺_声明集	27	12	敬	敬	恭敬禮	恭敬礼			2		上	平軽上上							10:13	
20-038-04	五悔_石山寺_声明集	28	12	禮	礼	恭敬禮	恭敬礼			3		上	平軽上上							10:13	
20-038-04	五悔_石山寺_声明集	29	13	無	無	無始	無始			1		平濁	平濁上							10:15	
20-038-04	五悔_石山寺_声明集	30	13	始	始	無始	無始			2		上	平濁上							10:15	
20-038-04	五悔_石山寺_声明集	31	14	輪	輪	輪廻	輪廻			1		平	平去		＊火イ					10:15	
20-038-04	五悔_石山寺_声明集	32	14	廻	廻	輪廻	輪廻			2		去	平去	火イ	＊火イ					10:15	
20-038-04	五悔_石山寺_声明集	33	15	諸	諸	諸有中	諸有中			1		平軽	平軽去平							10:15	
20-038-04	五悔_石山寺_声明集	34	15	有	有	諸有中	諸有中			2		去	平軽去平							10:15	
20-038-04	五悔_石山寺_声明集	35	15	中	中	諸有中	諸有中			3		平	平軽去平							10:15	声点虫損で存疑
20-038-04	五悔_石山寺_声明集	36	16	身	身	身口	身口			1		平軽	平軽去							10:15	
20-038-04	五悔_石山寺_声明集	37	16	口	口	身口	身口			2		去	平軽去							10:15	
20-038-04	五悔_石山寺_声明集	38	17	意	意	意業	意業			1		去	去入濁							10:15	
20-038-04	五悔_石山寺_声明集	39	17	業	業	意業	意業			2		入濁	去入濁							10:15	
20-038-04	五悔_石山寺_声明集	40	18	_	_	_生罪	_生罪			1		上	上平軽去							10:15	
20-038-04	五悔_石山寺_声明集	41	18	生	生	_生罪	_生罪			2		平軽	上平軽去							10:15	
