資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
20-044-01	九条本法華経音	1	1	通	通	通	通			1		去	去	ツウ	ツウ	智風反				01-1-1	
20-044-01	九条本法華経音	2	2	能	能	能	能			1		去	去	ノウ	ノウ	乃恒反				01-1-2	
20-044-01	九条本法華経音	3	3	生	生	生	生			1		去	去			色令反				01-1-3	
20-044-01	九条本法華経音	4	4	勇	勇	勇	勇			1		去	去	ユウ	ユウ	用空反				01-1-6	
20-044-01	九条本法華経音	5	5	光	光	光	光			1		去	去	クワウ	クワウ	過王反				01-2-1	
20-044-01	九条本法華経音	6	6	香	香	香	香			1		去	去	カウ	カウ	向羊反				01-2-2	
20-044-01	九条本法華経音	7	7	明	明	明	明			1		去	去	ミヤウ	ミヤウ	武兵反				01-2-3	
20-044-01	九条本法華経音	8	8	龍	龍	龍	龍			1		去	去	リウ	リウ	六中反				01-2-4	
20-044-01	九条本法華経音	9	9	敬	敬	敬	敬			1		平	平	キヤウ	キヤウ	居量反				01-2-5	
20-044-01	九条本法華経音	10	10	重	重	重	重			1		平濁	平濁	チウ	チウ	持龍反				01-2-6	
20-044-01	九条本法華経音	11	11	乘	乗	乘	乗			1		去濁	去濁	シヨウ	シヨウ	食陵反				01-3-1	
20-044-01	九条本法華経音	12	12	動	動	動	動			1		平濁	平濁	トウ	トウ	同興反				01-3-2	
20-044-01	九条本法華経音	13	13	上	上	上	上			1		平濁	平濁	シヤウ	シヤウ	時量反				01-3-3	
20-044-01	九条本法華経音	14	14	種	種	種	種			1		平	平	シユウ	シユウ	者諷反				01-3-4	
20-044-01	九条本法華経音	15	15	聖	聖	聖	聖			1		平	平	シヤウ	シヤウ	此量反				01-3-5	
20-044-01	九条本法華経音	16	16	曾	曽	曾	曽			1		去濁	去濁	ソウ	ソウ	座東反				01-3-6	
20-044-01	九条本法華経音	17	17	放	放	放	放			1		平	平	ハウ	ハウ	普講反				01-4-1	沼本反切訂正：称→講
20-044-01	九条本法華経音	18	18	相	相	相	相			1		平	平	サウ	サウ	千講反				01-4-2	
20-044-01	九条本法華経音	19	19	東	東	東	東			1		去	去	トウ	トウ	得恒反				01-4-3	
20-044-01	九条本法華経音	20	20	方	方	方	方			1		去	去	ハウ	ハウ	放香反				01-4-4	
20-044-01	九条本法華経音	21	21	并	并	并	并			1		去濁	去濁	ヒヤウ	ヒヤウ	比名反				01-4-5	
20-044-01	九条本法華経音	22	22	行	行	行	行			1		去濁	去濁	キヤウ	キヤウ	後令反／復令反				01-4-6	沼訂：復削除
20-044-01	九条本法華経音	23	23	當	當	當	當			1		去	去	タウ	タウ	多香反				01-5-1	
20-044-01	九条本法華経音	24	24	應	應	應	應			1		去	去	ヲウ	ヲウ	於強反／於恒反				01-5-2	
20-044-01	九条本法華経音	25	25	莊	莊	莊	莊			1		去	去	シヤウ	シヤウ	子令反				01-5-3	
20-044-01	九条本法華経音	26	26	風	風	風	風			1		上	上	フウ	フウ	方空反				01-5-4	反切上字影印でも判別不能
20-044-01	九条本法華経音	27	27	淨	浄	淨	浄			1		平濁	平濁	シヤウ	シヤウ	自量反				01-5-5	
20-044-01	九条本法華経音	28	28	從	従	從	従			1		去濁	去濁	シユウ	シユウ	受空反				01-5-6	
20-044-01	九条本法華経音	29	29	頂	頂	頂	頂			1		平	平			丁量反				01-6-1	
20-044-01	九条本法華経音	30	30	聲	聲	聲	聲			1		去	去	シヤウ	シヤウ	此令反				01-6-2	
20-044-01	九条本法華経音	31	31	清	清	清	清			1		去	去	シヤウ	シヤウ	此令反				01-6-3	
20-044-01	九条本法華経音	32	32	令	令	令	令			1		去	去	リヤウ	リヤウ	力生反				01-6-4	
20-044-01	九条本法華経音	33	33	講	講	講	講			1		平	平	カウ	カウ	去唐反				01-6-5	
20-044-01	九条本法華経音	34	34	正	正	正	正			1		平	平			此量反				01-6-6	
20-044-01	九条本法華経音	35	35	病	病	病	病			1		平濁	平濁			部命反				01-7-1	沼本反切訂正：令→命
20-044-01	九条本法華経音	36	36	勝	勝	勝	勝			1		平	平	シヨウ	シヨウ	此陵反				01-7-2	
20-044-01	九条本法華経音	37	37	恆	恒	恆	恒			1		去濁	去濁	カウ	カウ	後曽反				01-7-3	
20-044-01	九条本法華経音	38	38	剛	_	剛	_			1		上濁／去	上濁／去	カウ	カウ	去當反／後當反				01-7-4	
20-044-01	九条本法華経音	39	39	向	向	向	向			1		平	平	カウ	カウ	去唐反				01-7-5	
20-044-01	九条本法華経音	40	40	往	往	往	往			1		平	平	ワウ	ワウ	王亡反				01-7-6	
20-044-01	九条本法華経音	41	41	靜	静	靜	静			1		平濁	平濁	シヤウ	シヤウ	自量反				01-8-1	
20-044-01	九条本法華経音	42	42	誦	誦	誦	誦			1		平濁	平濁	シユウ	シユウ	地供反				01-8-2	
20-044-01	九条本法華経音	43	43	猛	猛	猛	猛			1		平	平	ミヤウ	ミヤウ	亡量反				01-8-3	
20-044-01	九条本法華経音	44	44	定	定	定	定			1		平濁	平濁			地量反				01-8-4	
20-044-01	九条本法華経音	45	45	兵	兵	兵	兵			1		去	去	ヒヤウ	ヒヤウ	悲名反				01-8-5	
20-044-01	九条本法華経音	46	46	甞	甞	甞	甞			1		去濁	去濁	シヤウ	シヤウ	自令反				01-8-6	
20-044-01	九条本法華経音	47	47	増	増	増	増			1		去濁	去濁	ソウ	ソウ	座恒反				02-1-1	
20-044-01	九条本法華経音	48	48	打	打	打	打			1		去	去	チヤウ	チヤウ	得令反				02-1-2	
20-044-01	九条本法華経音	49	49	湯	湯	湯	湯			1		去	去	タウ	タウ	多房反				02-1-3	
20-044-01	九条本法華経音	50	50	僧	僧	僧	僧			1		去	去	ソウ	ソウ	祖恒反				02-1-4	反切上字「租」ナラズヤ
20-044-01	九条本法華経音	51	51	盛	盛	盛	盛			1		去濁	去濁	シヤウ	シヤウ	自令反				02-1-5	
20-044-01	九条本法華経音	52	52	性	性	性	性			1		平	平	シヤウ	シヤウ	此量反				02-1-6	
20-044-01	九条本法華経音	53	53	縱	縦	縱	縦			1		去濁	去濁	シユウ	シユウ	受風反				02-2-1	
20-044-01	九条本法華経音	54	54	廣	廣	廣	廣			1		平	平	クワウ	クワウ	過往反／果往反				02-2-2	
20-044-01	九条本法華経音	55	55	憧	憧	憧	憧			1		去濁	去濁	トウ	トウ	堂恒反				02-2-3	
20-044-01	九条本法華経音	56	56	鈴	鈴	鈴	鈴			1		去	去	リヤウ	リヤウ	良経反／力生反／良像反				02-2-4	
20-044-01	九条本法華経音	57	57	鳴	鳴	鳴	鳴			1		平	平	ミヤウ	ミヤウ	無量反				02-2-5	
20-044-01	九条本法華経音	58	58	仰	仰	仰	仰			1		平濁	平濁	カウ	カウ	後唐反				02-2-6	
20-044-01	九条本法華経音	59	59	場	場	場	場			1		去濁	去濁	チヤウ	チヤウ	度令反				02-3-1	
20-044-01	九条本法華経音	60	60	燈	燈	燈	燈			1		去	去	トウ	トウ	都僧反				02-3-2	
20-044-01	九条本法華経音	61	61	丈	丈	丈	丈			1		去濁	去濁	チヤウ	チヤウ	直令反				02-3-3	
20-044-01	九条本法華経音	62	62	竟	竟	竟	竟			1		平	平	キヤウ	キヤウ	居量反				02-3-4	
20-044-01	九条本法華経音	63	63	成	成	成	成			1		去濁	去濁	シヤウ	シヤウ	自令反				02-3-5	
20-044-01	九条本法華経音	64	64	同	同	同	同			1		去濁	去濁			堂僧反				02-3-6	
20-044-01	九条本法華経音	65	65	姓	姓	姓	姓			1		平	平	シヤウ	シヤウ	此量反				02-4-1	
20-044-01	九条本法華経音	66	66	嚮	嚮	嚮	嚮			1		平	平	カウ	カウ	去謗反				02-4-2	
20-044-01	九条本法華経音	67	67	領	領	領	領			1		平	平	リヤウ	リヤウ	力聴反				02-4-3	
20-044-01	九条本法華経音	68	68	聽	聴	聽	聴			1		平	平	チヤウ	チヤウ	智量反				02-4-4	
20-044-01	九条本法華経音	69	69	項	項	項	項			1		平	平	クヰヤウ	クヰヤウ	果永反				02-4-5	
20-044-01	九条本法華経音	70	70	藏	蔵	藏	蔵			1		平濁	平濁	サウ	サウ	座浪反				02-4-6	
20-044-01	九条本法華経音	71	71	忘	忘	忘	忘			1		平	平	マウ	マウ	無放反				02-5-1	
20-044-01	九条本法華経音	72	72	像	像	像	像			1		平濁	平濁	サウ	サウ	座浪反				02-5-2	
20-044-01	九条本法華経音	73	73	奉	奉	奉	奉			1		平濁	平濁	フウ	フウ	復供反				02-5-3	
20-044-01	九条本法華経音	74	74	證	證	證	證			1		平	平	シヨウ	シヨウ	此勝反				02-5-4	
20-044-01	九条本法華経音	75	75	充	充	充	充			1		去濁	去濁	シユウ	シユウ	_風反				02-5-5	
20-044-01	九条本法華経音	76	76	詳	詳	詳	詳			1		平	平	シヤウ	シヤウ	此量反				02-5-6	
20-044-01	九条本法華経音	77	77	雄	雄	雄	雄			1		去	去	ヲウ	ヲウ	於恒反				02-6-1	
20-044-01	九条本法華経音	78	78	網	網	網	網			1		去	去	マウ	マウ	無王反				02-6-2	
20-044-01	九条本法華経音	79	79	兩	両	兩	両			1		平	平	リヤウ	リヤウ	力正反				02-6-3	
20-044-01	九条本法華経音	80	80	敬	敬	敬	敬			1		平	平	キヤウ	キヤウ	去量反				02-6-4	沼本掲出字訂正：敬→驚
20-044-01	九条本法華経音	81	81	將	将	將	将			1		去	去	シヤウ	シヤウ	此令反				02-6-5	
20-044-01	九条本法華経音	82	82	坑	坑	坑	坑			1		去	去	キヤウ	キヤウ	去令反				02-6-6	
20-044-01	九条本法華経音	83	83	長	長	長	長			1		平／去濁	平／去濁			智量反／地令反				02-7-1	
20-044-01	九条本法華経音	84	84	請	請	請	請			1		平	平	シヤウ	シヤウ	此量反				02-7-2	
20-044-01	九条本法華経音	85	85	貞	貞	貞	貞			1		平	平	チヤウ	チヤウ	多両反				02-7-3	
20-044-01	九条本法華経音	86	86	妄	妄	妄	妄			1		平	平	マウ	マウ	武放反				02-7-4	
20-044-01	九条本法華経音	87	87	尚	尚	尚	尚			1		去	去	シヤウ	シヤウ	此令反				02-7-5	
20-044-01	九条本法華経音	88	88	况	况	况	况			1		平／去	平／去	クヰヤウ	クヰヤウ	果令反／果量反				02-7-6	
20-044-01	九条本法華経音	89	89	命	命	命	命			1		平	平	ミヤウ	ミヤウ	無量反				02-8-1	
20-044-01	九条本法華経音	90	90	糠	糠	糠	糠			1		上	上	カウ	カウ	口香反				02-8-2	
20-044-01	九条本法華経音	91	91	終	終	終	終			1		去濁	去濁	シユウ	シユウ	受風反				02-8-3	
20-044-01	九条本法華経音	92	92	平	平	平	平			1		平／去濁	平／去濁	ヒヤウ	ヒヤウ	比令反／彼量反				02-8-4	
20-044-01	九条本法華経音	93	93	誑	誑	誑	誑			1		平／去	平／去			王向反				02-8-5	
20-044-01	九条本法華経音	94	94	形	形	形	形			1		去濁	去濁	キヤウ	キヤウ	後令反				02-8-6	
20-044-01	九条本法華経音	95	95	晃	晃	晃	晃			1		去	去	クワウ	クワウ	過王反				03-1-1	
20-044-01	九条本法華経音	96	96	凉	凉	凉	凉			1		去	去	リヤウ	リヤウ	力生反				03-1-2	
20-044-01	九条本法華経音	97	97	恆	恒	恆	恒			1		去	去	カウ	カウ	後刀反				03-1-3	
20-044-01	九条本法華経音	98	98	荊	荊	荊	荊			1		去濁	去濁	キヤウ	キヤウ	後令反				03-1-4	
20-044-01	九条本法華経音	99	99	悚	悚	悚	悚			1		去	去	シヨウ	シヨウ	此陵反				03-1-5	
20-044-01	九条本法華経音	100	100	送	送	送	送			1		平	平	ソウ	ソウ	祖等反				03-1-7	
20-044-01	九条本法華経音	101	101	萌	萌	萌	萌			1		去	去	マウ	マウ	无香反				03-2-1	
20-044-01	九条本法華経音	102	102	想	想	想	想			1		平	平	サウ	サウ	七講反				03-2-2	
20-044-01	九条本法華経音	103	103	諷	諷	諷	諷			1		平	平	フウ	フウ	方踊反				03-2-3	
20-044-01	九条本法華経音	104	104	昇	昇	昇	昇			1		去	去	シヨウ	シヨウ	此陵反				03-2-4	
20-044-01	九条本法華経音	105	105	聡	聡	聡	聡			1		平	平	ソウ	ソウ	此等反				03-2-5	
20-044-01	九条本法華経音	106	106	營	榮	營	榮			1		平	平	ヰヤウ	ヰヤウ	王量反				03-2-6	
20-044-01	九条本法華経音	107	107	迥	迥	迥	迥			1		平	平	クヰヤウ	クヰヤウ	果正反				03-3-1	
20-044-01	九条本法華経音	108	108	涌	涌	涌	涌			1		平	平	ユウ	ユウ	由諷反				03-3-2	
20-044-01	九条本法華経音	109	109	江	江	江	江			1		平濁	平濁	カウ	カウ	後相反				03-3-3	
20-044-01	九条本法華経音	110	110	容	容	容	容			1		去	去	ヨウ	ヨウ	與東反				03-3-4	
20-044-01	九条本法華経音	111	111	央	央	央	央			1		平	平	アウ	アウ	於相反				03-3-5	
20-044-01	九条本法華経音	112	112	政	政	政	政			1		平	平	シヤウ	シヤウ	子量反				03-3-6	
20-044-01	九条本法華経音	113	113	鍾	鍾	鍾	鍾			1		平	平	シヨウ	シヨウ	者踊反				03-4-1	
20-044-01	九条本法華経音	114	114	靈	霊	靈	霊			1		去	去	リヤウ	リヤウ	力生反				03-4-2	
20-044-01	九条本法華経音	115	115	讓	譲	讓	譲			1		去濁	去濁	シヤウ	シヤウ	自令反				03-4-3	
