資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長さ	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
20-045-01	保延本法華経単字	1	1	妙	妙	妙	妙			1	1	平・〔朱〕去濁	平・去濁	〔院政〕ヘウ	ヘウ	无[去]少[平]反				121	
20-045-01	保延本法華経単字	2	2	无	无	无	无			1	1	〔朱〕去	去							121	「妙」反切上字
20-045-01	保延本法華経単字	3	3	少	少	少	少			1	1	〔朱〕平	平							121	「妙」反切下字
20-045-01	保延本法華経単字	4	4	法	法	法	法			1	1	入・〔朱〕上	入・上	〔院政〕ハウ	ハウ	方[去]邑[入]反				122	
20-045-01	保延本法華経単字	5	5	方	方	方	方			1	1	〔朱〕去	去							122	「法」反切上字
20-045-01	保延本法華経単字	6	6	邑	邑	邑	邑			1	1	〔朱〕入	入							122	「法」反切下字
20-045-01	保延本法華経単字	7	7	蓮	蓮	蓮	蓮			1	1	去・〔朱〕平	去・平	〔院政〕レン	レン	力[入]田[去濁]反				123	
20-045-01	保延本法華経単字	8	8	力	力	力	力			1	1	〔朱〕入	入							123	「蓮」反切上字
20-045-01	保延本法華経単字	9	9	田	田	田	田			1	1	〔朱〕去濁	去濁							123	「蓮」反切下字
20-045-01	保延本法華経単字	10	10	華	華	華	華			1	1	去・〔朱〕平濁	去・平濁	〔院政〕クワア	クワア	果[平]廻[上]反・〔イ本〕廻[上]果[平]				124	
20-045-01	保延本法華経単字	11	11	果	果	果	果			1	1	〔朱〕平	平							124	「華」反切上字
20-045-01	保延本法華経単字	12	12	廻	廻	廻	廻			1	1	〔朱〕上	上							124	「華」反切下字
20-045-01	保延本法華経単字	13	13	廻	廻	廻	廻			1	1	〔朱〕上	上							124	「華」反切上字
20-045-01	保延本法華経単字	14	14	果	果	果	果			1	1	〔朱〕平	平							124	「華」反切下字
20-045-01	保延本法華経単字	15	15	經	經	經	經			1	1	去・〔朱〕平	去・平	〔院政〕ケイ	ケイ	古[平]令[去]反・去[平]○				131	
20-045-01	保延本法華経単字	16	16	古	古	古	古			1	1	〔朱〕平	平							131	「經」反切上字
20-045-01	保延本法華経単字	17	17	令	令	令	令			1	1	〔朱〕去	去							131	「經」反切下字
20-045-01	保延本法華経単字	18	18	去	去	去	去			1	1	〔朱〕平	平							131	「經」反切上字
20-045-01	保延本法華経単字	19	19	序	序	序	序			1	1	平濁	平濁			自[平濁]女[平]反				132	
20-045-01	保延本法華経単字	20	20	自	自	自	自			1	1	〔朱〕平濁	平濁							132	「序」反切上字
20-045-01	保延本法華経単字	21	21	女	女	女	女			1	1	〔朱〕平	平							132	「序」反切下字
20-045-01	保延本法華経単字	22	22	品	品	品	品			1	1	平	平			普[平]飲[平]_				133	
20-045-01	保延本法華経単字	23	23	普	普	普	普			1	1	〔朱〕平	平							133	「品」反切上字
20-045-01	保延本法華経単字	24	24	飲	飲	飲	飲			1	1	〔朱〕平	平							133	「品」反切下字
20-045-01	保延本法華経単字	25	25	第	第	第	第			1	1	平濁	平濁			度[平濁]界[平]_				134	
20-045-01	保延本法華経単字	26	26	度	度	度	度			1	1	〔朱〕平濁	平濁							134	「第」反切上字
20-045-01	保延本法華経単字	27	27	界	界	界	界			1	1	〔朱〕平	平							134	「第」反切下字
20-045-01	保延本法華経単字	28	28	一	一	一	一			1	1	入	入			因[去]吉[入]_				141	
20-045-01	保延本法華経単字	29	29	因	因	因	因			1	1	〔朱〕去	去							141	「一」反切上字
20-045-01	保延本法華経単字	30	30	吉	吉	吉	吉			1	1	〔朱〕入	入							141	「一」反切下字
20-045-01	保延本法華経単字	31	31	如	如	如	如			1	1	去	去			忍[平]慮[去]_				142	
20-045-01	保延本法華経単字	32	32	忍	忍	忍	忍			1	1	〔朱〕平	平							142	「如」反切上字
20-045-01	保延本法華経単字	33	33	慮	慮	慮	慮			1	1	〔朱〕去	去							142	「如」反切下字
20-045-01	保延本法華経単字	34	34	是	是	是	是			1	1	平濁	平濁			自[平濁]價[平]_・時[去濁]價[平]				143	
20-045-01	保延本法華経単字	35	35	自	自	自	自			1	1	〔朱〕平濁	平濁							143	「是」反切上字
20-045-01	保延本法華経単字	36	36	價	價	價	價			1	1	〔朱〕平	平							143	「是」反切下字
20-045-01	保延本法華経単字	37	37	時	時	時	時			1	1	〔朱〕去濁	去濁							143	「是」反切上字
20-045-01	保延本法華経単字	38	38	價	價	價	價			1	1	〔朱〕平	平							143	「是」反切下字
20-045-01	保延本法華経単字	39	39	我	我	我	我			1	1	平	平			語[平濁]阿[平]_				144	
20-045-01	保延本法華経単字	40	40	語	語	語	語			1	1	〔朱〕平濁	平濁							144	「我」反切上字
20-045-01	保延本法華経単字	41	41	阿	阿	阿	阿			1	1	〔朱〕平	平							144	「我」反切下字
20-045-01	保延本法華経単字	42	42	聞	聞	聞	聞			1	1	去	去			无[去]尊[去]_				211	
20-045-01	保延本法華経単字	43	43	无	无	无	无			1	1	〔朱〕去	去							211	「聞」反切上字
20-045-01	保延本法華経単字	44	44	尊	尊	尊	尊			1	1	〔朱〕去	去							211	「聞」反切下字
20-045-01	保延本法華経単字	45	45	時	時	時	時			1	1	上	上			受[平濁]醫[上]_				212	
20-045-01	保延本法華経単字	46	46	受	受	受	受			1	1	〔朱〕平濁	平濁							212	「時」反切上字
20-045-01	保延本法華経単字	47	47	醫	醫	醫	醫			1	1	〔朱〕上	上							212	「時」反切下字
20-045-01	保延本法華経単字	48	48	佛	佛	佛	佛			1	1	入濁	入濁			部[平濁]崛[入]_・_[入]				213	
20-045-01	保延本法華経単字	49	49	部	部	部	部			1	1	〔朱〕平濁	平濁							213	「佛」反切上字
20-045-01	保延本法華経単字	50	50	崛	崛	崛	崛			1	1	〔朱〕入	入							213	「佛」反切下字
20-045-01	保延本法華経単字	51	51	_	_	_	_			1	1	〔朱〕入	入							213	「佛」反切下字
20-045-01	保延本法華経単字	52	52	住	住	住	住			1	1					頭[去濁]久[平]_				214	
