資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
20-050-01	大鏡_天理大学図書館	1	1	嘉	嘉	嘉祥	嘉祥			1				カ	カシヤウ					002a-5	
20-050-01	大鏡_天理大学図書館	2	1	祥	祥	嘉祥	嘉祥			2				シヤウ	カシヤウ					002a-5	
20-050-01	大鏡_天理大学図書館	3	2	贈	贈	贈太政大臣	贈太政大臣に			1		去濁	去濁＊＊＊＊							002a-5	
20-050-01	大鏡_天理大学図書館	4	3	贈	贈	贈太政大臣	贈太政大臣			1		去濁	去濁＊＊＊＊							002b-2	
20-050-01	大鏡_天理大学図書館	5	4	薨	薨	薨	薨ス		混種語	1		平	平	コウ	コウス					002b-4	双行書き
20-050-01	大鏡_天理大学図書館	6	5	内	尚	内侍	尚侍		混種語	1				ナイ	ナイシノカミ					002b-4	双行書き
20-050-01	大鏡_天理大学図書館	7	5	侍	侍	内侍	尚侍		混種語	2				シ	ナイシノカミ					002b-4	双行書き
20-050-01	大鏡_天理大学図書館	8	6	從	従	從一位	従一位			1				シユ	シユ＊＊					002b-7	
20-050-01	大鏡_天理大学図書館	9	7	即	即	即位	即位の			1		入	入平	ソク	ソクイ					002b-8	
20-050-01	大鏡_天理大学図書館	10	7	位	位	即位	即位の			2		平	入平	イ	ソクイ					002b-8	
20-050-01	大鏡_天理大学図書館	11	8	年	年	年官	年官			1		去	去上							002b-8	
20-050-01	大鏡_天理大学図書館	12	8	官	官	年官	年官			2		上	去上							002b-8	
20-050-01	大鏡_天理大学図書館	13	9	年	年	年爵	年爵			1		去	去入濁		＊シヤク					002b-8	
20-050-01	大鏡_天理大学図書館	14	9	爵	爵	年爵	年爵			2		入濁	去入濁	シヤク	＊シヤク					002b-8	
20-050-01	大鏡_天理大学図書館	15	10	號	号	諡號	諡号			2		去濁	＊去濁							003a-2	右傍イミナ
20-050-01	大鏡_天理大学図書館	16	11	忠	忠	忠仁公	忠ｰ仁ｰ公と			1		平	平平濁＊	チウ	チウシムコウ					003a-2	
20-050-01	大鏡_天理大学図書館	17	11	仁	仁	忠仁公	忠ｰ仁ｰ公と			2		平濁	平平濁＊	シム	チウシムコウ					003a-2	
20-050-01	大鏡_天理大学図書館	18	11	公	公	忠仁公	忠ｰ仁ｰ公と			3			平平濁＊	コウ	チウシムコウ					003a-2	
20-050-01	大鏡_天理大学図書館	19	12	文	文	文德天皇	文徳天皇の			1		去	去入濁＊＊							003a-4	
20-050-01	大鏡_天理大学図書館	20	12	德	徳	文德天皇	文徳天皇の			2		入濁	去入濁＊＊							003a-4	
