資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	Unnamed: 22
20-059-01	白氏文集_神田本	1	1	王	王	王業	王業			1	2	〔墨〕去	去＊						003	3_003		
20-059-01	白氏文集_神田本	2	2	漫	澷	海漫漫	海澷澷は			2	2					〔右〕武安反			003	3_005		
20-059-01	白氏文集_神田本	3	3	怨	怨	怨曠	怨曠を			1	2	〔墨〕去	去去						004	3_007		
20-059-01	白氏文集_神田本	4	3	曠	曠	怨曠	怨曠を			2	2	〔墨〕去	去去						004	3_007		
20-059-01	白氏文集_神田本	5	4	旋	旋	胡旋女	胡旋女は			2	2			〔右〕〔墨B〕セン	＊セン＊				004	3_007		
20-059-01	白氏文集_神田本	6	5	習	習	近習	近習は			2	2			〔右〕〔墨B〕シフ	＊シフ				004	3_007		
20-059-01	白氏文集_神田本	7	6	折	折	折臂翁	折臂翁は			1	2	〔墨〕入	入＊＊		＊ヒ＊				004	3_007		
20-059-01	白氏文集_神田本	8	6	臂	臂	折臂翁	折臂翁は			2	1		入＊＊	〔右〕〔墨B〕ヒ	＊ヒ＊				004	3_007		
20-059-01	白氏文集_神田本	9	7	諷	諷	諷	諷セリ		混種語	1	2	〔墨〕去	去	〔右〕〔墨B〕フ					004	3_008		
20-059-01	白氏文集_神田本	10	8	捕	捕	捕蝗	捕蝗は			1	1	〔墨〕上／去	上去／去去						004	3_009	上声点に墨筆合点あり。	
20-059-01	白氏文集_神田本	11	8	蝗	蝗	捕蝗	捕蝗は			2	2	〔墨〕去	上去／去去						004	3_009	去声点に墨筆合点あり。	
20-059-01	白氏文集_神田本	12	9	長	長	長吏	長吏を			1	2	〔墨〕上	上＊						004	3_009		
20-059-01	白氏文集_神田本	13	10	鹽	塩	城鹽州	城塩州は			2	2			〔右〕〔墨B〕エン	＊エン＊				004	3_010		
20-059-01	白氏文集_神田本	14	11	謨	謨	聖謨	聖謨を			2	1			〔右〕〔墨B〕■[ホ]	＊ホ				004	3_011		
20-059-01	白氏文集_神田本	15	12	美	𫟈	美	𫟈タリ／𫟈なり			1	1	〔墨〕上	上						004	3_011		
20-059-01	白氏文集_神田本	16	13	馴	馴	馴犀	馴犀は			1	2	〔墨〕平	平平						004	3_012		
20-059-01	白氏文集_神田本	17	13	犀	犀	馴犀	馴犀は			2	2	〔墨〕平	平平						004	3_012		
20-059-01	白氏文集_神田本	18	14	雅	雅	雅	雅			1	1	〔墨〕上	上						005	3_013		
20-059-01	白氏文集_神田本	19	15	將	将	將	将の			1	2	〔墨〕去	去						005	3_013		
20-059-01	白氏文集_神田本	20	16	相	相	相	相の			1	2	〔墨〕去	去						005	3_013		
20-059-01	白氏文集_神田本	21	17	驃	驃	驃國樂	驃國樂は			1	2	〔墨〕去	去＊入軽						005	3_014		
20-059-01	白氏文集_神田本	22	17	樂	樂	驃國樂	驃國樂は			3	2	〔墨〕入軽	去＊入軽						005	3_014		
20-059-01	白氏文集_神田本	23	18	傳	傳	傳戎人	傳戎人は			1	2	〔墨〕平	平＊＊	〔右〕〔墨B〕テム	テム＊＊				005	3_014		
20-059-01	白氏文集_神田本	24	19	練	𱺧	百練鏡	百練鏡は			2	2	〔墨〕去	＊去去						005	3_016		
20-059-01	白氏文集_神田本	25	19	鏡	鏡	百練鏡	百練鏡は			3	2	〔墨〕去	＊去去						005	3_016		
