資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-006-01	世俗諺文_天理大学図書館	1	1	飄	飄	飄風	飄風			1			＊平軽							802	
30-006-01	世俗諺文_天理大学図書館	2	1	風	風	飄風	飄風			2		平軽	＊平軽							802	
30-006-01	世俗諺文_天理大学図書館	3	2	井	井	井底	井底			1		上	上上							803	
30-006-01	世俗諺文_天理大学図書館	4	2	底	底	井底	井底			2		上	上上							803	
30-006-01	世俗諺文_天理大学図書館	5	3	叟	叟	北叟	北叟			2		上	＊上	ソウ	＊ソウ					805	
30-006-01	世俗諺文_天理大学図書館	6	4	□	□	□	□			1		上	上							805	「馬」か
30-006-01	世俗諺文_天理大学図書館	7	5	黍	黍	黍稷	黍稷			1				シヨ	シヨシヨク					807	
30-006-01	世俗諺文_天理大学図書館	8	5	稷	稷	黍稷	黍稷			2				シヨク	シヨシヨク					807	
30-006-01	世俗諺文_天理大学図書館	9	6	于	于	于公	于公			1		平	平平軽	ウ	ウ＊					807	
30-006-01	世俗諺文_天理大学図書館	10	6	公	公	于公	于公			2		平軽	平平軽		ウ＊					807	
30-006-01	世俗諺文_天理大学図書館	11	7	陰	陰	陰徳	陰徳			1		平	平入軽							808	
30-006-01	世俗諺文_天理大学図書館	12	7	徳	徳	陰徳	陰徳			2		入軽	平入軽							808	
30-006-01	世俗諺文_天理大学図書館	13	8	木	木	木雁	木雁			1		入軽濁	入軽濁＊							902	
30-006-01	世俗諺文_天理大学図書館	14	9	可	可	可	可			1		去	去							902	
30-006-01	世俗諺文_天理大学図書館	15	10	如	如	如	如シ			1		平濁	平濁							906	
30-006-01	世俗諺文_天理大学図書館	16	11	在	在	在	在マスカ			1		去	去							906	
30-006-01	世俗諺文_天理大学図書館	17	12	神	神	神	神			1		平	平							906	
30-006-01	世俗諺文_天理大学図書館	18	13	非	非	非禮	非礼			1				ヒ	ヒレイ					906	
30-006-01	世俗諺文_天理大学図書館	19	13	禮	礼	非禮	非礼			2				レイ	ヒレイ					906	
30-006-01	世俗諺文_天理大学図書館	20	14	虱	虱	虱	虱			1		平軽	平軽							907	
30-006-01	世俗諺文_天理大学図書館	21	15	尭	尭	尭	尭			1		平濁	平濁	ｘウ	ｘウ					1002	「ケウ」の「ケ」なし
30-006-01	世俗諺文_天理大学図書館	22	16	尭	尭	尭	尭			1		平濁	平濁							1002	
30-006-01	世俗諺文_天理大学図書館	23	17	王	王	王事	王事			1		平	平去							1002	
30-006-01	世俗諺文_天理大学図書館	24	17	事	事	王事	王事			2		去	平去							1002	
30-006-01	世俗諺文_天理大学図書館	25	18	溥	溥	溥天	溥天			1				ホ	ホ＊					1003	
30-006-01	世俗諺文_天理大学図書館	26	19	天	天	天子	天子			1		平軽	平軽上							1003	
30-006-01	世俗諺文_天理大学図書館	27	19	子	子	天子	天子			2		上	平軽上							1003	
30-006-01	世俗諺文_天理大学図書館	28	20	尭	尭	尭舜	尭舜			1		平濁	平濁去	サ	サ＊					1005	仮名不審
30-006-01	世俗諺文_天理大学図書館	29	20	舜	舜	尭舜	尭舜			2		去	平濁去		サ＊					1005	
30-006-01	世俗諺文_天理大学図書館	30	21	比	比	比屋	比屋			1		去	去入軽							1005	
30-006-01	世俗諺文_天理大学図書館	31	21	屋	屋	比屋	比屋			2		入軽	去入軽							1005	
30-006-01	世俗諺文_天理大学図書館	32	22	封	封	封	封ス			1		平	平							1005	
30-006-01	世俗諺文_天理大学図書館	33	23	茅	茅	茅茨	茅茨			1		平濁	平濁平	ハウ	ハウシ					1005	
30-006-01	世俗諺文_天理大学図書館	34	23	茨	茨	茅茨	茅茨			2		平	平濁平	シ	ハウシ					1005	
30-006-01	世俗諺文_天理大学図書館	35	24	綸	綸	綸言	綸言			1		平	平平濁							1006	
30-006-01	世俗諺文_天理大学図書館	36	24	言	言	綸言	綸言			2		平濁	平平濁							1006	
30-006-01	世俗諺文_天理大学図書館	37	25	施	施	施張	施張			1		平／去	平平／去平							1006	
30-006-01	世俗諺文_天理大学図書館	38	25	張	張	施張	施張			2		平	平平／去平							1006	
30-006-01	世俗諺文_天理大学図書館	39	26	釼	釼	釼戟	釼戟			1		上濁	上濁入軽	シム	シムケキ					1007	
30-006-01	世俗諺文_天理大学図書館	40	26	戟	戟	釼戟	釼戟			2		入軽	上濁入軽	ケキ	シムケキ					1007	
30-006-01	世俗諺文_天理大学図書館	41	27	農	農	農器	農器			1		平	平去	ノウ	ノウキ					1007	
30-006-01	世俗諺文_天理大学図書館	42	27	器	器	農器	農器			2		去	平去	キ	ノウキ					1007	
30-006-01	世俗諺文_天理大学図書館	43	28	得	得	得失	得失			1		入軽	入軽入軽							1007	
30-006-01	世俗諺文_天理大学図書館	44	28	失	失	得失	得失			2		入軽	入軽入軽							1007	
30-006-01	世俗諺文_天理大学図書館	45	29	黄	黄	黄河	黄河			1		平	平平／平平軽							1008	
30-006-01	世俗諺文_天理大学図書館	46	29	河	河	黄河	黄河			2		平／平軽	平平／平平軽							1008	濁点縦一列
30-006-01	世俗諺文_天理大学図書館	47	30	人	人	聖人	聖人			2		平濁	＊平濁							1008	
30-006-01	世俗諺文_天理大学図書館	48	31	優	優	優曇華	優曇華			1		上	上上濁上	ウ	ウトム＊					1101	
30-006-01	世俗諺文_天理大学図書館	49	31	曇	曇	優曇華	優曇華			2		上濁	上上濁上	トム	ウトム＊					1101	
30-006-01	世俗諺文_天理大学図書館	50	31	華	華	優曇華	優曇華			3		上	上上濁上		ウトム＊					1101	
30-006-01	世俗諺文_天理大学図書館	51	32	遇	遇	一遇	一遇			2		平濁	＊平濁	ク	＊ク					1101	
30-006-01	世俗諺文_天理大学図書館	52	33	香	香	香餌	香餌			1		平	平去濁	キヤウ	キヤウシ					1102	
30-006-01	世俗諺文_天理大学図書館	53	33	餌	餌	香餌	香餌			2		去濁	平去濁	シ	キヤウシ					1102	
30-006-01	世俗諺文_天理大学図書館	54	34	懸	懸	懸魚	懸魚			1		平	平平濁							1102	
30-006-01	世俗諺文_天理大学図書館	55	34	魚	魚	懸魚	懸魚			2		平濁	平平濁							1102	
30-006-01	世俗諺文_天理大学図書館	56	35	温	温	温樹	温樹			1		平	平去	ヲｘ	ヲｘ＊					1103	「ヲ」助詞か
30-006-01	世俗諺文_天理大学図書館	57	35	樹	樹	温樹	温樹			2		去	平去		ヲｘ＊					1103	
30-006-01	世俗諺文_天理大学図書館	58	36	拙	拙	拙誠	拙誠			1		入軽	入軽平							1104	
30-006-01	世俗諺文_天理大学図書館	59	36	誠	誠	拙誠	拙誠			2		平	入軽平							1104	
30-006-01	世俗諺文_天理大学図書館	60	37	犬	犬	犬馬	犬馬			1		上	上去濁							1104	
30-006-01	世俗諺文_天理大学図書館	61	37	馬	馬	犬馬	犬馬			2		去濁	上去濁							1104	
30-006-01	世俗諺文_天理大学図書館	62	38	情	情	忠情	忠情			2		平	＊平							1104	
30-006-01	世俗諺文_天理大学図書館	63	39	良	良	良藥	良薬			1		平	平入							1105	
30-006-01	世俗諺文_天理大学図書館	64	39	藥	薬	良藥	良薬			2		入	平入							1105	
30-006-01	世俗諺文_天理大学図書館	65	40	言	言	忠言	忠言			2		平濁	＊平濁							1105	
30-006-01	世俗諺文_天理大学図書館	66	41	知	知	四知	四知			2		平	＊平							1106	
30-006-01	世俗諺文_天理大学図書館	67	42	疋	疋	疋夫	疋夫			1		入軽	入軽平	ヒツ	ヒツフ					1106	
30-006-01	世俗諺文_天理大学図書館	68	42	夫	夫	疋夫	疋夫			2		平	入軽平	フ	ヒツフ					1106	
30-006-01	世俗諺文_天理大学図書館	69	43	蟷	蟷	蟷螂	蟷螂			1		平	平平	タウ	タウラウ					1106	
30-006-01	世俗諺文_天理大学図書館	70	43	螂	螂	蟷螂	蟷螂			2		平	平平	ラウ	タウラウ					1106	
30-006-01	世俗諺文_天理大学図書館	71	44	身	身	身體	身体			1		平	平上							1107	
30-006-01	世俗諺文_天理大学図書館	72	44	體	体	身體	身体			2		上	平上							1107	
30-006-01	世俗諺文_天理大学図書館	73	45	髮	髪	髮膚	髪膚			1		入軽	入軽平							1107	
30-006-01	世俗諺文_天理大学図書館	74	45	膚	膚	髮膚	髪膚			2		平	入軽平							1107	
30-006-01	世俗諺文_天理大学図書館	75	46	父	父	父子	父子			1		去	去上							1107	
30-006-01	世俗諺文_天理大学図書館	76	46	子	子	父子	父子			2		上	去上							1107	
30-006-01	世俗諺文_天理大学図書館	77	47	子	子	父子	父子			2		上	＊上							1108	
30-006-01	世俗諺文_天理大学図書館	78	48	父	父	父子	父子			1		去	去上							1109	
30-006-01	世俗諺文_天理大学図書館	79	48	子	子	父子	父子			2		上	去上							1109	
30-006-01	世俗諺文_天理大学図書館	80	49	肉	肉	骨肉	骨肉			2		入軽濁	＊入軽濁							1202	
30-006-01	世俗諺文_天理大学図書館	81	50	親	親	親	親			1		平	平							1202	
30-006-01	世俗諺文_天理大学図書館	82	51	内	内	内	内			1		去濁	去濁							1203	
30-006-01	世俗諺文_天理大学図書館	83	52	擧	挙	擧	挙			1		去	去							1203	
30-006-01	世俗諺文_天理大学図書館	84	53	孝	孝	孝	孝			1		去	去							1204	
30-006-01	世俗諺文_天理大学図書館	85	54	愛	愛	愛	愛ス			1		去	去							1204	
30-006-01	世俗諺文_天理大学図書館	86	55	産	産	産婦	産婦			1		上	上去		＊フ					1205	
30-006-01	世俗諺文_天理大学図書館	87	55	婦	婦	産婦	産婦			2		去	上去	フ	＊フ					1205	
30-006-01	世俗諺文_天理大学図書館	88	56	勝	勝	勝母	勝母			1		去	去去濁							1206	
30-006-01	世俗諺文_天理大学図書館	89	56	母	母	勝母	勝母			2		去濁	去去濁							1206	
30-006-01	世俗諺文_天理大学図書館	90	57	反	反	反哺	反哺			1		上	上去	ハン	ハンホ					1206	
30-006-01	世俗諺文_天理大学図書館	91	57	哺	哺	反哺	反哺			2		去	上去	ホ	ハンホ					1206	
30-006-01	世俗諺文_天理大学図書館	92	58	箕	箕	箕裘	箕裘			1		平	平平	キ	キキウ					1207	
30-006-01	世俗諺文_天理大学図書館	93	58	裘	裘	箕裘	箕裘			2		平	平平	キウ	キキウ					1207	
30-006-01	世俗諺文_天理大学図書館	94	59	兄	兄	兄弟	兄弟			1		平	平平／平去							1207	
30-006-01	世俗諺文_天理大学図書館	95	59	弟	弟	兄弟	兄弟			2		平／去	平平／平去							1207	
30-006-01	世俗諺文_天理大学図書館	96	60	胡	胡	胡越	胡越			1		平	平入軽							1208	
30-006-01	世俗諺文_天理大学図書館	97	60	越	越	胡越	胡越			2		入軽	平入軽							1208	
30-006-01	世俗諺文_天理大学図書館	98	61	昆	昆	昆弟	昆弟			1		平	平去							1208	
30-006-01	世俗諺文_天理大学図書館	99	61	弟	弟	昆弟	昆弟			2		去	平去							1208	
30-006-01	世俗諺文_天理大学図書館	100	62	三	三	三從	三従			1		平軽	平軽平		＊シヨウ					1208	
30-006-01	世俗諺文_天理大学図書館	101	62	從	従	三從	三従			2		平	平軽平	シヨウ	＊シヨウ					1208	
30-006-01	世俗諺文_天理大学図書館	102	63	偕	偕	偕老	偕老			1		平	平上	カイ	カイ＊					1301	
30-006-01	世俗諺文_天理大学図書館	103	63	老	老	偕老	偕老			2		上	平上		カイ＊					1301	
30-006-01	世俗諺文_天理大学図書館	104	64	松	松	松蘿	松蘿			1		平	平＊							1301	
