資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-008-02	遊仙窟_醍醐寺	1	1	積	積	積石	積石			1		入軽	入軽入軽							2	
30-008-02	遊仙窟_醍醐寺	2	1	石	石	積石	積石			2		入軽	入軽入軽							2	
30-008-02	遊仙窟_醍醐寺	3	2	金	金	金城	金城			1		平	平平							2	
30-008-02	遊仙窟_醍醐寺	4	2	城	城	金城	金城			2		平	平平							2	
30-008-02	遊仙窟_醍醐寺	5	3	河	河	河	河			1										2	
30-008-02	遊仙窟_醍醐寺	6	4	龍	龍	龍門	龍門			1		平	平＊							3	
30-008-02	遊仙窟_醍醐寺	7	5	〓	〓（こざとへん＋幵）	〓隴	〓隴			1		平	平上	ケン	ケン＊					4	
30-008-02	遊仙窟_醍醐寺	8	5	隴	隴	〓隴	〓隴			2		上	平上		ケン＊					4	
30-008-02	遊仙窟_醍醐寺	9	6	河	河	河源	河源			1		平	平平濁							4	
30-008-02	遊仙窟_醍醐寺	10	6	源	源	河源	河源			2		平濁	平平濁							4	
30-008-02	遊仙窟_醍醐寺	11	7	迍	迍	迍邅	迍邅			1		平	平平軽	チム	チムテム					5	
30-008-02	遊仙窟_醍醐寺	12	7	邅	邅	迍邅	迍邅			2		平軽	平平軽	テム	チムテム					5	
30-008-02	遊仙窟_醍醐寺	13	8	郷	郷	郷關	郷関			1		平軽	平軽＊	キヤウ	キヤウ＊					5	
30-008-02	遊仙窟_醍醐寺	14	9	眇	眇	眇邈	眇邈			1		上濁	上濁＊		＊ハク					5	
30-008-02	遊仙窟_醍醐寺	15	9	邈	邈	眇邈	眇邈			2			上濁＊	ハク	＊ハク					5	
30-008-02	遊仙窟_醍醐寺	16	10	張	張	張騫	張騫			1		平軽	平軽平		＊ケン					6	
