資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-010-01	阿弥陀経_西本願寺	1	1	佛	佛	佛説阿彌陀經	佛説阿彌陀經			1	1	入急濁	入急濁入急去上上濁上							1	
30-010-01	阿弥陀経_西本願寺	2	1	説	説	佛説阿彌陀經	佛説阿彌陀經			2	1	入急	入急濁入急去上上濁上							1	
30-010-01	阿弥陀経_西本願寺	3	1	阿	阿	佛説阿彌陀經	佛説阿彌陀經			3	1	去	入急濁入急去上上濁上							1	
30-010-01	阿弥陀経_西本願寺	4	1	彌	彌	佛説阿彌陀經	佛説阿彌陀經			4	1	上	入急濁入急去上上濁上							1	
30-010-01	阿弥陀経_西本願寺	5	1	陀	陀	佛説阿彌陀經	佛説阿彌陀經			5	1	上濁	入急濁入急去上上濁上							1	
30-010-01	阿弥陀経_西本願寺	6	1	經	經	佛説阿彌陀經	佛説阿彌陀經			6	2	上	入急濁入急去上上濁上							1	
30-010-01	阿弥陀経_西本願寺	7	2	舎	舎	在舎衞國	在舎衛國			2	1	平	＊平平＊							2	
30-010-01	阿弥陀経_西本願寺	8	2	衞	衛	在舎衞國	在舎衛國			3	1	平	＊平平＊							2	
30-010-01	阿弥陀経_西本願寺	9	3	祇	祇	祇樹給孤獨園	祇樹給孤獨園			1	1	去濁	去濁平濁入急上入緩濁去							2	
30-010-01	阿弥陀経_西本願寺	10	3	樹	樹	祇樹給孤獨園	祇樹給孤獨園			2	1	平濁	去濁平濁入急上入緩濁去							2	
30-010-01	阿弥陀経_西本願寺	11	3	給	給	祇樹給孤獨園	祇樹給孤獨園			3	1	入急	去濁平濁入急上入緩濁去							2	
30-010-01	阿弥陀経_西本願寺	12	3	孤	孤	祇樹給孤獨園	祇樹給孤獨園			4	1	上	去濁平濁入急上入緩濁去							2	
30-010-01	阿弥陀経_西本願寺	13	3	獨	獨	祇樹給孤獨園	祇樹給孤獨園			5	2	入緩濁	去濁平濁入急上入緩濁去							2	
30-010-01	阿弥陀経_西本願寺	14	3	園	園	祇樹給孤獨園	祇樹給孤獨園			6	2	去	去濁平濁入急上入緩濁去							2	
30-010-01	阿弥陀経_西本願寺	15	4	比	比	與大比丘衆	與大比丘衆			3	1	平濁	＊＊平濁上平							3	
30-010-01	阿弥陀経_西本願寺	16	4	丘	丘	與大比丘衆	與大比丘衆			4	1	上	＊＊平濁上平							3	
30-010-01	阿弥陀経_西本願寺	17	4	衆	衆	與大比丘衆	與大比丘衆			5	1	平	＊＊平濁上平							3	
30-010-01	阿弥陀経_西本願寺	18	5	人	人	千二百五十人倶	千二百五十人倶			6	2	上	＊＊＊＊＊上上濁							3	
30-010-01	阿弥陀経_西本願寺	19	5	倶	倶	千二百五十人倶	千二百五十人倶			7	1	上濁	＊＊＊＊＊上上濁							3	
30-010-01	阿弥陀経_西本願寺	20	6	阿	阿	皆是大阿羅漢	皆是大阿羅漢			4	1	平	＊＊＊平上平							3	
30-010-01	阿弥陀経_西本願寺	21	6	羅	羅	皆是大阿羅漢	皆是大阿羅漢			5	1	上	＊＊＊平上平							3	
30-010-01	阿弥陀経_西本願寺	22	6	漢	漢	皆是大阿羅漢	皆是大阿羅漢			6	2	平	＊＊＊平上平							4	
30-010-01	阿弥陀経_西本願寺	23	7	衆	衆	衆所知識	衆所知識			1	1	平	平平上入緩							4	
30-010-01	阿弥陀経_西本願寺	24	7	所	所	衆所知識	衆所知識			2	1	平	平平上入緩							4	
30-010-01	阿弥陀経_西本願寺	25	7	知	知	衆所知識	衆所知識			3	1	上	平平上入緩							4	
30-010-01	阿弥陀経_西本願寺	26	7	識	識	衆所知識	衆所知識			4	2	入緩	平平上入緩							4	
30-010-01	阿弥陀経_西本願寺	27	8	長	長	長老舎利弗	長老舎利弗			1	2	平	平平平平入急							4	
30-010-01	阿弥陀経_西本願寺	28	8	老	老	長老舎利弗	長老舎利弗			2	2	平	平平平平入急							4	
30-010-01	阿弥陀経_西本願寺	29	8	舎	舎	長老舎利弗	長老舎利弗			3	1	平	平平平平入急							4	
30-010-01	阿弥陀経_西本願寺	30	8	利	利	長老舎利弗	長老舎利弗			4	1	平	平平平平入急							4	
30-010-01	阿弥陀経_西本願寺	31	8	弗	弗	長老舎利弗	長老舎利弗			5	1	入急	平平平平入急							4	
30-010-01	阿弥陀経_西本願寺	32	9	摩	摩	摩訶目_連	摩訶目_連			1	1	平	平上入急去上							4	
30-010-01	阿弥陀経_西本願寺	33	9	訶	訶	摩訶目_連	摩訶目_連			2	1	上	平上入急去上							4	
30-010-01	阿弥陀経_西本願寺	34	9	目	目	摩訶目_連	摩訶目_連			3	1	入急	平上入急去上							4	
30-010-01	阿弥陀経_西本願寺	35	9	_	_	摩訶目_連	摩訶目_連			4	2	去	平上入急去上							4	
30-010-01	阿弥陀経_西本願寺	36	9	連	連	摩訶目_連	摩訶目_連			5	2	上	平上入急去上							4	
30-010-01	阿弥陀経_西本願寺	37	10	迦	迦	摩訶迦葉	摩訶迦葉			3	1	上	＊＊上入緩							5	
30-010-01	阿弥陀経_西本願寺	38	10	葉	葉	摩訶迦葉	摩訶迦葉			4	2	入緩	＊＊上入緩							5	
30-010-01	阿弥陀経_西本願寺	39	11	迦	迦	摩訶迦旃延	摩訶迦旃延			3	1	去	＊＊去上上／＊＊去上平							5	
30-010-01	阿弥陀経_西本願寺	40	11	旃	旃	摩訶迦旃延	摩訶迦旃延			4	2	上	＊＊去上上／＊＊去上平							5	
30-010-01	阿弥陀経_西本願寺	41	11	延	延	摩訶迦旃延	摩訶迦旃延			5	2	上／平	＊＊去上上／＊＊去上平							5	別声点アリ
30-010-01	阿弥陀経_西本願寺	43	12	拘	拘	摩訶拘_羅	摩訶拘_羅			3	1	去	＊＊去上上							5	
30-010-01	阿弥陀経_西本願寺	44	12	_	_	摩訶拘_羅	摩訶拘_羅			4	1	上	＊＊去上上							5	
30-010-01	阿弥陀経_西本願寺	45	12	羅	羅	摩訶拘_羅	摩訶拘_羅			5	1	上	＊＊去上上							5	
30-010-01	阿弥陀経_西本願寺	46	13	離	離	離婆多	離婆多			1	1	去	去平上							5	
30-010-01	阿弥陀経_西本願寺	47	13	婆	婆	離婆多	離婆多			2	1	平	去平上							5	
30-010-01	阿弥陀経_西本願寺	48	13	多	多	離婆多	離婆多			3	1	上	去平上							5	
30-010-01	阿弥陀経_西本願寺	49	14	周	周	周梨般他伽	周梨般他伽			1	1	去	去上上上濁上濁							5	
30-010-01	阿弥陀経_西本願寺	50	14	梨	梨	周梨般他伽	周梨般他伽			2	1	上	去上上上濁上濁							5	
30-010-01	阿弥陀経_西本願寺	51	14	般	般	周梨般他伽	周梨般他伽			3	2	上	去上上上濁上濁							6	
30-010-01	阿弥陀経_西本願寺	52	14	他	他	周梨般他伽	周梨般他伽			4	1	上濁	去上上上濁上濁							6	
30-010-01	阿弥陀経_西本願寺	53	14	伽	伽	周梨般他伽	周梨般他伽			5	1	上濁	去上上上濁上濁							6	
30-010-01	阿弥陀経_西本願寺	54	15	難	難	難陀	難陀			1	2	去	去上濁							6	
30-010-01	阿弥陀経_西本願寺	55	15	陀	陀	難陀	難陀			2	1	上濁	去上濁							6	
30-010-01	阿弥陀経_西本願寺	56	16	阿	阿	阿難陀	阿難陀			1	1	平	平去上濁							6	
30-010-01	阿弥陀経_西本願寺	57	16	難	難	阿難陀	阿難陀			2	2	去	平去上濁							6	
30-010-01	阿弥陀経_西本願寺	58	16	陀	陀	阿難陀	阿難陀			3	1	上濁	平去上濁							6	
30-010-01	阿弥陀経_西本願寺	59	17	羅	羅	羅_羅	羅_羅			1	1	去	去＊＊							6	
30-010-01	阿弥陀経_西本願寺	60	17	_	_	羅_羅	羅_羅			2	2	上濁	＊上濁＊							6	
