資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	1	1	濫	濫	濫行	濫行			1		平		ラム						早003	
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	2	2	請	請	請	請フ			1		去								早004	声点？
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	3	3	例	例	例擧	例擧			1		去	去平	レイ	レイコ					早004	
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	4	3	擧	擧	例擧	例擧			2		平	去平	コ	レイコ					早004	縦棒判定不能
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	5	4	税	税	正税	正-税			2		平	＊平	サイ	＊サイ					早005	
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	6	5	息	息	息利	息-利			1		入	入平	ソク	ソクリ					早005	
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	7	5	利	利	息利	息-利			2		平	入平	リ	ソクリ					早005	
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	8	6	頴	頴	頴	頴			1		上	上	エイ	エイ					早007	声点？
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	9	7	減	減	減省	減省			1		上濁	上濁＊	ケム	ケムシヤウ					早007	
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	10	8	録	録	録	録セリ			1		入軽	入	ロク	ロク					早008	
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	11	9	税	税	税帳	税帳			1		平	平平	サイ	サイ＊					早008	
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	12	9	帳	帳	税帳	税帳			2		平	平平		サイ＊					早008	
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	13	10	朝	朝	一朝	一朝			2		平	＊平							早009	
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	14	11	輔	輔	輔弼	輔弼			1		上	上入	フ	フヒツ					早009	
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	15	11	弼	弼	輔弼	輔弼			2		入軽？	上入	ヒツ	フヒツ					早009	
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	16	12	怙	怙	依怙	依-怙			2				コ						早009	
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	17	13	能	能	能田	能田			1		平	平＊							早011	声点？
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	18	14	窮	窮	窮民	窮-民			1		平	平＊							早014	
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	19	15	究	究	究進	究-進			1		去	去＊	キウ	キウ＊					早015	
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	20	16	虜	虜	虜掠	虜掠			1		上	上平	リヨ	リヨリヤウス					早016	
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	21	16	掠	掠	虜掠	虜掠			2		平	上平	リヤウ	リヨリヤウス					早016	
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	22	17	立	立	立浪	立浪			1		上	上去							早017	声点？「五」と理解したか？
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	23	17	浪	浪	立浪	立浪			2		去	上去							早017	声点？
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	24	18	屠	屠	屠膾	屠膾			1		去	去去	ト	トクワ□					早018	□汚損？
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	25	18	膾	膾	屠膾	屠膾			2		去	去去	クワ□	トクワ□					早018	□汚損？
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	26	19	移	移	移住	移住			1		上	上平濁		＊＊ス					早018	濁声点？
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	27	19	住	住	移住	移住			2		平濁	上平濁		＊＊ス					早018	濁声点？
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	28	20	境	境	境程	境程			1		去	去平	ケイ	ケイテイ					早020	
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	29	20	程	程	境程	境程			2		平	去平	テイ	ケイテイ					早020	
30-013-01	尾張国郡司百姓等解文_早稲田大学図書館	30	21	郷	郷	故郷	故郷			2		入	＊入							早020	声点？
