資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	1	1	徴	徴	徴使	徴使			1				テウ	テウシ					東005	左傍「ハタリ　カヒ」
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	2	1	使	使	徴使	徴使			2				シ	テウシ					東005	左傍「ハタリ　カヒ」
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	3	2	國	国	國庫	国庫			1				コク	コクコ					東007	
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	4	2	庫	庫	國庫	国庫			2				コ	コクコ					東007	
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	5	3	減	減	減直	減直			1				ケム	ケム□キ					東010	
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	6	3	直	直	減直	減直			2				□キ	ケム□キ					東010	
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	7	4	離	離	離散	離散			1				リ	リサム					東012	
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	8	4	散	散	離散	離散			2				サム	リサム					東012	
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	9	5	留	留	留跡	留跡			1				リウ	リウ＊					東012	
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	10	6	衰	衰	衰弊	衰弊			1				スイ	スイヘイ					東012	
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	11	6	弊	弊	衰弊	衰弊			2				ヘイ	スイヘイ					東012	
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	12	7	散	散	逃散	逃散			2				サム	＊サム					東013	
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	13	8	愁	愁	愁吟	愁吟			1				シウ	シウキン					東014	
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	14	8	吟	吟	愁吟	愁吟			2				キン	シウキン					東014	
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	15	9	調	調	調絹	調絹			1				テウ	テウケム					東015	
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	16	9	絹	絹	調絹	調絹			2				ケム	テウケム					東015	
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	17	10	減	減	減直	減直			1				ケム	ケム□キ					東015	
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	18	10	直	直	減直	減直			2				□キ	ケム□キ					東015	
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	19	11	具	具	具進	具進			1		平	平平	ク	クシ					東016	
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	20	11	進	進	具進	具進			2		平	平平	シ	クシ					東016	
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	21	12	實	実	實	実			1				シツ	シツ					東017	
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	22	13	蠶	蚕	蠶養	蚕養			1				サム	サムヤウ					東020	
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	23	13	養	養	蠶養	蚕養			2				ヤウ	サムヤウ					東020	
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	24	14	穀	穀	年穀	年穀			2				コク	＊コク					東021	
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	25	15	登	登	登年穀	登年穀？			1				トウ	トウ＊＊					東021	
30-013-02	尾張国郡司百姓等解文_東京大学史料編纂所	26	16	着	着	着任	着任			1				チヤク	チヤク＊					東022	「任」字右傍「テ」
