資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-013-03	尾張国郡司百姓等解文_真福寺	1	1	計	計	勝計	勝-計			2		平濁	＊平濁							真002	
30-013-03	尾張国郡司百姓等解文_真福寺	2	2	窮	窮	窮民	窮-民			1		平	平去							真003	
30-013-03	尾張国郡司百姓等解文_真福寺	3	2	民	民	窮民	窮-民			2		去	平去							真003	
30-013-03	尾張国郡司百姓等解文_真福寺	4	3	呵	呵	呵責	呵責			1				カ	カセキ					真005	
30-013-03	尾張国郡司百姓等解文_真福寺	5	3	責	責	呵責	呵責			2				セキ	カセキ					真005	
30-013-03	尾張国郡司百姓等解文_真福寺	6	4	徒	徒	徒	徒			1				ト	ト					真006	
30-013-03	尾張国郡司百姓等解文_真福寺	7	5	屠	屠	屠膾	屠-膾			1				ト	ト＊					真007	
30-013-03	尾張国郡司百姓等解文_真福寺	8	6	山	山	山川	山-川			1		平	平平濁							真008	
30-013-03	尾張国郡司百姓等解文_真福寺	9	6	川	川	山川	山-川			2		平濁	平平濁							真008	
30-013-03	尾張国郡司百姓等解文_真福寺	10	7	京	京	京洛	京-洛			1				ケイ	ケイ＊					真008	
30-013-03	尾張国郡司百姓等解文_真福寺	11	8	方	方	爲方	為-方			2				ハウ	センハウ					真010	
30-013-03	尾張国郡司百姓等解文_真福寺	12	9	撫	撫	撫育	撫-育			1				フ	フイク					真010	
30-013-03	尾張国郡司百姓等解文_真福寺	13	9	育	育	撫育	撫-育			2				イク	フイク					真010	
30-013-03	尾張国郡司百姓等解文_真福寺	14	10	蘖	蘖	夭蘖	夭-蘖			2		入	＊入	ケキ	エウケキ					真014	
30-013-03	尾張国郡司百姓等解文_真福寺	15	11	止	止	停止	停-止			2		入？	＊入？							真015	声点か？
30-013-03	尾張国郡司百姓等解文_真福寺	16	12	省	省	省府	省-府			1		上	上＊							真019	
30-013-03	尾張国郡司百姓等解文_真福寺	17	13	輸	輸	例所輸	例-所-輸			3				シユ	＊＊シユ					真023	
30-013-03	尾張国郡司百姓等解文_真福寺	18	14	吏	吏	吏	吏			1				リ	リ					真026	
30-013-03	尾張国郡司百姓等解文_真福寺	19	15	作	作	東作	東-作			2				サク	＊サク					真032	
30-013-03	尾張国郡司百姓等解文_真福寺	20	16	牧	牧	牧宰	牧-宰			1		入濁	入濁＊							真033	
30-013-03	尾張国郡司百姓等解文_真福寺	21	17	繭	繭	繭絲	繭-絲			1				ケン	ケン＊					真041	
30-013-03	尾張国郡司百姓等解文_真福寺	22	18	有	有	有堪	有堪			1				ウ	ウカム					真070	
30-013-03	尾張国郡司百姓等解文_真福寺	23	19	堪	堪	有堪	有堪			2				カム	ウカム					真070	
30-013-03	尾張国郡司百姓等解文_真福寺	24	20	堪	堪	不堪	不堪			2				カン	＊カン					真071	
30-013-03	尾張国郡司百姓等解文_真福寺	25	21	庫	庫	國庫	国庫			2				コ	＊コ					真072	
30-013-03	尾張国郡司百姓等解文_真福寺	26	22	補	補	補	補シ			1				フ	フシ					真073	
30-013-03	尾張国郡司百姓等解文_真福寺	27	23	萬	万	萬	万			1				ハム	ハム					真078	
30-013-03	尾張国郡司百姓等解文_真福寺	28	24	官	官	官裁	官-裁			1		去	去平							真080	
30-013-03	尾張国郡司百姓等解文_真福寺	29	24	裁	裁	官裁	官-裁			2		平	去平							真080	
30-013-03	尾張国郡司百姓等解文_真福寺	30	25	實	実	實	実			1				＊ツ	＊ツ					真086	
30-013-03	尾張国郡司百姓等解文_真福寺	31	26	業	業	業	業			1				ケフ	ケフ					真093	
30-013-03	尾張国郡司百姓等解文_真福寺	32	27	政	政	_掌政	_-掌-政			3				セイ	＊＊セイ					真095	
30-013-03	尾張国郡司百姓等解文_真福寺	33	28	負	負	負名	負-名			1				フ	フ＊					真123	表記は「屓-名」
30-013-03	尾張国郡司百姓等解文_真福寺	34	29	負	負	負累	負累			1				フ	フ＊					真128	表記は「屓累」
30-013-03	尾張国郡司百姓等解文_真福寺	35	30	冤	冤	冤凌	冤-凌			1				エン	エンレウ					真129	
30-013-03	尾張国郡司百姓等解文_真福寺	36	30	凌	凌	冤凌	冤-凌			2				レウ	エンレウ					真129	左傍に「リヨフ」
30-013-03	尾張国郡司百姓等解文_真福寺	37	31	濟	済	濟進	済-進			1				セイ／サ□	サイシン					真130	右傍「セイ」に「サ」を訂す
30-013-03	尾張国郡司百姓等解文_真福寺	38	32	龍	龍	龍	龍			1				リウ	リウ					真134	
30-013-03	尾張国郡司百姓等解文_真福寺	39	33	日	日	連日	連-日			2		入濁	＊入濁							真149	
30-013-03	尾張国郡司百姓等解文_真福寺	40	34	_	_	_寡	_-寡			1				クワン	クワンクワ					真171	
30-013-03	尾張国郡司百姓等解文_真福寺	41	34	寡	寡	_寡	_-寡			2				クワ	クワンクワ					真171	
30-013-03	尾張国郡司百姓等解文_真福寺	42	35	_	_	裁_	裁_			2				クエツ	クエツ					真173	左傍「クエツイ」、異本注記、早大本「裁恤」
30-013-03	尾張国郡司百姓等解文_真福寺	43	36	驛	驛	驛家	驛-家			1				ヤツ	ヤツ＊					真190	促音便化
30-013-03	尾張国郡司百姓等解文_真福寺	44	37	斃	斃	斃損	斃損			1				ヘイ	ヘイソン					真193	
30-013-03	尾張国郡司百姓等解文_真福寺	45	37	損	損	斃損	斃損			2				ソン	ヘイソン					真193	
30-013-03	尾張国郡司百姓等解文_真福寺	46	38	業	業	業	業			1		入軽濁	入濁							真208	
30-013-03	尾張国郡司百姓等解文_真福寺	47	39	稼	稼	稼穡	稼-穡			1		平	平入							真208	
30-013-03	尾張国郡司百姓等解文_真福寺	48	39	穡	穡	稼穡	稼-穡			2		入	平入							真208	
30-013-03	尾張国郡司百姓等解文_真福寺	49	40	千	千	千流	千-流			1		平	平平							真210	
30-013-03	尾張国郡司百姓等解文_真福寺	50	40	流	流	千流	千-流			2		平	平平							真210	
30-013-03	尾張国郡司百姓等解文_真福寺	51	41	萬	万	萬河	万-河			1		去濁	去濁上濁							真211	
30-013-03	尾張国郡司百姓等解文_真福寺	52	41	河	河	萬河	万-河			2		上濁	去濁上濁							真211	
30-013-03	尾張国郡司百姓等解文_真福寺	53	42	廣	廣	廣深	廣-深			1		去	去平							真211	
30-013-03	尾張国郡司百姓等解文_真福寺	54	42	深	深	廣深	廣-深			2		平	去平							真211	
30-013-03	尾張国郡司百姓等解文_真福寺	55	43	矯	矯	矯餝	矯-餝			1		上	上＊							真217	
30-013-03	尾張国郡司百姓等解文_真福寺	56	44	遣	遣	遣修	遣修			1				ケン	ケンシウ					真232	
30-013-03	尾張国郡司百姓等解文_真福寺	57	44	修	修	遣修	遣修			2				シウ	ケンシウ					真232	汚損で見えにくい
30-013-03	尾張国郡司百姓等解文_真福寺	58	45	風	風	風	風			1				フウ	フウ					真237	
30-013-03	尾張国郡司百姓等解文_真福寺	59	46	調	調	調備	調備			1		平	平上濁							真259	
30-013-03	尾張国郡司百姓等解文_真福寺	60	46	備	備	調備	調備			2		上濁	平上濁							真259	
30-013-03	尾張国郡司百姓等解文_真福寺	61	47	利	利	利潤	利潤			1		平	平去濁							真262	
30-013-03	尾張国郡司百姓等解文_真福寺	62	47	潤	潤	利潤	利潤			2		去濁	平去濁							真262	
30-013-03	尾張国郡司百姓等解文_真福寺	63	48	巡	巡	巡察	巡察			1		平濁	平濁＊							真276	
30-013-03	尾張国郡司百姓等解文_真福寺	64	49	狂	狂	狂心	狂-心			1		平	平平濁							真279	
30-013-03	尾張国郡司百姓等解文_真福寺	65	49	心	心	狂心	狂-心			2		平濁	平平濁							真279	
30-013-03	尾張国郡司百姓等解文_真福寺	66	50	愁	愁	愁吟	愁-吟			1		去	去平濁							真281	
30-013-03	尾張国郡司百姓等解文_真福寺	67	50	吟	吟	愁吟	愁-吟			2		平濁	去平濁							真281	
30-013-03	尾張国郡司百姓等解文_真福寺	68	51	舊	舊	舊年	舊-年			1		去	去＊							真282	
30-013-03	尾張国郡司百姓等解文_真福寺	69	52	殘	残	用殘	用-残			2		上濁	＊上濁							真282	
30-013-03	尾張国郡司百姓等解文_真福寺	70	53	事	事	事厄	事-厄			1				シ	シヤク					真312	
30-013-03	尾張国郡司百姓等解文_真福寺	71	53	厄	厄	事厄	事-厄			2				ヤク	シヤク					真312	
30-013-03	尾張国郡司百姓等解文_真福寺	72	54	留	留	留	留			1				リウ／ル	リウ／ル					真315	右傍「ル」
30-013-03	尾張国郡司百姓等解文_真福寺	73	55	連	連	連	連			1				レン	レン					真315	
