資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-015-01	浄土三経往生文類_西本願寺	1	1	大	大	大經往生	大經往生			1	2			タイ	タイキヤウワウシヤウ					3.2	
30-015-01	浄土三経往生文類_西本願寺	2	1	經	經	大經往生	大經往生			2	2			キヤウ	タイキヤウワウシヤウ					3.2	
30-015-01	浄土三経往生文類_西本願寺	3	1	往	往	大經往生	大經往生			3	2			ワウ	タイキヤウワウシヤウ					3.2	
30-015-01	浄土三経往生文類_西本願寺	4	1	生	生	大經往生	大經往生			4	2			シヤウ	タイキヤウワウシヤウ					3.2	
30-015-01	浄土三経往生文類_西本願寺	5	2	如	如	如來選釋	如來選釋			1	1			ニヨ	ニヨライセンチヤク					3.2	
30-015-01	浄土三経往生文類_西本願寺	6	2	來	來	如來選釋	如來選釋			2	2			ライ	ニヨライセンチヤク					3.2	
30-015-01	浄土三経往生文類_西本願寺	7	2	選	選	如來選釋	如來選釋			3	2			セン	ニヨライセンチヤク					3.2	
30-015-01	浄土三経往生文類_西本願寺	8	2	釋	釋	如來選釋	如來選釋			4	2			チヤク	ニヨライセンチヤク					3.2	
30-015-01	浄土三経往生文類_西本願寺	9	3	本	本	本願	本願			1	2			ホン	ホンクワン					3.3	
30-015-01	浄土三経往生文類_西本願寺	10	3	願	願	本願	本願			2	2			クワン	ホンクワン					3.3	
30-015-01	浄土三経往生文類_西本願寺	11	4	不	不	不可思議	不可思議			1	1			フ	フカシキ					3.3	
30-015-01	浄土三経往生文類_西本願寺	12	4	可	可	不可思議	不可思議			2	1			カ	フカシキ					3.3	
30-015-01	浄土三経往生文類_西本願寺	13	4	思	思	不可思議	不可思議			3	1			シ	フカシキ					3.3	
30-015-01	浄土三経往生文類_西本願寺	14	4	議	議	不可思議	不可思議			4	1			キ	フカシキ					3.3	
30-015-01	浄土三経往生文類_西本願寺	15	5	願	願	願海	願海			1	2			クワン	クワンカイ					3.3	
30-015-01	浄土三経往生文類_西本願寺	16	5	海	海	願海	願海			2	2			カイ	クワンカイ					3.3	
30-015-01	浄土三経往生文類_西本願寺	17	6	他	他	他力	他力			1	1			タ	タリキ					3.4	
30-015-01	浄土三経往生文類_西本願寺	18	6	力	力	他力	他力			2	2			リキ	タリキ					3.4	
30-015-01	浄土三経往生文類_西本願寺	19	7	念	念	念佛	念佛			1	2			ネム	ネムフチ					3.4	
30-015-01	浄土三経往生文類_西本願寺	20	7	佛	佛	念佛	念佛			2	2			フチ	ネムフチ					3.4	
30-015-01	浄土三経往生文類_西本願寺	21	8	往	往	往生	往生			1	2			ワウ	ワウシヤウ					3.5	
30-015-01	浄土三経往生文類_西本願寺	22	8	生	生	往生	往生			2	2			シヤウ	ワウシヤウ					3.5	
30-015-01	浄土三経往生文類_西本願寺	23	9	願	願	願因	願因			1	2			クワン	クワンイン					3.5	
30-015-01	浄土三経往生文類_西本願寺	24	9	因	因	願因	願因			2	2			イン	クワンイン					3.5	
30-015-01	浄土三経往生文類_西本願寺	25	10	必	必	必至滅度	必至滅度			1	2			ヒチ	ヒチシメチト					3.5	
30-015-01	浄土三経往生文類_西本願寺	26	10	至	至	必至滅度	必至滅度			2	1			シ	ヒチシメチト					3.5	
30-015-01	浄土三経往生文類_西本願寺	27	10	滅	滅	必至滅度	必至滅度			3	2			メチ	ヒチシメチト					3.5	
30-015-01	浄土三経往生文類_西本願寺	28	10	度	度	必至滅度	必至滅度			4	1			ト	ヒチシメチト					3.5	
30-015-01	浄土三経往生文類_西本願寺	29	11	願	願	願果	願果			1	2			クワン	クワンクワ					4.1	
30-015-01	浄土三経往生文類_西本願寺	30	11	果	果	願果	願果			2	1			クワ	クワンクワ					4.1	
30-015-01	浄土三経往生文類_西本願寺	31	12	現	現	現生	現生			1	2			ケン	ケンシヤウ					4.1	
30-015-01	浄土三経往生文類_西本願寺	32	12	生	生	現生	現生			2	2			シヤウ	ケンシヤウ					4.1	
30-015-01	浄土三経往生文類_西本願寺	33	13	正	正	正定聚	正定聚			1	2			シヤウ	シヤウチヤウシユ					4.1	
30-015-01	浄土三経往生文類_西本願寺	34	13	定	定	正定聚	正定聚			2	2			チヤウ	シヤウチヤウシユ					4.1	
30-015-01	浄土三経往生文類_西本願寺	35	13	聚	聚	正定聚	正定聚			3	1			シユ	シヤウチヤウシユ					4.1	
30-015-01	浄土三経往生文類_西本願寺	36	14	住	住	住	住			1	2			チウ	チウ					4.2	
30-015-01	浄土三経往生文類_西本願寺	37	15	眞	眞	眞實	眞實			1	2			シン	シンシチ					4.2	
30-015-01	浄土三経往生文類_西本願寺	38	15	實	實	眞實	眞實			2	2			シチ	シンシチ					4.2	
30-015-01	浄土三経往生文類_西本願寺	39	16	報	報	報土	報土			1	2			ホウ	ホウト					4.3	
30-015-01	浄土三経往生文類_西本願寺	40	16	土	土	報土	報土			2	1			ト	ホウト					4.3	
30-015-01	浄土三経往生文類_西本願寺	41	17	如	如	如來	如來			1	1			ニヨ	ニヨライ					4.3	
30-015-01	浄土三経往生文類_西本願寺	42	17	來	來	如來	如來			2	2			ライ	ニヨライ					4.3	
30-015-01	浄土三経往生文類_西本願寺	43	18	往	往	往相	往相			1	2			ワウ	ワウサウ					4.4	
30-015-01	浄土三経往生文類_西本願寺	44	18	相	相	往相	往相			2	2			サウ	ワウサウ					4.4	
30-015-01	浄土三経往生文類_西本願寺	45	19	廻	廻	廻向	廻向			1	1			ヱ	ヱカウ					4.4	
30-015-01	浄土三経往生文類_西本願寺	46	19	向	向	廻向	廻向			2	2			カウ	ヱカウ					4.4	
30-015-01	浄土三経往生文類_西本願寺	47	20	眞	眞	眞因	眞因			1	2			シン	シンイン					4.4	
30-015-01	浄土三経往生文類_西本願寺	48	20	因	因	眞因	眞因			2	2			イン	シンイン					4.4	
30-015-01	浄土三経往生文類_西本願寺	49	21	无	无	无上涅槃	无上涅槃			1	1			ム	ムシヤウネチハン					4.5	
30-015-01	浄土三経往生文類_西本願寺	50	21	上	上	无上涅槃	无上涅槃			2	2			シヤウ	ムシヤウネチハン					4.5	
30-015-01	浄土三経往生文類_西本願寺	51	21	涅	涅	无上涅槃	无上涅槃			3	2			ネチ	ムシヤウネチハン					4.5	
