資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-017-01	色葉字類抄_尊経閣文庫_三巻本	1	1	且	且	且千	且千			1				シヤ	シヤ＊					1/001b/3	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	2	2	雷	雷	雷	雷			1		平	平	ライ	ライ				イカツチ 又作PMO{042518}	1/002a/3	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	3	3	雷	雷	雷公	雷公			1		平	平平	ライ	ライコウ				同	1/002a/3	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	4	4	公	公	雷手手公	雷手手公			4		平	平平	コウ	ライ＊＊コウ				同	1/002a/3	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	5	5	_	_	_	_			1		平	平	ツイ	ツイ				同（イカツチ）	1/002a/3	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	6	6	霆	霆	霆	霆			1		平	平	テイ	テイ				同（イカツチ）	1/002a/3	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	7	7	霹	霹	霹靂	霹靂			1		入	入入	ヘキ	ヘキレキ				同（イカツチ）	1/002a/4	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	8	7	靂	靂	霹靂	霹靂			2		入	入入	レキ	ヘキレキ				同（イカツチ）	1/002a/4	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	9	8	電	電	電	電			1		平	平	テン	テン				イナツルヒ イナツマ イナヒカリ	1/002a/4	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	10	9	牽	牽	牽牛	牽牛			1		平	平平	ケン	ケンキウ				イヌカヒホシ 又ヒコホシ	1/002a/4	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	11	9	牛	牛	牽牛	牽牛			2		平	平平	キウ	ケンキウ				イヌカヒホシ 又ヒコホシ	1/002a/4	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	12	10	古	古	古	古			1				コ	コ					1/002a/6	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	13	11	池	池	池	池			1				チ	チ					1/002b/3	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	14	12	泉	泉	泉	泉			1		平	平	セン	セン				イツミ 舒姑 蓋嶺 台山	1/002b/3	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	15	13	舒	舒	舒姑	舒姑			1		平	平平							1/002b/3	泉字割注部
30-017-01	色葉字類抄_尊経閣文庫_三巻本	16	13	姑	姑	舒姑	舒姑			2		平	平平							1/002b/3	泉字割注部
30-017-01	色葉字類抄_尊経閣文庫_三巻本	17	14	礒	礒	礒	礒			1				キイ	キイ					1/002b/4	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	18	15	沙	沙	沙	沙			1		平	平	サ	サ				イサコ 水散也 俗作砂	1/002b/4	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	19	16	石	石	石	石			1		入	入						イシ 補天望天	1/002b/4	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	20	17	磐	磐	磐	磐			1		平	平						イハ 大石也 山石之安者也	1/002b/5	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	21	18	巖	巖	巖	巖			1		平濁	平濁	カム	カム				イハホ 又作PMO{024616}	1/002b/5	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	22	19	巓	巓	巓	巓			1		平	平	テン	テン				イタヽキ 山上也	1/002b/6	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	23	20	石	石	石橋	石橋			1		入	入平		＊ケウ				イシハシ	1/002b/6	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	24	20	橋	橋	石橋	石橋			2		平	入平	ケウ	＊ケウ				イシハシ	1/002b/6	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	25	21	矼	矼	矼	矼			1		平	平	カウ	カウ				同（イシハシ）	1/002b/6	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	26	22	_	_	_	_			1				ヰ	ヰ					1/002b/6	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	27	23	窟	窟	窟	窟			1		入	入	コツ	コツ				イハヤ 石―	1/003a/1	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	28	24	家	家	家	家			1		去／平軽	去／平軽	ケ俗／カ	ケ俗／カ				イヘ 居也 三位已上云―	1/003a/1	
30-017-01	色葉字類抄_尊経閣文庫_三巻本	29	25	宅	宅	宅	宅			1		入軽	入軽	タク	タク				同（タク） 四位已下云― 三從	1/003a/2	
