資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-018-01	三帖和讃_専修寺	1	1	稱	称	稱讃淨土經	称讃浄土経			1				シヨウ	シヨウサンシヤウトキヤウ					10	
30-018-01	三帖和讃_専修寺	2	1	讃	讃	稱讃淨土經	称讃浄土経			2				サン	シヨウサンシヤウトキヤウ					10	
30-018-01	三帖和讃_専修寺	3	1	淨	浄	稱讃淨土經	称讃浄土経			3				シヤウ	シヨウサンシヤウトキヤウ					10	
30-018-01	三帖和讃_専修寺	4	1	土	土	稱讃淨土經	称讃浄土経			4				ト	シヨウサンシヤウトキヤウ					10	
30-018-01	三帖和讃_専修寺	5	1	經	経	稱讃淨土經	称讃浄土経			5				キヤウ	シヨウサンシヤウトキヤウ					10	
30-018-01	三帖和讃_専修寺	6	2	玄	玄	玄奘三藏	玄奘三蔵			1				クヱン	クヱンシヤウサムサウ					10	
30-018-01	三帖和讃_専修寺	7	2	奘	奘	玄奘三藏	玄奘三蔵			2				シヤウ	クヱンシヤウサムサウ					10	
30-018-01	三帖和讃_専修寺	8	2	三	三	玄奘三藏	玄奘三蔵			3				サム	クヱンシヤウサムサウ					10	
30-018-01	三帖和讃_専修寺	9	2	藏	蔵	玄奘三藏	玄奘三蔵			4				サウ	クヱンシヤウサムサウ					10	
30-018-01	三帖和讃_専修寺	10	3	百	百	百千倶胝那由他劫	百千倶胝那由他劫			1				ヒヤク	ヒヤクセンクテイナユタコフ					10	
30-018-01	三帖和讃_専修寺	11	3	千	千	百千倶胝那由他劫	百千倶胝那由他劫			2				セン	ヒヤクセンクテイナユタコフ					10	
30-018-01	三帖和讃_専修寺	12	3	倶	倶	百千倶胝那由他劫	百千倶胝那由他劫			3				ク	ヒヤクセンクテイナユタコフ					10	
30-018-01	三帖和讃_専修寺	13	3	胝	胝	百千倶胝那由他劫	百千倶胝那由他劫			4				テイ	ヒヤクセンクテイナユタコフ					10	
30-018-01	三帖和讃_専修寺	14	3	那	那	百千倶胝那由他劫	百千倶胝那由他劫			5				ナ	ヒヤクセンクテイナユタコフ					10	
30-018-01	三帖和讃_専修寺	15	3	由	由	百千倶胝那由他劫	百千倶胝那由他劫			6				ユ	ヒヤクセンクテイナユタコフ					10	
30-018-01	三帖和讃_専修寺	16	3	他	他	百千倶胝那由他劫	百千倶胝那由他劫			7				タ	ヒヤクセンクテイナユタコフ					10	
30-018-01	三帖和讃_専修寺	17	3	劫	劫	百千倶胝那由他劫	百千倶胝那由他劫			8				コフ	ヒヤクセンクテイナユタコフ					10	
30-018-01	三帖和讃_専修寺	18	4	無	無	無量百千倶胝那由他	無量百千倶胝那由他			1				ム	ムリヤウヒヤクセンクテイナユタ					10	
30-018-01	三帖和讃_専修寺	19	4	量	量	無量百千倶胝那由他	無量百千倶胝那由他			2				リヤウ	ムリヤウヒヤクセンクテイナユタ					10	
30-018-01	三帖和讃_専修寺	20	4	百	百	無量百千倶胝那由他	無量百千倶胝那由他			3				ヒヤク	ムリヤウヒヤクセンクテイナユタ					10	
30-018-01	三帖和讃_専修寺	21	4	千	千	無量百千倶胝那由他	無量百千倶胝那由他			4				セン	ムリヤウヒヤクセンクテイナユタ					10	
30-018-01	三帖和讃_専修寺	22	4	倶	倶	無量百千倶胝那由他	無量百千倶胝那由他			5				ク	ムリヤウヒヤクセンクテイナユタ					10	
30-018-01	三帖和讃_専修寺	23	4	胝	胝	無量百千倶胝那由他	無量百千倶胝那由他			6				テイ	ムリヤウヒヤクセンクテイナユタ					10	
30-018-01	三帖和讃_専修寺	24	4	那	那	無量百千倶胝那由他	無量百千倶胝那由他			7				ナ	ムリヤウヒヤクセンクテイナユタ					10	
30-018-01	三帖和讃_専修寺	25	4	由	由	無量百千倶胝那由他	無量百千倶胝那由他			8				ユ	ムリヤウヒヤクセンクテイナユタ					10	
30-018-01	三帖和讃_専修寺	26	4	他	他	無量百千倶胝那由他	無量百千倶胝那由他			9				タ	ムリヤウヒヤクセンクテイナユタ					10	
30-018-01	三帖和讃_専修寺	27	5	一	一	一一	一一			1				ヰチ	ヰチヰチ					10	
30-018-01	三帖和讃_専修寺	28	5	一	一	一一	一一			2				ヰチ	ヰチヰチ					10	原文踊り字
