資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-019-01	一念多念文意_東本願寺	1	1	恆	恒	恆願一切臨終時	恒願一切臨終時			1	2			カウ	カウクワン＊サイリムシユシ					3.2	
30-019-01	一念多念文意_東本願寺	2	1	願	願	恆願一切臨終時	恒願一切臨終時			2	2			クワン	カウクワン＊サイリムシユシ					3.2	
30-019-01	一念多念文意_東本願寺	3	1	切	切	恆願一切臨終時	恒願一切臨終時			4	2			サイ	カウクワン＊サイリムシユシ					3.2	
30-019-01	一念多念文意_東本願寺	4	1	臨	臨	恆願一切臨終時	恒願一切臨終時			5	2			リム	カウクワン＊サイリムシユシ					3.2	
30-019-01	一念多念文意_東本願寺	5	1	終	終	恆願一切臨終時	恒願一切臨終時			6	1			シユ	カウクワン＊サイリムシユシ					3.2	
30-019-01	一念多念文意_東本願寺	6	1	時	時	恆願一切臨終時	恒願一切臨終時			7	1			シ	カウクワン＊サイリムシユシ					3.2	
30-019-01	一念多念文意_東本願寺	7	2	勝	勝	勝縁勝境悉現前	勝縁勝境悉現前			1	2			シヨウ	シヨウエンシヨウキヤウシチケンセン					3.2	
30-019-01	一念多念文意_東本願寺	8	2	縁	縁	勝縁勝境悉現前	勝縁勝境悉現前			2	2			エン	シヨウエンシヨウキヤウシチケンセン					3.2	
30-019-01	一念多念文意_東本願寺	9	2	勝	勝	勝縁勝境悉現前	勝縁勝境悉現前			3	2			シヨウ	シヨウエンシヨウキヤウシチケンセン					3.2	
30-019-01	一念多念文意_東本願寺	10	2	境	境	勝縁勝境悉現前	勝縁勝境悉現前			4	2			キヤウ	シヨウエンシヨウキヤウシチケンセン					3.2	
30-019-01	一念多念文意_東本願寺	11	2	悉	悉	勝縁勝境悉現前	勝縁勝境悉現前			5	2			シチ	シヨウエンシヨウキヤウシチケンセン					3.3	
30-019-01	一念多念文意_東本願寺	12	2	現	現	勝縁勝境悉現前	勝縁勝境悉現前			6	2			ケン	シヨウエンシヨウキヤウシチケンセン					3.3	
30-019-01	一念多念文意_東本願寺	13	2	前	前	勝縁勝境悉現前	勝縁勝境悉現前			7	2			セン	シヨウエンシヨウキヤウシチケンセン					3.3	
30-019-01	一念多念文意_東本願寺	14	3	恆	恒	恆	恒			1	2			カウ	カウ					3.3	
30-019-01	一念多念文意_東本願寺	15	4	願	願	願	願			1	2			クワン	クワン					3.3	
30-019-01	一念多念文意_東本願寺	16	5	常	常	常	常			1	2			シヤウ	シヤウ					4.2	
30-019-01	一念多念文意_東本願寺	17	6	義	義	義	義			1	1			キ	キ					4.2	
30-019-01	一念多念文意_東本願寺	18	7	常	常	常	常			1	2			シヤウ	シヤウ					4.5	
30-019-01	一念多念文意_東本願寺	19	8	切	切	一切臨終時	一切臨終時			2	2			サイ	＊サイリムリム（ママ）＊					4.5	
30-019-01	一念多念文意_東本願寺	20	8	臨	臨	一切臨終時	一切臨終時			3	2			リム	＊サイリムリム（ママ）＊					4.5	
30-019-01	一念多念文意_東本願寺	21	8	終	終	一切臨終時	一切臨終時			4	2			リム（ママ）	＊サイリムリム（ママ）＊					5.1	補入・直上「臨」ノ音注
30-019-01	一念多念文意_東本願寺	22	9	極	極	極樂	極楽			1	2			コク	コクラク					5.1	
30-019-01	一念多念文意_東本願寺	23	9	樂	樂	極樂	極楽			2	2			ラク	コクラク					5.1	
30-019-01	一念多念文意_東本願寺	24	10	衆	衆	衆生	衆生			1	1			シユ	シユ＊					5.2	
30-019-01	一念多念文意_東本願寺	25	11	勝	勝	勝縁勝境	勝縁勝境			1	2			シヨウ	シヨウエンシヨウキヤウ					5.3	
30-019-01	一念多念文意_東本願寺	26	11	縁	縁	勝縁勝境	勝縁勝境			2	2			エン	シヨウエンシヨウキヤウ					5.3	
30-019-01	一念多念文意_東本願寺	27	11	勝	勝	勝縁勝境	勝縁勝境			3	2			シヨウ	シヨウエンシヨウキヤウ					5.3	
30-019-01	一念多念文意_東本願寺	28	11	境	境	勝縁勝境	勝縁勝境			4	2			キヤウ	シヨウエンシヨウキヤウ					5.3	
