資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-020-01	尊号眞像銘文_法雲寺_略本	1	1	尊	尊	尊號眞像	尊號眞像			1	2	去	去平濁去平濁	ソン	ソンカウシンサウ					3.1	
30-020-01	尊号眞像銘文_法雲寺_略本	2	1	號	號	尊號眞像	尊號眞像			2	2	平濁	去平濁去平濁	カウ	ソンカウシンサウ					3.1	
30-020-01	尊号眞像銘文_法雲寺_略本	3	1	眞	眞	尊號眞像	尊號眞像			3	2	去	去平濁去平濁	シン	ソンカウシンサウ					3.1	
30-020-01	尊号眞像銘文_法雲寺_略本	4	1	像	像	尊號眞像	尊號眞像			4	2	平濁	去平濁去平濁	サウ	ソンカウシンサウ					3.1	
30-020-01	尊号眞像銘文_法雲寺_略本	5	2	銘	銘	銘文	銘文			1	2	平	平去	メイ	メイモン					3.1	
30-020-01	尊号眞像銘文_法雲寺_略本	6	2	文	文	銘文	銘文			2	2	去	平去	モン	メイモン					3.1	
30-020-01	尊号眞像銘文_法雲寺_略本	7	3	大	大	大无量壽經言	大无量壽經言			1	2	平濁	平濁上平平濁上上濁	タイ	タイムリヤウシユキヤウコン					3.2	
30-020-01	尊号眞像銘文_法雲寺_略本	8	3	无	无	大无量壽經言	大无量壽經言			2	1	上	平濁上平平濁上上濁	ム	タイムリヤウシユキヤウコン					3.2	
30-020-01	尊号眞像銘文_法雲寺_略本	9	3	量	量	大无量壽經言	大无量壽經言			3	2	平	平濁上平平濁上上濁	リヤウ	タイムリヤウシユキヤウコン					3.2	
30-020-01	尊号眞像銘文_法雲寺_略本	10	3	壽	壽	大无量壽經言	大无量壽經言			4	1	平濁	平濁上平平濁上上濁	シユ	タイムリヤウシユキヤウコン					3.2	
30-020-01	尊号眞像銘文_法雲寺_略本	11	3	經	經	大无量壽經言	大无量壽經言			5	2	上	平濁上平平濁上上濁	キヤウ	タイムリヤウシユキヤウコン					3.2	
30-020-01	尊号眞像銘文_法雲寺_略本	12	3	言	言	大无量壽經言	大无量壽經言			6	2	上濁	平濁上平平濁上上濁	コン	タイムリヤウシユキヤウコン					3.2	
30-020-01	尊号眞像銘文_法雲寺_略本	13	4	願	願	四十八願	四十八願			4	2	平濁	＊＊＊平濁	クワン	＊＊＊クワン					3.2	
30-020-01	尊号眞像銘文_法雲寺_略本	14	5	經	經	經	經			1	2			キヤウ	キヤウ					3.3	
30-020-01	尊号眞像銘文_法雲寺_略本	15	6	設	設	設我得佛	設我得佛			1	2	入	入平濁入入濁							3.3	
30-020-01	尊号眞像銘文_法雲寺_略本	16	6	我	我	設我得佛	設我得佛			2	1	平濁	入平濁入入濁							3.3	
30-020-01	尊号眞像銘文_法雲寺_略本	17	6	得	得	設我得佛	設我得佛			3	2	入	入平濁入入濁							3.3	
30-020-01	尊号眞像銘文_法雲寺_略本	18	6	佛	佛	設我得佛	設我得佛			4	2	入濁	入平濁入入濁							3.3	
30-020-01	尊号眞像銘文_法雲寺_略本	19	7	十	十	十方衆生	十方衆生			1	2		＊去上上濁	シフ	シフハウシユシヤウ					3.5	
