資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-020-02	尊号眞像銘文_専修寺_広本	1	1	尊	尊	尊號	尊号			1	2	去	去平濁	ソン	ソンカウ					本3.1	
30-020-02	尊号眞像銘文_専修寺_広本	2	1	號	号	尊號	尊号			2	2	平濁	去平濁	カウ	ソンカウ					本3.1	
30-020-02	尊号眞像銘文_専修寺_広本	3	2	眞	眞	眞像	眞像			1	2	去	去平濁	シン	シンサウ					本3.1	
30-020-02	尊号眞像銘文_専修寺_広本	4	2	像	像	眞像	眞像			2	2	平濁	去平濁	サウ	シンサウ					本3.1	
30-020-02	尊号眞像銘文_専修寺_広本	5	3	銘	銘	銘文	銘文			1	2	平	平去	メイ	メイモン					本3.1	
30-020-02	尊号眞像銘文_専修寺_広本	6	3	文	文	銘文	銘文			2	2	去	平去	モン	メイモン					本3.1	
30-020-02	尊号眞像銘文_専修寺_広本	7	4	大	大	大无量壽經言	大无量壽經言			1	2		＊上平平濁上＊	タイ	タイムリヤウシユキヤウ＊					本3.2	
30-020-02	尊号眞像銘文_専修寺_広本	8	4	无	无	大无量壽經言	大无量壽經言			2	1	上	＊上平平濁上＊	ム	タイムリヤウシユキヤウ＊					本3.2	
30-020-02	尊号眞像銘文_専修寺_広本	9	4	量	量	大无量壽經言	大无量壽經言			3	2	平	＊上平平濁上＊	リヤウ	タイムリヤウシユキヤウ＊					本3.2	
30-020-02	尊号眞像銘文_専修寺_広本	10	4	壽	壽	大无量壽經言	大无量壽經言			4	1	平濁	＊上平平濁上＊	シユ	タイムリヤウシユキヤウ＊					本3.2	
30-020-02	尊号眞像銘文_専修寺_広本	11	4	經	經	大无量壽經言	大无量壽經言			5	2	上	＊上平平濁上＊	キヤウ	タイムリヤウシユキヤウ＊					本3.2	
30-020-02	尊号眞像銘文_専修寺_広本	12	5	設	設	設我得佛	設我得佛			1	2	入	入平濁入入濁	セチ	セチカトクフチ					本3.2	
30-020-02	尊号眞像銘文_専修寺_広本	13	5	我	我	設我得佛	設我得佛			2	1	平濁	入平濁入入濁	カ	セチカトクフチ					本3.2	
30-020-02	尊号眞像銘文_専修寺_広本	14	5	得	得	設我得佛	設我得佛			3	2	入	入平濁入入濁	トク	セチカトクフチ					本3.2	
30-020-02	尊号眞像銘文_専修寺_広本	15	5	佛	佛	設我得佛	設我得佛			4	2	入濁	入平濁入入濁	フチ	セチカトクフチ					本3.2	
30-020-02	尊号眞像銘文_専修寺_広本	16	6	十	十	十方衆生	十方衆生			1	2			シフ	シフハウシユシヤウ					本3.2	
30-020-02	尊号眞像銘文_専修寺_広本	17	6	方	方	十方衆生	十方衆生			2	2			ハウ	シフハウシユシヤウ					本3.3	
30-020-02	尊号眞像銘文_専修寺_広本	18	6	衆	衆	十方衆生	十方衆生			3	1			シユ	シフハウシユシヤウ					本3.3	
30-020-02	尊号眞像銘文_専修寺_広本	19	6	生	生	十方衆生	十方衆生			4	2			シヤウ	シフハウシユシヤウ					本3.3	
30-020-02	尊号眞像銘文_専修寺_広本	20	7	至	至	至心信樂	至心信樂			1	1	平	平去平平濁	シ	シシムシンケウ					本3.3	
30-020-02	尊号眞像銘文_専修寺_広本	21	7	心	心	至心信樂	至心信樂			2	2	去	平去平平濁	シム	シシムシンケウ					本3.3	
30-020-02	尊号眞像銘文_専修寺_広本	22	7	信	信	至心信樂	至心信樂			3	2	平	平去平平濁	シン	シシムシンケウ					本3.3	
30-020-02	尊号眞像銘文_専修寺_広本	23	7	樂	樂	至心信樂	至心信樂			4	2	平濁	平去平平濁	ケウ	シシムシンケウ					本3.3	
30-020-02	尊号眞像銘文_専修寺_広本	24	8	欲	欲	欲生我國	欲生我國			1	2	入	入去＊＊	ヨク	ヨクシヤウカコク					本3.3	
30-020-02	尊号眞像銘文_専修寺_広本	25	8	生	生	欲生我國	欲生我國			2	2	去	入去＊＊	シヤウ	ヨクシヤウカコク					本3.3	
30-020-02	尊号眞像銘文_専修寺_広本	26	8	我	我	欲生我國	欲生我國			3	1		入去＊＊	カ	ヨクシヤウカコク					本3.3	
30-020-02	尊号眞像銘文_専修寺_広本	27	8	國	國	欲生我國	欲生我國			4	2		入去＊＊	コク	ヨクシヤウカコク					本3.3	
30-020-02	尊号眞像銘文_専修寺_広本	28	9	乃	乃	乃至十念	乃至十念			1	2			ナイ	ナイシシフネム					本3.4	
30-020-02	尊号眞像銘文_専修寺_広本	29	9	至	至	乃至十念	乃至十念			2	1			シ	ナイシシフネム					本3.4	
30-020-02	尊号眞像銘文_専修寺_広本	30	9	十	十	乃至十念	乃至十念			3	2			シフ	ナイシシフネム					本3.4	
30-020-02	尊号眞像銘文_専修寺_広本	31	9	念	念	乃至十念	乃至十念			4	2			ネム	ナイシシフネム					本3.4	
30-020-02	尊号眞像銘文_専修寺_広本	32	10	若	若	若不生者	若不生者			1	2			ニヤク	ニヤクフシヤウシヤ					本3.4	
30-020-02	尊号眞像銘文_専修寺_広本	33	10	不	不	若不生者	若不生者			2	1			フ	ニヤクフシヤウシヤ					本3.4	
30-020-02	尊号眞像銘文_専修寺_広本	34	10	生	生	若不生者	若不生者			3	2			シヤウ	ニヤクフシヤウシヤ					本3.4	
30-020-02	尊号眞像銘文_専修寺_広本	35	10	者	者	若不生者	若不生者			4	1			シヤ	ニヤクフシヤウシヤ					本3.4	
30-020-02	尊号眞像銘文_専修寺_広本	36	11	不	不	不取正覺	不取正覺			1	1			フ	フシユシヤウカク					本3.4	
30-020-02	尊号眞像銘文_専修寺_広本	37	11	取	取	不取正覺	不取正覺			2	1			シユ	フシユシヤウカク					本3.4	
30-020-02	尊号眞像銘文_専修寺_広本	38	11	正	正	不取正覺	不取正覺			3	2			シヤウ	フシユシヤウカク					本3.4	
30-020-02	尊号眞像銘文_専修寺_広本	39	11	覺	覺	不取正覺	不取正覺			4	2			カク	フシユシヤウカク					本3.5	
30-020-02	尊号眞像銘文_専修寺_広本	40	12	唯	唯	唯除五逆	唯除五逆			1	2	去	去上＊入	ユイ	ユイチヨコクヰヤク					本3.5	
