資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	Unnamed: 22
30-021-01	西方指南抄_専修寺	1	1	經	經	經證	經證			1	2			キヤウ	キヤウシヨウ					9.2		經證
30-021-01	西方指南抄_専修寺	2	1	證	證	經證	經證			2	2			シヨウ	キヤウシヨウ					9.2		經證
30-021-01	西方指南抄_専修寺	3	2	功	功	功徳	功徳			1	1			ク	クトク					9.2		功徳
30-021-01	西方指南抄_専修寺	4	2	徳	徳	功徳	功徳			2	2			トク	クトク					9.2		功徳
30-021-01	西方指南抄_専修寺	5	3	无	无	无量	无量			1	1			ム	ムリヤウ					9.2		无量
30-021-01	西方指南抄_専修寺	6	3	量	量	无量	无量			2	2			リヤウ	ムリヤウ					9.3		无量
30-021-01	西方指南抄_専修寺	7	4	身	身	身	身			1	2			シン	シン					9.3		身
30-021-01	西方指南抄_専修寺	8	5	總	總	總	總シテ			1	2			ソウ	ソウ					9.3		總
30-021-01	西方指南抄_専修寺	9	6	一	一	一身	一身			1	2			ヰチ	ヰチシン					9.3		一身
30-021-01	西方指南抄_専修寺	10	6	身	身	一身	一身			2	2			シン	ヰチシン					9.3		一身
30-021-01	西方指南抄_専修寺	11	7	身	身	二身	二身			2	2			シン	＊シン					9.4		二身
30-021-01	西方指南抄_専修寺	12	8	半	半	半三身	半三身			1	2			ハン	ハンサムシン					9.4		半三身
30-021-01	西方指南抄_専修寺	13	8	三	三	半三身	半三身			2	2			サム	ハンサムシン					9.5		半三身
30-021-01	西方指南抄_専修寺	14	8	身	身	半三身	半三身			3	2			シン	ハンサムシン					9.5		半三身
30-021-01	西方指南抄_専修寺	15	9	乃	乃	乃至	乃至			1	2			ナイ	ナイシ					9.5		乃至
30-021-01	西方指南抄_専修寺	16	9	至	至	乃至	乃至			2	1			シ	ナイシ					9.5		乃至
30-021-01	西方指南抄_専修寺	17	10	華	華	華嚴經	華嚴經			1	1			クヱ	クヱコムキヤウ					9.5		華嚴經
30-021-01	西方指南抄_専修寺	18	10	嚴	嚴	華嚴經	華嚴經			2	2			コム	クヱコムキヤウ					9.5		華嚴經
30-021-01	西方指南抄_専修寺	19	10	經	經	華嚴經	華嚴經			3	2			キヤウ	クヱコムキヤウ					9.5		華嚴經
30-021-01	西方指南抄_専修寺	20	11	身	身	十身	十身			2	2			シン	＊シン					9.6		十身
30-021-01	西方指南抄_専修寺	21	12	功	功	功徳	功徳			1	1			ク	クトク					9.6		功徳
30-021-01	西方指南抄_専修寺	22	12	徳	徳	功徳	功徳			2	2			トク	クトク					9.6		功徳
30-021-01	西方指南抄_専修寺	23	13	眞	眞	眞身	眞身			1	2			シン	シンシン					9.6		眞身
30-021-01	西方指南抄_専修寺	24	13	身	身	眞身	眞身			2	2			シン	シンシン					9.6		眞身
30-021-01	西方指南抄_専修寺	25	14	化	化	化身	化身			1	1			クヱ	クヱシン					10.1		化身
30-021-01	西方指南抄_専修寺	26	14	身	身	化身	化身			2	2			シン	クヱシン					10.1		化身
30-021-01	西方指南抄_専修寺	27	15	二	二	二身	二身			1	1			ニ	ニシン					10.1		二身
30-021-01	西方指南抄_専修寺	28	15	身	身	二身	二身			2	2			シン	ニシン					10.1		二身
30-021-01	西方指南抄_専修寺	29	16	彌	彌	彌陀如來	彌陀如來			1	1			ミ	ミタニヨライ					10.1		彌陀如來
30-021-01	西方指南抄_専修寺	30	16	陀	陀	彌陀如來	彌陀如來			2	1			タ	ミタニヨライ					10.1		彌陀如來
30-021-01	西方指南抄_専修寺	31	16	如	如	彌陀如來	彌陀如來			3	1			ニヨ	ミタニヨライ					10.1		彌陀如來
30-021-01	西方指南抄_専修寺	32	16	來	來	彌陀如來	彌陀如來			4	2			ライ	ミタニヨライ					10.1		彌陀如來
30-021-01	西方指南抄_専修寺	33	17	功	功	功徳	功徳			1	1			ク	クトク					10.2		功徳
30-021-01	西方指南抄_専修寺	34	17	徳	徳	功徳	功徳			2	2			トク	クトク					10.2		功徳
30-021-01	西方指南抄_専修寺	35	18	讃	讃	讃嘆	讃嘆シ			1	2			サン	サンタン					10.2		讃嘆
30-021-01	西方指南抄_専修寺	36	18	嘆	嘆	讃嘆	讃嘆シ			2	2			タン	サンタン					10.2		讃嘆
30-021-01	西方指南抄_専修寺	37	19	眞	眞	眞化二身	眞化二身			1	2			シン	シンクヱニシン					10.2		眞化二身
30-021-01	西方指南抄_専修寺	38	19	化	化	眞化二身	眞化二身			2	1			クヱ	シンクヱニシン					10.2		眞化二身
30-021-01	西方指南抄_専修寺	39	19	二	二	眞化二身	眞化二身			3	1			ニ	シンクヱニシン					10.2		眞化二身
30-021-01	西方指南抄_専修寺	40	19	身	身	眞化二身	眞化二身			4	2			シン	シンクヱニシン					10.2		眞化二身
30-021-01	西方指南抄_専修寺	41	20	雙	雙	雙卷經	雙卷經			1	2			サウ	サウクワンキヤウ					10.3		雙卷經
30-021-01	西方指南抄_専修寺	42	20	卷	卷	雙卷經	雙卷經			2	2			クワン	サウクワンキヤウ					10.3		雙卷經
30-021-01	西方指南抄_専修寺	43	20	經	經	雙卷經	雙卷經			3	2			キヤウ	サウクワンキヤウ					10.3		雙卷經
30-021-01	西方指南抄_専修寺	44	21	三	三	三輩	三輩			1	2			サン	サンハイ					10.3		三輩
30-021-01	西方指南抄_専修寺	45	21	輩	輩	三輩	三輩			2	2			ハイ	サンハイ					10.3		三輩
30-021-01	西方指南抄_専修寺	46	22	文	文	文	文			1	2			モン	モン					10.3		文
30-021-01	西方指南抄_専修寺	47	23	眞	眞	眞身	眞身			1	2			シン	シンシン					10.4		眞身
30-021-01	西方指南抄_専修寺	48	23	身	身	眞身	眞身			2	2			シン	シンシン					10.4		眞身
30-021-01	西方指南抄_専修寺	49	24	眞	眞	眞實	眞實			1	2			シン	シンシチ					10.4		眞實
30-021-01	西方指南抄_専修寺	50	24	實	實	眞實	眞實			2	2			シチ	シンシチ					10.4		眞實
30-021-01	西方指南抄_専修寺	51	25	身	身	身	身			1	2			シン	シン					10.5		身
30-021-01	西方指南抄_専修寺	52	26	如	如	彌陀如來	彌陀如來			3	1			ニヨ	＊＊ニヨライ					10.5		彌陀如來
30-021-01	西方指南抄_専修寺	53	26	來	來	彌陀如來	彌陀如來			4	2			ライ	＊＊ニヨライ					10.5		彌陀如來
30-021-01	西方指南抄_専修寺	54	27	因	因	因位	因位			1	2			イン	インヰ					10.5		因位
30-021-01	西方指南抄_専修寺	55	27	位	位	因位	因位			2	1			ヰ	インヰ					10.5		因位
30-021-01	西方指南抄_専修寺	56	28	世	世	世自在王佛	世自在王佛			1	1			セ	セシサイワウフチ					10.5		世自在王佛
30-021-01	西方指南抄_専修寺	57	28	自	自	世自在王佛	世自在王佛			2	1			シ	セシサイワウフチ					10.5		世自在王佛
30-021-01	西方指南抄_専修寺	58	28	在	在	世自在王佛	世自在王佛			3	2			サイ	セシサイワウフチ					10.5		世自在王佛
30-021-01	西方指南抄_専修寺	59	28	王	王	世自在王佛	世自在王佛			4	2			ワウ	セシサイワウフチ					10.6		世自在王佛
30-021-01	西方指南抄_専修寺	60	28	佛	佛	世自在王佛	世自在王佛			5	2			フチ	セシサイワウフチ					10.6		世自在王佛
30-021-01	西方指南抄_専修寺	61	29	願	願	四十八願	四十八願			4	2			クワン	＊＊＊クワン					10.6		四十八願
30-021-01	西方指南抄_専修寺	62	30	兆	兆	兆載永劫	兆載永劫			1	2			テウ	テウサイヰヤウコフ					11.1		兆載永劫
30-021-01	西方指南抄_専修寺	63	30	載	載	兆載永劫	兆載永劫			2	2			サイ	テウサイヰヤウコフ					11.1		兆載永劫
30-021-01	西方指南抄_専修寺	64	30	永	永	兆載永劫	兆載永劫			3	2			ヰヤウ	テウサイヰヤウコフ					11.1		兆載永劫
30-021-01	西方指南抄_専修寺	65	30	劫	劫	兆載永劫	兆載永劫			4	2			コフ	テウサイヰヤウコフ					11.1		兆載永劫
30-021-01	西方指南抄_専修寺	66	31	布	布	布施	布施			1	1			フ	フセ					11.1		布施
30-021-01	西方指南抄_専修寺	67	31	施	施	布施	布施			2	1			セ	フセ					11.1		布施
30-021-01	西方指南抄_専修寺	68	32	持	持	持戒	持戒			1	1			チ	チカイ					11.1		持戒
30-021-01	西方指南抄_専修寺	69	32	戒	戒	持戒	持戒			2	2			カイ	チカイ					11.1		持戒
30-021-01	西方指南抄_専修寺	70	33	忍	忍	忍辱	忍辱			1	2			ニン	ニンニク					11.1		忍辱
30-021-01	西方指南抄_専修寺	71	33	辱	辱	忍辱	忍辱			2	2			ニク	ニンニク					11.2		忍辱
30-021-01	西方指南抄_専修寺	72	34	精	精	精進等	精進等			1	2			シヤウ	シヤウシントウ					11.2		精進等
30-021-01	西方指南抄_専修寺	73	34	進	進	精進等	精進等			2	2			シン	シヤウシントウ					11.2		精進等
30-021-01	西方指南抄_専修寺	74	34	等	等	精進等	精進等			3	2			トウ	シヤウシントウ					11.2		精進等
30-021-01	西方指南抄_専修寺	75	35	度	度	六度	六度			2	1			ト	＊ト					11.2		六度
30-021-01	西方指南抄_専修寺	76	36	萬	萬	萬行	萬行			1	2			マン	マンキヤウ					11.2		萬行
30-021-01	西方指南抄_専修寺	77	36	行	行	萬行	萬行			2	2			キヤウ	マンキヤウ					11.2		萬行
30-021-01	西方指南抄_専修寺	78	37	修	修	修	修シテ			1	1			シユ	シユ					11.2		修
30-021-01	西方指南抄_専修寺	79	38	修	修	修因感果	修因感果			1	1			シユ	シユインカムクワ					11.3		修因感果
30-021-01	西方指南抄_専修寺	80	38	因	因	修因感果	修因感果			2	2			イン	シユインカムクワ					11.3		修因感果
30-021-01	西方指南抄_専修寺	81	38	感	感	修因感果	修因感果			3	2			カム	シユインカムクワ					11.3		修因感果
30-021-01	西方指南抄_専修寺	82	38	果	果	修因感果	修因感果			4	1			クワ	シユインカムクワ					11.3		修因感果
30-021-01	西方指南抄_専修寺	83	39	身	身	身	身			1	2			シン	シン					11.3		身
30-021-01	西方指南抄_専修寺	84	40	觀	觀	觀經	觀經			1	2			クワン	クワンキヤウ					11.3		觀經
30-021-01	西方指南抄_専修寺	85	40	經	經	觀經	觀經			2	2			キヤウ	クワンキヤウ					11.3		觀經
30-021-01	西方指南抄_専修寺	86	41	身	身	身量	身量			1	2			シン	シンリヤウ					11.4		身量
30-021-01	西方指南抄_専修寺	87	41	量	量	身量	身量			2	2			リヤウ	シンリヤウ					11.4		身量
30-021-01	西方指南抄_専修寺	88	42	萬	万	六十萬億	六十万億			3	2			マン	＊＊マンオク					11.4		六十万億
30-021-01	西方指南抄_専修寺	89	42	億	億	六十萬億	六十万億			4	2			オク	＊＊マンオク					11.4		六十万億
30-021-01	西方指南抄_専修寺	90	43	那	那	那由他	那由他			1	1			ナ	ナユタ					11.4		那由他
30-021-01	西方指南抄_専修寺	91	43	由	由	那由他	那由他			2	1			ユ	ナユタ					11.4		那由他
30-021-01	西方指南抄_専修寺	92	43	他	他	那由他	那由他			3	1			タ	ナユタ					11.4		那由他
30-021-01	西方指南抄_専修寺	93	44	恆	恒	恆河沙由旬	恒河沙由旬			1	2			コウ	コウカシヤユシン					11.4		恒河沙由旬
30-021-01	西方指南抄_専修寺	94	44	河	河	恆河沙由旬	恒河沙由旬			2	1			カ	コウカシヤユシン					11.4		恒河沙由旬
30-021-01	西方指南抄_専修寺	95	44	沙	沙	恆河沙由旬	恒河沙由旬			3	1			シヤ	コウカシヤユシン					11.5		恒河沙由旬
30-021-01	西方指南抄_専修寺	96	44	由	由	恆河沙由旬	恒河沙由旬			4	1			ユ	コウカシヤユシン					11.5		恒河沙由旬
30-021-01	西方指南抄_専修寺	97	44	旬	旬	恆河沙由旬	恒河沙由旬			5	2			シン（ママ）	コウカシヤユシン					11.5		恒河沙由旬
30-021-01	西方指南抄_専修寺	98	45	眉	眉	眉間	眉間			1	1			ミ	ミケン					11.5		眉間
30-021-01	西方指南抄_専修寺	99	45	間	間	眉間	眉間			2	2			ケン	ミケン					11.5		眉間
30-021-01	西方指南抄_専修寺	100	46	白	白	白毫	白毫			1	2			ヒヤク	ヒヤクカウ					11.5		白毫
