資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	Unnamed: 22
30-023-02	唯信抄_西本願寺	1	1	法	法	法華	法華			1	2	入急	入急＊							2.2		法華
30-023-02	唯信抄_西本願寺	2	2	法	法	法師	法師			1	2	入急	入急＊							2.2		法師
30-023-02	唯信抄_西本願寺	3	3	各	各	各各	各各			1	2	入急	入急＊							2.2		各各
30-023-02	唯信抄_西本願寺	4	4	急	急	濁急	濁急			2	2	入急	＊入急	キウ	＊キウ					2.2		濁急
30-023-02	唯信抄_西本願寺	5	5	屬	属	眷屬倶	眷属倶			2	2	入急濁	＊入急濁＊							2.2		眷属倶
30-023-02	唯信抄_西本願寺	6	6	舌	舌	舌内字	舌内字			1	1									2.2		舌内字
30-023-02	唯信抄_西本願寺	7	7	根	根	根	根			1	2			コン	コン					2.2		根
30-023-02	唯信抄_西本願寺	8	8	若	若	若人	若人			1	2	入緩	入緩＊							2.3		若人
30-023-02	唯信抄_西本願寺	9	9	各	各	各與	各與			1	2	入緩	入緩＊							2.3		各與
30-023-02	唯信抄_西本願寺	10	10	法	法	諸法	諸法			2	2	入緩	＊入緩							2.3		諸法
30-023-02	唯信抄_西本願寺	11	11	屬	属	眷屬	眷属			2	2	入緩濁	＊入緩濁							2.3		眷属
30-023-02	唯信抄_西本願寺	12	12	法	法	聽法	聽法			2	2	入緩濁	＊入緩濁							2.3		聽法
30-023-02	唯信抄_西本願寺	13	13	寂	寂	寂靜	寂静			1	2	入緩濁	入緩濁＊							2.3		寂静
30-023-02	唯信抄_西本願寺	14	14	脣	脣	脣内字	脣内字			1	2									2.3	後筆	脣内字
30-023-02	唯信抄_西本願寺	15	15	貪	貪	貪	貪			1	2			トム	トム					2.3	後筆	貪
30-023-02	唯信抄_西本願寺	16	16	生	生	生死	生死			1	2	去	去平濁	シヤウ	シヤウシ					3.2		生死
30-023-02	唯信抄_西本願寺	17	16	死	死	生死	生死			2	1	平濁	去平濁	シ	シヤウシ					3.2		生死
30-023-02	唯信抄_西本願寺	18	17	佛	佛	佛道	佛道			1	1	入濁	入濁平濁	フチ	フチタウ					3.2		佛道
30-023-02	唯信抄_西本願寺	19	17	道	道	佛道	佛道			2	2	平濁	入濁平濁	タウ	フチタウ					3.2		佛道
30-023-02	唯信抄_西本願寺	20	18	聖	聖	聖道門	聖道門			1	2	平	平平濁上							3.4		聖道門
30-023-02	唯信抄_西本願寺	21	18	道	道	聖道門	聖道門			2	2	平濁	平平濁上							3.4		聖道門
