資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	Unnamed: 22
30-023-03	唯信鈔_專修寺	1	1	聖	聖	聖道門	聖道門			1	2	平	平平濁上	シヤウ	シヤウタウモン					3.4		聖道門
30-023-03	唯信鈔_專修寺	2	1	道	道	聖道門	聖道門			2	2	平濁	平平濁上	タウ	シヤウタウモン					3.4		聖道門
30-023-03	唯信鈔_專修寺	3	1	門	門	聖道門	聖道門			3	2	上	平平濁上	モン	シヤウタウモン					3.4		聖道門
30-023-03	唯信鈔_專修寺	4	2	淨	淨	淨土門	淨土門			1	2	平濁	平濁平濁上	シヤウ	シヤウト＊					3.4		淨土門
30-023-03	唯信鈔_專修寺	5	2	土	土	淨土門	淨土門			2	1	平濁	平濁平濁上	ト	シヤウト＊					3.4		淨土門
30-023-03	唯信鈔_專修寺	6	2	門	門	淨土門	淨土門			3	2	上	平濁平濁上		シヤウト＊					3.4		淨土門
30-023-03	唯信鈔_專修寺	7	3	聖	聖	聖道門	聖道門			1	2	平	平平濁上							3.5		聖道門
30-023-03	唯信鈔_專修寺	8	3	道	道	聖道門	聖道門			2	2	平濁	平平濁上							3.5		聖道門
30-023-03	唯信鈔_專修寺	9	3	門	門	聖道門	聖道門			3	2	上	平平濁上							3.5		聖道門
30-023-03	唯信鈔_專修寺	10	4	娑	娑	娑婆世界	娑婆世界			1	1	上	上上濁平平	シヤ	シヤハセカイ					3.5		娑婆世界
30-023-03	唯信鈔_專修寺	11	4	婆	婆	娑婆世界	娑婆世界			2	1	上濁	上上濁平平	ハ	シヤハセカイ					3.5		娑婆世界
30-023-03	唯信鈔_專修寺	12	4	世	世	娑婆世界	娑婆世界			3	1	平	上上濁平平	セ	シヤハセカイ					3.5		娑婆世界
30-023-03	唯信鈔_專修寺	13	4	界	界	娑婆世界	娑婆世界			4	2	平	上上濁平平	カイ	シヤハセカイ					3.5		娑婆世界
30-023-03	唯信鈔_專修寺	14	5	行	行	行	行			1	2			キヤウ	キヤウ					4.1		行
30-023-03	唯信鈔_專修寺	15	6	功	功	功	功			1	2	平軽	平軽	コウ	コウ					4.1		功
30-023-03	唯信鈔_專修寺	16	7	今	今	今生	今生			1	2	去	去上濁	コム	コムシヤウ					4.1		今生
