資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-024-01	平家物語_大東急記念文庫_延慶本	1	1	必	必	必衰	必衰			1	2			〔別〕ヒツ	ヒツスイ					1本-009a-03	
30-024-01	平家物語_大東急記念文庫_延慶本	2	1	衰	衰	必衰	必衰			2	2			〔別〕スイ	ヒツスイ					1本-009a-03	
30-024-01	平家物語_大東急記念文庫_延慶本	3	2	異	異	異朝	異-朝			1	1			〔別〕イ	イ＊					1本-009a-04	
30-024-01	平家物語_大東急記念文庫_延慶本	4	3	秦	秦	秦	秦			1	2	平	平	〔別〕シン	シン					1本-009a-05	
30-024-01	平家物語_大東急記念文庫_延慶本	5	4	趙	趙	趙髙	趙-高			1	2	去	去＊	〔別〕テウ	テウ＊					1本-009a-05	
30-024-01	平家物語_大東急記念文庫_延慶本	6	5	漢	漢	漢	漢ノ			1	2			〔別〕カン	カン					1本-009a-05	
30-024-01	平家物語_大東急記念文庫_延慶本	7	6	莽	莽	王莽	王莽			2	2			〔別〕マウ	＊マウ					1本-009a-05	
30-024-01	平家物語_大東急記念文庫_延慶本	8	7	梁	梁	梁	梁ノ			1	2			〔別〕リヤウ	リヤウ					1本-009a-05	
30-024-01	平家物語_大東急記念文庫_延慶本	9	8	周	周	周異	周異			1	2			〔別〕シウ	シウイ					1本-009a-05	
30-024-01	平家物語_大東急記念文庫_延慶本	10	8	異	異	周異	周異			2	1			〔別〕イ	シウイ					1本-009a-05	
30-024-01	平家物語_大東急記念文庫_延慶本	11	9	禄	禄	祿山	禄山			1	2			〔別〕ロク	ロク＊					1本-009a-05	
30-024-01	平家物語_大東急記念文庫_延慶本	12	10	舊	舊	舊主	舊-主			1	2	去	去＊	〔別〕キウ	キウシユ					1本-009a-06	
30-024-01	平家物語_大東急記念文庫_延慶本	13	10	主	主	舊主	舊-主			2	1		去＊	〔別〕シユ	キウシユ					1本-009a-06	
30-024-01	平家物語_大東急記念文庫_延慶本	14	11	皇	皇	先皇	先皇ノ			2	2			〔別〕クワウ	＊クワウ					1本-009a-06	
30-024-01	平家物語_大東急記念文庫_延慶本	15	12	民	民	民閒	民-間ノ			1	2			〔別〕ミン	ミンカン					1本-009a-06	
30-024-01	平家物語_大東急記念文庫_延慶本	16	12	間	間	民閒	民-間ノ			2	2			〔別〕カン	ミンカン					1本-009a-06	
30-024-01	平家物語_大東急記念文庫_延慶本	17	13	承	承	承平	承平ノ			1	2			〔別〕セウ	セウ＊					1本-009a-07	
30-024-01	平家物語_大東急記念文庫_延慶本	18	14	康	康	康和	康和ノ			1	2			〔別〕カウ	カウワ					1本-009a-08	
30-024-01	平家物語_大東急記念文庫_延慶本	19	14	和	和	康和	康和ノ			2	1			〔別〕ワ	カウワ					1本-009a-08	
30-024-01	平家物語_大東急記念文庫_延慶本	20	15	義	義	義親	義親			1	1			〔別〕ギ	ギシン					1本-009a-08	
30-024-01	平家物語_大東急記念文庫_延慶本	21	15	親	親	義親	義親			2	2			〔別〕シン	ギシン					1本-009a-08	
30-024-01	平家物語_大東急記念文庫_延慶本	22	16	信	信	信賴	信頼			1	2			〔別〕シン	シンライ					1本-009a-08	
30-024-01	平家物語_大東急記念文庫_延慶本	23	16	頼	頼	信賴	信頼			2	2			〔別〕ライ	シンライ					1本-009a-08	
30-024-01	平家物語_大東急記念文庫_延慶本	24	17	麗	麗	王麗	王麗			2	2			〔別〕レイ	＊レイ					1本-009a-10	
30-024-01	平家物語_大東急記念文庫_延慶本	25	18	品	品	一品	一品			2	2			〔別〕ホン	＊ホン					1本-009b-03	
30-024-01	平家物語_大東急記念文庫_延慶本	26	19	孫	孫	孫	孫			1	2			〔別〕ソン	ソン					1本-009b-04	
30-024-01	平家物語_大東急記念文庫_延慶本	27	20	嫡	嫡	嫡男	嫡男			1	2			〔別〕チヤク	チヤク＊					1本-009b-04	
30-024-01	平家物語_大東急記念文庫_延慶本	28	21	寛	寛	寬平	寛平			1	2			〔別〕クハン	クハン＊					1本-009b-06	
30-024-01	平家物語_大東急記念文庫_延慶本	29	22	鎭	鎮	鎭守	鎮守			1	2			〔別〕チン	チンシユ					1本-009b-08	
