資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-026-05	貞享版四座講式	1	1	大	大	大恩	大恩			1		平濁	平濁去							涅01ウ01	
30-026-05	貞享版四座講式	2	1	恩	恩	大恩	大恩			2		去	平濁去					5		涅01ウ01	
30-026-05	貞享版四座講式	3	2	教	教	教主	教主			1		平	平平					3		涅01ウ01	
30-026-05	貞享版四座講式	4	2	主	主	教主	教主			2		平	平平							涅01ウ01	
30-026-05	貞享版四座講式	5	3	釋	釈	釋迦	釈迦			1		平	平平							涅01ウ01	
30-026-05	貞享版四座講式	6	3	迦	迦	釋迦	釈迦			2		平	平平							涅01ウ01	
30-026-05	貞享版四座講式	7	4	牟	牟	牟尼	牟尼			1		上	上上							涅01ウ01	
30-026-05	貞享版四座講式	8	4	尼	尼	牟尼	牟尼			2		上	上上							涅01ウ01	
30-026-05	貞享版四座講式	9	5	如	如	如來	如来			1		平	平平					3		涅01ウ01	
30-026-05	貞享版四座講式	10	5	來	来	如來	如来			2		平	平平							涅01ウ01	
30-026-05	貞享版四座講式	11	6	涅	涅	涅槃	涅槃			1		平	平去							涅01ウ01	
30-026-05	貞享版四座講式	12	6	槃	槃	涅槃	涅槃			2		去	平去					5		涅01ウ01	
30-026-05	貞享版四座講式	13	7	遺	遺	遺教	遺教			1		平	平平					3		涅01ウ02	
30-026-05	貞享版四座講式	14	7	教	教	遺教	遺教			2		平	平平							涅01ウ02	
30-026-05	貞享版四座講式	15	8	八	八	八萬	八万			1		入	入平	―ツ	―ツ＊					涅01ウ02	
30-026-05	貞享版四座講式	16	8	萬	万	八萬	八万			2		平	入平		―ツ＊					涅01ウ02	
30-026-05	貞享版四座講式	17	9	聖	聖	聖教	聖教			1		平	平平新濁							涅01ウ02	
30-026-05	貞享版四座講式	18	9	教	教	聖教	聖教			2		平新濁	平平新濁							涅01ウ02	
30-026-05	貞享版四座講式	19	10	娑	娑	娑羅	娑羅			1		上	上上							涅01ウ02	
30-026-05	貞享版四座講式	20	10	羅	羅	娑羅	娑羅			2		上	上上							涅01ウ02	
30-026-05	貞享版四座講式	21	11	林	林	林中	林中			1		上	上上新濁					1		涅01ウ02	
30-026-05	貞享版四座講式	22	11	中	中	林中	林中			2		上新濁	上上新濁					1		涅01ウ02	
30-026-05	貞享版四座講式	23	12	五	五	五十二類	五十二類			1		平濁	平濁フ入濁平平					3		涅01ウ02	
30-026-05	貞享版四座講式	24	12	十	十	五十二類	五十二類			2		フ入濁	平濁フ入濁平平							涅01ウ02	
30-026-05	貞享版四座講式	25	12	二	二	五十二類	五十二類			3		平	平濁フ入濁平平							涅01ウ02	
30-026-05	貞享版四座講式	26	12	類	類	五十二類	五十二類			4		平	平濁フ入濁平平							涅01ウ03	
30-026-05	貞享版四座講式	27	13	一	一	一一	一一			1		入	入入		＊―チ					涅01ウ03	
30-026-05	貞享版四座講式	28	13	一	一	一一	一一			2		入	入入	―チ	＊―チ					涅01ウ03	
30-026-05	貞享版四座講式	29	14	微	微	微塵	微塵			1		上	上上濁							涅01ウ03	
30-026-05	貞享版四座講式	30	14	塵	塵	微塵	微塵			2		上濁	上上濁					1		涅01ウ03	
