資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-035-02	論語_東洋文庫_文永本巻第八	1	1	致	致	一致	一致			2		去	＊去	チ	＊チ					4	
30-035-02	論語_東洋文庫_文永本巻第八	2	2	見	見	見	見			1		去	去							6	
30-035-02	論語_東洋文庫_文永本巻第八	3	3	篤	篤	篤敬	篤敬			1		入軽	入軽＊	トク	トク＊					10	
30-035-02	論語_東洋文庫_文永本巻第八	4	4	蠻	蛮	蠻狛	蛮狛			1		平濁	平濁入軽							10	
30-035-02	論語_東洋文庫_文永本巻第八	5	4	狛	狛	蠻狛	蛮狛			2		入軽	平濁入軽							10	
30-035-02	論語_東洋文庫_文永本巻第八	6	5	隣	隣	隣	隣			1		平	平							12	
30-035-02	論語_東洋文庫_文永本巻第八	7	6	參	参	參	参			1		平軽	平軽	〔左〕シン	シン	所金反				13	
30-035-02	論語_東洋文庫_文永本巻第八	8	7	輿	輿	輿	輿			1		平	平	ヨ	ヨ					13	
30-035-02	論語_東洋文庫_文永本巻第八	9	8	衡	衡	衡	衡			1		平	平							14	
30-035-02	論語_東洋文庫_文永本巻第八	10	9	枙	枙	枙	枙			1		入軽	入軽	ヤク	ヤク					14	
30-035-02	論語_東洋文庫_文永本巻第八	11	10	紳	紳	諸紳	諸紳			2		平軽	＊平軽	〔左〕シン	＊シン					15	
30-035-02	論語_東洋文庫_文永本巻第八	12	11	史	史	史魚	史魚			1			＊平	シ	シ＊					16	仮名は後筆
30-035-02	論語_東洋文庫_文永本巻第八	13	11	魚	魚	史魚	史魚			2		平	＊平		シ＊					16	
30-035-02	論語_東洋文庫_文永本巻第八	14	12	鰌	鰌	史鰌	史鰌			2		平	＊平	シウ	＊シウ		音秋			16	
30-035-02	論語_東洋文庫_文永本巻第八	15	13	行	行	行	行			1		去	去							18	「～ク」の和訓あり
30-035-02	論語_東洋文庫_文永本巻第八	16	14	蘧	蘧	蘧伯玉	蘧伯玉			1		平	平＊＊	キヨ	キヨ＊＊					18	
30-035-02	論語_東洋文庫_文永本巻第八	17	15	卷	巻	卷	巻			1						眷勉反				19	「マイテ」の和訓あり
30-035-02	論語_東洋文庫_文永本巻第八	18	16	與	与	與	与			1		去	去							20	訓読符あり、「アツカラ」の和訓あり
30-035-02	論語_東洋文庫_文永本巻第八	19	17	柔	柔	柔順	柔順			1		平濁	平濁去	シユ	シユシユン					20	
30-035-02	論語_東洋文庫_文永本巻第八	20	17	順	順	柔順	柔順			2		去	平濁去	シユン	シユシユン					20	
30-035-02	論語_東洋文庫_文永本巻第八	21	18	士	士	志士	志士			2		去	＊去							23	
30-035-02	論語_東洋文庫_文永本巻第八	22	19	害	害	害	害			1		去	去							24	音読符あり
30-035-02	論語_東洋文庫_文永本巻第八	23	20	身	身	身	身			1		上	上							25	
30-035-02	論語_東洋文庫_文永本巻第八	24	21	士	士	志士	志士			2		去	＊去							27	音読符あり
30-035-02	論語_東洋文庫_文永本巻第八	25	22	易	易	易	易			1		去	去							30	
30-035-02	論語_東洋文庫_文永本巻第八	26	23	輅	輅	輅	輅			1				ロ	ロ					30	傍書した「路」に去声点
