資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-036-01	金沢文庫本天台大師畫讃	1	1	陳	陳	陳隨	陳随			1		平	平平濁					e1		212U02：a02	
30-036-01	金沢文庫本天台大師畫讃	2	1	隨	随	陳隨	陳随			2		平濁	平平濁					e1		212U02：a02	別本「隋」
30-036-01	金沢文庫本天台大師畫讃	3	2	二	二	二代	二代			1		去濁	去濁去					e3〔朱〕e2		212U02：a02	
30-036-01	金沢文庫本天台大師畫讃	4	2	代	代	二代	二代			2		去	去濁去					r3〔朱〕fR3		212U02：a02	
30-036-01	金沢文庫本天台大師畫讃	5	3	三	三	三朝國師	三朝國師			1		平軽	平軽平入平					f4		212U02：a02	節博士に「六上」とあるが譜の形状から「六中」と解す
30-036-01	金沢文庫本天台大師畫讃	6	3	朝	朝	三朝國師	三朝國師			2		平	平軽平入平					e1		212U02：a02	
30-036-01	金沢文庫本天台大師畫讃	7	3	國	國	三朝國師	三朝國師			3		入	平軽平入平					e4		212U02：a02	
30-036-01	金沢文庫本天台大師畫讃	8	3	師	師	三朝國師	三朝國師			4		平	平軽平入平					f4		212U02：a02	
30-036-01	金沢文庫本天台大師畫讃	9	4	天	天	天台	天台			1		平軽	平軽平					f4		210U03：a03	
30-036-01	金沢文庫本天台大師畫讃	10	4	台	台	天台	天台			2		平	平軽平					f4		210U03：a03	
30-036-01	金沢文庫本天台大師畫讃	11	5	智	智	智者	智者			1		平	平上					e2		210U03：a03	
30-036-01	金沢文庫本天台大師畫讃	12	5	者	者	智者	智者			2		上	平上					_3		210U03：a03	
30-036-01	金沢文庫本天台大師畫讃	13	6	大	大	大師	大師			1		去	去上					frr3		210U03：a03	
30-036-01	金沢文庫本天台大師畫讃	14	6	師	師	大師	大師			2		上	去上					f4		210U03：a03	
30-036-01	金沢文庫本天台大師畫讃	15	7	畫	畫	畫讃	畫讃			1		上	上去	クワ	クワ＊			f3〔朱〕frr3		210U03：a03	
30-036-01	金沢文庫本天台大師畫讃	16	7	讃	讃	畫讃	畫讃			2		去	上去		クワ＊			fRr2		210U03：a03	
30-036-01	金沢文庫本天台大師畫讃	17	8	光	光	光_大夫守	光_大夫守			1		平軽	平軽入去上上		＊ロク＊＊＊			f4		210U04：a04	
30-036-01	金沢文庫本天台大師畫讃	18	8	_	_	光_大夫守	光_大夫守			2		入	平軽入去上上	ロク	＊ロク＊＊＊			e4		210U04：a04	
30-036-01	金沢文庫本天台大師畫讃	19	8	大	大	光_大夫守	光_大夫守			3		去	平軽入去上上		＊ロク＊＊＊			frr3〔朱〕r3		210U04：a04	
30-036-01	金沢文庫本天台大師畫讃	20	8	夫	夫	光_大夫守	光_大夫守			4		上	平軽入去上上		＊ロク＊＊＊			f4		210U04：a04	
30-036-01	金沢文庫本天台大師畫讃	21	8	守	守	光_大夫守	光_大夫守			5		上	平軽入去上上		＊ロク＊＊＊			e4		210U04：a04	
30-036-01	金沢文庫本天台大師畫讃	22	9	大	大	大子	大子			1		去	去上					frr3〔朱〕r3		210U04：a04	
30-036-01	金沢文庫本天台大師畫讃	23	9	子	子	大子	大子			2		上	去上					e4		210U04：a04	
30-036-01	金沢文庫本天台大師畫讃	24	10	大	大	大師	大師			1		去	去上					frr3		210U04：a04	
30-036-01	金沢文庫本天台大師畫讃	25	10	師	師	大師	大師			2		上	去上					f4		210U05：a05	
30-036-01	金沢文庫本天台大師畫讃	26	11	顔	顔	顔魯公文	顔魯公文			1		平濁	平濁平平軽平濁	カン	カン＊＊＊			e2		210U05：a05	
30-036-01	金沢文庫本天台大師畫讃	27	11	魯	魯	顔魯公文	顔魯公文			2		平	平濁平平軽平濁		カン＊＊＊			r2〔朱〕rfr2		210U05：a05	
30-036-01	金沢文庫本天台大師畫讃	28	11	公	公	顔魯公文	顔魯公文			3		平軽	平濁平平軽平濁		カン＊＊＊			f3		210U05：a05	
30-036-01	金沢文庫本天台大師畫讃	29	11	文	文	顔魯公文	顔魯公文			4		平濁	平濁平平軽平濁		カン＊＊＊			fRr2		210U05：a05	
30-036-01	金沢文庫本天台大師畫讃	30	12	天	天	天台	天台			1		上	上平					f4		210U06：a06	
30-036-01	金沢文庫本天台大師畫讃	31	12	台	台	天台	天台			2		平	上平					f4		210U06：a06	
30-036-01	金沢文庫本天台大師畫讃	32	13	大	大	大師	大師			1		去	去上					r3〔朱〕frr3		210U06：a06	
30-036-01	金沢文庫本天台大師畫讃	33	13	師	師	大師	大師			2		上	去上					f4		210U06：a06	
30-036-01	金沢文庫本天台大師畫讃	34	14	俗	俗	俗姓陳	俗姓陳			1		入	入去平	シヨク	シヨクセイチン			e3〔朱〕f3		210U06：a06	
30-036-01	金沢文庫本天台大師畫讃	35	14	姓	姓	俗姓陳	俗姓陳			2		去	入去平	セイ	シヨクセイチン			r3		210U06：a06	
30-036-01	金沢文庫本天台大師畫讃	36	14	陳	陳	俗姓陳	俗姓陳			3		平	入去平	チン	シヨクセイチン			_3		210U06：a06	
30-036-01	金沢文庫本天台大師畫讃	37	15	其	其	其名	其名			1		平	平平	キ	キヘイ			e2		210U07：a07	
30-036-01	金沢文庫本天台大師畫讃	38	15	名	名	其名	其名			2		平	平平	ヘイ	キヘイ			e2		210U07：a07	
30-036-01	金沢文庫本天台大師畫讃	39	16	智	智	智_	智_			1			*上濁		＊キ			e2		210U07：a07	
30-036-01	金沢文庫本天台大師畫讃	40	16	_	_	智_	智_			2		上濁	*上濁	キ	＊キ			e3		210U07：a07	
30-036-01	金沢文庫本天台大師畫讃	41	17	花	花	花容人	花容人			1		平	平平平濁	クワ	クワヨウシン			f3		210U07：a07	
30-036-01	金沢文庫本天台大師畫讃	42	17	容	容	花容人	花容人			2		平	平平平濁	ヨウ	クワヨウシン			e1		210U07：a07	
