資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-037-01	金沢文庫本智証大師畫讃	1	1	清	清	清和	清和			1				セイ	セイクワ			e2		212U01：a01	
30-037-01	金沢文庫本智証大師畫讃	2	1	和	和	清和	清和			2				クワ	セイクワ			e2		212U01：a01	
30-037-01	金沢文庫本智証大師畫讃	3	2	光	光	光孝	光孝			1				クワウ 	クワウカウ			e'3		212U01：a01	
30-037-01	金沢文庫本智証大師畫讃	4	2	孝	孝	光孝	光孝			2				カウ 	クワウカウ			'r3		212U01：a01	
30-037-01	金沢文庫本智証大師畫讃	5	3	陽	陽	陽成	陽成			1				ヤウ　	ヤウ＊			"e5［右］e3,e2"		212U01：a01	
30-037-01	金沢文庫本智証大師畫讃	6	3	成	成	陽成	陽成			2					ヤウ＊			"f5［右］e4, fr3"		212U01：a01	
30-037-01	金沢文庫本智証大師畫讃	7	4	三	三	三朝	三朝			1								f5		212U01：a01	
30-037-01	金沢文庫本智証大師畫讃	8	4	朝	朝	三朝	三朝			2								e2		212U01：a01	
30-037-01	金沢文庫本智証大師畫讃	9	5	國	國	國師	國師			1								e5		212U02：a02	
30-037-01	金沢文庫本智証大師畫讃	10	5	師	師	國師	國師			2								f5		212U02：a02	
30-037-01	金沢文庫本智証大師畫讃	11	6	智	智	智證	智證			1								e2		212U02：a02	
30-037-01	金沢文庫本智証大師畫讃	12	6	證	證	智證	智證			2								_3		212U02：a02	
30-037-01	金沢文庫本智証大師畫讃	13	7	大	大	大師	大師			1								R1		212U02：a02	
30-037-01	金沢文庫本智証大師畫讃	14	7	師	師	大師	大師			2								f5		212U02：a02	
30-037-01	金沢文庫本智証大師畫讃	15	8	畫	畫	畫讃	畫讃			1								r3		212U02：a02	
30-037-01	金沢文庫本智証大師畫讃	16	8	讃	讃	畫讃	畫讃			2								ffr3		212U02：a02	
30-037-01	金沢文庫本智証大師畫讃	17	9	朝	朝	朝散	朝散			1				テウ	テウサン			f5		212U03：a03	
30-037-01	金沢文庫本智証大師畫讃	18	9	散	散	朝散	朝散			2				サン	テウサン			e5		212U03：a03	
30-037-01	金沢文庫本智証大師畫讃	19	10	大	大	大夫	大夫			1								ffrr5［右］r5		212U03：a03	
30-037-01	金沢文庫本智証大師畫讃	20	10	夫	夫	大夫	大夫			2								f5		212U03：a03	
30-037-01	金沢文庫本智証大師畫讃	21	11	高	高	高美倫	高美倫			1					＊＊リン			e2		212U03：a03	
30-037-01	金沢文庫本智証大師畫讃	22	11	美	美	高美倫	高美倫			2					＊＊リン			r3		212U03：a03	
30-037-01	金沢文庫本智証大師畫讃	23	11	倫	倫	高美倫	高美倫			3				リン	＊＊リン			f3		212U03：a03	
30-037-01	金沢文庫本智証大師畫讃	24	12	文	文	文	文			1								rffr1		212U03：a03	
