資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	SAT所在
30-038-01	金沢文庫本五悔	1	1	一	一	一切	一切			1								e5		089U2：002		T2713_.84.0829a09
30-038-01	金沢文庫本五悔	2	1	切	切	一切	一切			2								e5		089U2：002		T2713_.84.0829a09
30-038-01	金沢文庫本五悔	3	2	恭	恭	恭敬	恭敬			1								e1_		089U2：002		T2713_.84.0829a09
30-038-01	金沢文庫本五悔	4	2	敬	敬	恭敬	恭敬			2								"fr5, 〔右〕ffr1_"		089U2：002		T2713_.84.0829a09
30-038-01	金沢文庫本五悔	5	3	敬	敬	敬禮	敬礼			1								r4		089U2：002		T2713_.84.0829a09
30-038-01	金沢文庫本五悔	6	3	禮	礼	敬禮	敬礼			2								e5		089U2：002		T2713_.84.0829a09
30-038-01	金沢文庫本五悔	7	4	常	常	常住	常住			1								e3		089U2：002		T2713_.84.0829a09
30-038-01	金沢文庫本五悔	8	4	住	住	常住	常住			2								rr4		089U2：002		T2713_.84.0829a09
30-038-01	金沢文庫本五悔	9	5	三	三	三寶	三寶			1			＊上濁					e'1_		089U2：002		T2713_.84.0829a09
30-038-01	金沢文庫本五悔	10	6	寳	寳	三寳	三寳			2		上濁	＊上濁					e5		089U2：002		T2713_.84.0829a09
30-038-01	金沢文庫本五悔	11	7	娑	娑	娑縛婆縛_駄	娑縛婆縛_駄			1			＊＊＊平濁＊平濁					e1_		089U3：003	音写字	T2713_.84.0829a10
30-038-01	金沢文庫本五悔	12	7	縛	縛	娑縛婆縛_駄	娑縛婆縛_駄			2			＊＊＊平濁＊平濁					e1_		089U3：003	音写字	T2713_.84.0829a10
30-038-01	金沢文庫本五悔	13	7	婆	婆	娑縛婆縛_駄	娑縛婆縛_駄			3			＊＊＊平濁＊平濁					f1_		089U3：003	音写字	T2713_.84.0829a10
30-038-01	金沢文庫本五悔	14	7	縛	縛	娑縛婆縛_駄	娑縛婆縛_駄			4		平濁	＊＊＊平濁＊平濁					e5		089U3：003	音写字	T2713_.84.0829a10
30-038-01	金沢文庫本五悔	15	7	_	_	娑縛婆縛_駄	娑縛婆縛_駄			5			＊＊＊平濁＊平濁					e1_		089U3：003	音写字	T2713_.84.0829a10
30-038-01	金沢文庫本五悔	16	7	駄	駄	娑縛婆縛_駄	娑縛婆縛_駄			6		平濁	＊＊＊平濁＊平濁							089U3：003	音写字	T2713_.84.0829a10
30-038-01	金沢文庫本五悔	17	8	薩	薩	薩縛達_	薩縛達_			1			＊上濁＊＊					e1_		089U3：003	音写字	T2713_.84.0829a11
30-038-01	金沢文庫本五悔	18	8	縛	縛	薩縛達_	薩縛達_			2		上濁	＊上濁＊＊					e'1_		089U3：003	音写字	T2713_.84.0829a11
30-038-01	金沢文庫本五悔	19	8	達	達	薩縛達_	薩縛達_			3			＊上濁＊＊					ffr1_		089U3：003	音写字	T2713_.84.0829a11
30-038-01	金沢文庫本五悔	20	8	_	_	薩縛達_	薩縛達_			4			＊上濁＊＊					e5		089U3：003	音写字	T2713_.84.0829a11
30-038-01	金沢文庫本五悔	21	9	娑	娑	娑縛婆縛_度憾	娑縛婆縛_度憾			1			＊＊＊平濁＊＊＊					e1_		089U3：003	音写字	T2713_.84.0829a12
30-038-01	金沢文庫本五悔	22	9	縛	縛	娑縛婆縛_度憾	娑縛婆縛_度憾			2			＊＊＊平濁＊＊＊					e1_		089U3：003	音写字	T2713_.84.0829a12
30-038-01	金沢文庫本五悔	23	9	婆	婆	娑縛婆縛_度憾	娑縛婆縛_度憾			3			＊＊＊平濁＊＊＊					e5		089U4：004	音写字	T2713_.84.0829a12
