資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	SAT所在
30-039-01	金沢文庫本九方便	1	1	一	一	一切	一切			1								e5		092L2：060		T2713_.84.0831b08
30-039-01	金沢文庫本九方便	2	1	切	切	一切	一切			2								e5		092L2：060		T2713_.84.0831b08
30-039-01	金沢文庫本九方便	3	2	恭	恭	恭敬	恭敬			1								e1_		092L2：060		T2713_.84.0831b08
30-039-01	金沢文庫本九方便	4	2	敬	敬	恭敬	恭敬			2								"fr5, 〔別〕ffr1_"		092L2：060		T2713_.84.0831b08
30-039-01	金沢文庫本九方便	5	3	敬	敬	敬禮	敬礼			1								r4		092L2：060		T2713_.84.0831b08
30-039-01	金沢文庫本九方便	6	3	禮	礼	敬禮	敬礼			2								e5		092L2：060		T2713_.84.0831b08
30-039-01	金沢文庫本九方便	7	4	常	常	常住	常住			1								e3		092L2：060		T2713_.84.0831b08
30-039-01	金沢文庫本九方便	8	4	住	住	常住	常住			2								rr4		092L2：060		T2713_.84.0831b08
30-039-01	金沢文庫本九方便	9	5	三	三	三寳	三寳			1			＊上濁					f1_		092L2：060		T2713_.84.0831b08
30-039-01	金沢文庫本九方便	10	5	寳	寳	三寳	三寳			2		上濁	＊上濁					e5		092L2：060		T2713_.84.0831b08
30-039-01	金沢文庫本九方便	11	6	曩	曩	曩莫三滿多	曩莫三満多			1			＊＊＊＊平濁					e1_		092L3：061	音写字	T2713_.84.0831b09
30-039-01	金沢文庫本九方便	12	6	莫	莫	曩莫三滿多	曩莫三満多			2			＊＊＊＊平濁					e1_		092L3：061	音写字	T2713_.84.0831b09
30-039-01	金沢文庫本九方便	13	6	三	三	曩莫三滿多	曩莫三満多			3			＊＊＊＊平濁					f1_		092L3：061	音写字	T2713_.84.0831b09
30-039-01	金沢文庫本九方便	14	6	滿	満	曩莫三滿多	曩莫三満多			4			＊＊＊＊平濁					e5		092L3：061	音写字	T2713_.84.0831b09
30-039-01	金沢文庫本九方便	15	6	多	多	曩莫三滿多	曩莫三満多			5		平濁	＊＊＊＊平濁					e5		092L3：061	音写字	T2713_.84.0831b09
30-039-01	金沢文庫本九方便	16	7	勃	勃	勃駄南	勃駄南			1		上濁	上濁平濁＊					e1_		092L3：061	音写字	T2713_.84.0831b09
30-039-01	金沢文庫本九方便	17	7	駄	駄	勃駄南	勃駄南			2		平濁	上濁平濁＊					f1_		092L3：061	音写字	T2713_.84.0831b09
30-039-01	金沢文庫本九方便	18	8	阿	阿	阿三迷怛哩三迷	阿三迷怛哩三迷			1								e1_		092L3：061	音写字	T2713_.84.0831b10
30-039-01	金沢文庫本九方便	19	8	三	三	阿三迷怛哩三迷	阿三迷怛哩三迷			2								f1_		092L3：061	音写字	T2713_.84.0831b10
30-039-01	金沢文庫本九方便	20	8	迷	迷	阿三迷怛哩三迷	阿三迷怛哩三迷			3								e5		092L3：061	音写字	T2713_.84.0831b10
30-039-01	金沢文庫本九方便	21	8	怛	怛	阿三迷怛哩三迷	阿三迷怛哩三迷			4								e1_		092L3：061	音写字	T2713_.84.0831b10
30-039-01	金沢文庫本九方便	22	8	哩	哩	阿三迷怛哩三迷	阿三迷怛哩三迷			5								e1_		092L4：062	音写字	T2713_.84.0831b10
30-039-01	金沢文庫本九方便	23	8	三	三	阿三迷怛哩三迷	阿三迷怛哩三迷			6								f1_		092L4：062	音写字	T2713_.84.0831b10
30-039-01	金沢文庫本九方便	24	8	迷	迷	阿三迷怛哩三迷	阿三迷怛哩三迷			7								e5		092L4：062	音写字	T2713_.84.0831b10
30-039-01	金沢文庫本九方便	25	9	三	三	三摩曳娑縛賀	三摩曳娑縛賀			1								e5		092L4：062	音写字	T2713_.84.0831b11
30-039-01	金沢文庫本九方便	26	9	摩	摩	三摩曳娑縛賀	三摩曳娑縛賀			2								e1_		092L4：062	音写字	T2713_.84.0831b11
30-039-01	金沢文庫本九方便	27	9	曳	曳	三摩曳娑縛賀	三摩曳娑縛賀			3								e1_		092L4：062	音写字	T2713_.84.0831b11
30-039-01	金沢文庫本九方便	28	9	娑	娑	三摩曳娑縛賀	三摩曳娑縛賀			4								f1_		092L4：062	音写字	T2713_.84.0831b11
30-039-01	金沢文庫本九方便	29	9	縛	縛	三摩曳娑縛賀	三摩曳娑縛賀			5								e5		092L4：062	音写字	T2713_.84.0831b11
30-039-01	金沢文庫本九方便	30	9	賀	賀	三摩曳娑縛賀	三摩曳娑縛賀			6								e5		092L4：062	音写字	T2713_.84.0831b11
30-039-01	金沢文庫本九方便	31	10	曩	曩	曩莫三_多勃駄_	曩莫三_多勃駄_			1			＊＊＊＊平濁上濁平濁＊					e1_		092L5：063	音写字	T2713_.84.0831b12
30-039-01	金沢文庫本九方便	32	10	莫	莫	曩莫三_多勃駄_	曩莫三_多勃駄_			2			＊＊＊＊平濁上濁平濁＊					e1_		092L5：063	音写字	T2713_.84.0831b12
30-039-01	金沢文庫本九方便	33	10	三	三	曩莫三_多勃駄_	曩莫三_多勃駄_			3			＊＊＊＊平濁上濁平濁＊					f1_		092L5：063	音写字	T2713_.84.0831b12
30-039-01	金沢文庫本九方便	34	10	_	_	曩莫三_多勃駄_	曩莫三_多勃駄_			4			＊＊＊＊平濁上濁平濁＊					e5		092L5：063	音写字	T2713_.84.0831b12
30-039-01	金沢文庫本九方便	35	10	多	多	曩莫三_多勃駄_	曩莫三_多勃駄_			5		平濁	＊＊＊＊平濁上濁平濁＊					e5		092L5：063	音写字	T2713_.84.0831b12
