資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	Unnamed: 22
30-039-02	正保版魚山私抄九方便	1	1	一	一	一切	一切			1								e4		40a2		T2713_.84.0831b08
30-039-02	正保版魚山私抄九方便	2	1	切	切	一切	一切			2								e4		40a2		T2713_.84.0831b08
30-039-02	正保版魚山私抄九方便	3	2	恭	恭	恭敬	恭敬			1								e5		40a2		T2713_.84.0831b08
30-039-02	正保版魚山私抄九方便	4	2	敬	敬	恭敬	恭敬			2								fr4		40a2		T2713_.84.0831b08
30-039-02	正保版魚山私抄九方便	5	3	敬	敬	敬禮	敬礼			1								r3		40a2		T2713_.84.0831b08
30-039-02	正保版魚山私抄九方便	6	3	禮	礼	敬禮	敬礼			2								e4		40a2		T2713_.84.0831b08
30-039-02	正保版魚山私抄九方便	7	4	常	常	常住	常住			1								e2		40a2		T2713_.84.0831b08
30-039-02	正保版魚山私抄九方便	8	4	住	住	常住	常住			2								rfR3		40a2		T2713_.84.0831b08
30-039-02	正保版魚山私抄九方便	9	5	三	三	三寳	三寳			1								f5		40a2		T2713_.84.0831b08
30-039-02	正保版魚山私抄九方便	10	5	寳	寳	三寳	三寳			2								e4		40a2		T2713_.84.0831b08
30-039-02	正保版魚山私抄九方便	11	6	曩	曩	曩莫三_多	曩莫三_多			1								e5		40a3	音写字	T2713_.84.0831b09
30-039-02	正保版魚山私抄九方便	12	6	莫	莫	曩莫三_多	曩莫三_多			2								e5		40a3	音写字	T2713_.84.0831b09
30-039-02	正保版魚山私抄九方便	13	6	三	三	曩莫三_多	曩莫三_多			3								e4		40a3	音写字	T2713_.84.0831b09
30-039-02	正保版魚山私抄九方便	14	6	_	_	曩莫三_多	曩莫三_多			4								e4		40a3	音写字	T2713_.84.0831b09
30-039-02	正保版魚山私抄九方便	15	6	多	多	曩莫三_多	曩莫三_多			5								e4		40a3	音写字	T2713_.84.0831b09
30-039-02	正保版魚山私抄九方便	16	7	没	没	没駄南	没駄南			1								e5		40a3	音写字	T2713_.84.0831b09
30-039-02	正保版魚山私抄九方便	17	7	駄	駄	没駄南	没駄南			2								e4		40a3	音写字	T2713_.84.0831b09
30-039-02	正保版魚山私抄九方便	18	7	南	南	没駄南	没駄南			3								e4		40a3	音写字	T2713_.84.0831b09
30-039-02	正保版魚山私抄九方便	19	8	阿	阿	阿三迷怛哩三迷	阿三迷怛哩三迷			1					＊＊＊チ＊＊＊			e5		40b1	音写字	T2713_.84.0831b10
30-039-02	正保版魚山私抄九方便	20	8	三	三	阿三迷怛哩三迷	阿三迷怛哩三迷			2					＊＊＊チ＊＊＊			e4		40b1	音写字	T2713_.84.0831b10
30-039-02	正保版魚山私抄九方便	21	8	迷	迷	阿三迷怛哩三迷	阿三迷怛哩三迷			3					＊＊＊チ＊＊＊			e4		40b1	音写字	T2713_.84.0831b10
30-039-02	正保版魚山私抄九方便	22	8	怛	怛	阿三迷怛哩三迷	阿三迷怛哩三迷			4				チ	＊＊＊チ＊＊＊			e5		40b1	音写字	T2713_.84.0831b10
30-039-02	正保版魚山私抄九方便	23	8	哩	哩	阿三迷怛哩三迷	阿三迷怛哩三迷			5					＊＊＊チ＊＊＊			e5		40b1	音写字	T2713_.84.0831b10
30-039-02	正保版魚山私抄九方便	24	8	三	三	阿三迷怛哩三迷	阿三迷怛哩三迷			6					＊＊＊チ＊＊＊			e4		40b1	音写字	T2713_.84.0831b10
30-039-02	正保版魚山私抄九方便	25	8	迷	迷	阿三迷怛哩三迷	阿三迷怛哩三迷			7					＊＊＊チ＊＊＊			e4		40b1	音写字	T2713_.84.0831b10
30-039-02	正保版魚山私抄九方便	26	9	三	三	三_曳	三_曳			1					＊＊エイ			e4		40b2	音写字	T2713_.84.0831b11
30-039-02	正保版魚山私抄九方便	27	9	_	_	三_曳	三_曳			2					＊＊エイ			r4		40b2	音写字	T2713_.84.0831b11
30-039-02	正保版魚山私抄九方便	28	9	曳	曳	三_曳	三_曳			3				エイ	＊＊エイ			e5		40b2	音写字	T2713_.84.0831b11
30-039-02	正保版魚山私抄九方便	29	10	曩	曩	曩莫三_多没駄南	曩莫三_多没駄南			1								e5		40b3	音写字	T2713_.84.0831b12
30-039-02	正保版魚山私抄九方便	30	10	莫	莫	曩莫三_多没駄南	曩莫三_多没駄南			2								e5		40b3	音写字	T2713_.84.0831b12
30-039-02	正保版魚山私抄九方便	31	10	三	三	曩莫三_多没駄南	曩莫三_多没駄南			3								e4		40b3	音写字	T2713_.84.0831b12
30-039-02	正保版魚山私抄九方便	32	10	_	_	曩莫三_多没駄南	曩莫三_多没駄南			4								e4		40b3	音写字	T2713_.84.0831b12
30-039-02	正保版魚山私抄九方便	33	10	多	多	曩莫三_多没駄南	曩莫三_多没駄南			5								e4		40b3	音写字	T2713_.84.0831b12
30-039-02	正保版魚山私抄九方便	34	10	没	没	曩莫三_多没駄南	曩莫三_多没駄南			6								e5		40b3	音写字	T2713_.84.0831b12
30-039-02	正保版魚山私抄九方便	35	10	駄	駄	曩莫三_多没駄南	曩莫三_多没駄南			7								e4		40b3	音写字	T2713_.84.0831b12
30-039-02	正保版魚山私抄九方便	36	10	南	南	曩莫三_多没駄南	曩莫三_多没駄南			8								e4		40b3	音写字	T2713_.84.0831b12
30-039-02	正保版魚山私抄九方便	37	11	達	達	達_駄覩薩縛婆縛句含	達_駄覩薩縛婆縛句含			1					＊＊＊＊ソハハン＊＊＊			fR4		41a1	音写字	T2713_.84.0831c01
30-039-02	正保版魚山私抄九方便	38	11	_	_	達_駄覩薩縛婆縛句含	達_駄覩薩縛婆縛句含			2					＊＊＊＊ソハハン＊＊＊			e5		41a1	音写字	T2713_.84.0831c01
30-039-02	正保版魚山私抄九方便	39	11	駄	駄	達_駄覩薩縛婆縛句含	達_駄覩薩縛婆縛句含			3					＊＊＊＊ソハハン＊＊＊			r4		41a1	音写字	T2713_.84.0831c01
30-039-02	正保版魚山私抄九方便	40	11	覩	覩	達_駄覩薩縛婆縛句含	達_駄覩薩縛婆縛句含			4					＊＊＊＊ソハハン＊＊＊			fR4		41a1	音写字	T2713_.84.0831c01
