資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	Unnamed: 22
30-039-03	魚山六巻帖九方便	1	1	歸	歸	歸命	歸命			1	2		＊	クヰ	クヰ＊			e1		54:2		T2712_.84.0816c18
30-039-03	魚山六巻帖九方便	2	1	命	命	歸命	歸命			2	2	去濁	去濁		クヰ＊			〔右〕r1		54:2		T2712_.84.0816c18
30-039-03	魚山六巻帖九方便	3	2	十	十	十方	十方			1	2			シ	シハウ			e1		54:2		T2712_.84.0816c18
30-039-03	魚山六巻帖九方便	4	2	方	方	十方	十方			2	2			ハウ	シハウ			f2		54:2		T2712_.84.0816c18
30-039-03	魚山六巻帖九方便	5	3	正	正	正等覺	正等覺			1	3				＊＊カ〈ク〉			f2		54:2		T2712_.84.0816c18
30-039-03	魚山六巻帖九方便	6	3	等	等	正等覺	正等覺			2	3				＊＊カ〈ク〉			〔右〕r1		54:2		T2712_.84.0816c18
30-039-03	魚山六巻帖九方便	7	3	覺	覺	正等覺	正等覺			3	3			カ〈ク〉	＊＊カ〈ク〉			e1		54:2		T2712_.84.0816c18
30-039-03	魚山六巻帖九方便	8	4	三	三	三世	三世			1	2							f2		54:3		T2712_.84.0816c19
30-039-03	魚山六巻帖九方便	9	4	世	世	三世	三世			2	2							〔右〕r1		54:3		T2712_.84.0816c19
30-039-03	魚山六巻帖九方便	10	5	一	一	一切	一切			1	2							e2		54:3		T2712_.84.0816c19
30-039-03	魚山六巻帖九方便	11	5	切	切	一切	一切			2	2							e1		54:3		T2712_.84.0816c19
30-039-03	魚山六巻帖九方便	12	6	具	具	具三身	具三身			1	3							〔右〕r1		54:3		T2712_.84.0816c19
30-039-03	魚山六巻帖九方便	13	6	三	三	具三身	具三身			2	3							f2		54:3		T2712_.84.0816c19
30-039-03	魚山六巻帖九方便	14	6	身	身	具三身	具三身			3	3							e1		54:3		T2712_.84.0816c19
30-039-03	魚山六巻帖九方便	15	7	歸	歸	歸命	歸命			1	2		＊上濁					f2		54:4		T2712_.84.0816c20
30-039-03	魚山六巻帖九方便	16	7	命	命	歸命	歸命			2	2	上濁	＊上濁					e2		54:4		T2712_.84.0816c20
30-039-03	魚山六巻帖九方便	17	8	一	一	一切	一切			1	2							〔右〕e2		54:4		T2712_.84.0816c20
30-039-03	魚山六巻帖九方便	18	8	切	切	一切	一切			2	2							e1		54:4		T2712_.84.0816c20
30-039-03	魚山六巻帖九方便	19	9	大	大	大乘法	大乗法			1	3				＊シハウ			〔右〕r1		54:4		T2712_.84.0816c20
30-039-03	魚山六巻帖九方便	20	9	乘	乗	大乘法	大乗法			2	3			シ	＊シハウ			〔右〕fR5_		54:4		T2712_.84.0816c20
30-039-03	魚山六巻帖九方便	21	9	法	法	大乘法	大乗法			3	3			ハウ	＊シハウ			e1		54:4		T2712_.84.0816c20
30-039-03	魚山六巻帖九方便	22	10	歸	歸	歸命	歸命			1	2		＊上濁					f2		54:5		T2712_.84.0816d01
30-039-03	魚山六巻帖九方便	23	10	命	命	歸命	歸命			2	2	上濁	＊上濁					e2		54:5		T2712_.84.0816d01
