資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-048-02	類聚名義抄_天理図書館_観智院本	1	1	人	人	人	人			1		平濁	平濁	ニン	ニン		音仁〈平濁〉「ニン」			K0100131	
30-048-02	類聚名義抄_天理図書館_観智院本	2	2	仁	仁	仁	仁			1		平濁	平濁	ニン	ニン		音仁〈平濁〉「ニン」			K0100131	音注字
30-048-02	類聚名義抄_天理図書館_観智院本	3	3	佛	佛	佛	佛			1		去	去	ヒ	ヒ		音費〈去〉「ヒ」			K0100171	
30-048-02	類聚名義抄_天理図書館_観智院本	4	4	費	費	費	費			1		去	去	ヒ	ヒ		音費〈去〉「ヒ」			K0100171	音注字
30-048-02	類聚名義抄_天理図書館_観智院本	5	5	佛	佛	佛	佛			1						又符「フ」弗〈入〉「フツ」反				K0100171	
30-048-02	類聚名義抄_天理図書館_観智院本	6	6	符	符	符	符			1				フ	フ					K0100171	
30-048-02	類聚名義抄_天理図書館_観智院本	7	7	弗	弗	弗	弗			1		入	入	フツ	フツ					K0100171	
30-048-02	類聚名義抄_天理図書館_観智院本	8	8	佛	佛	佛	佛			1		入	入				又音弼〈入〉「ヒチ」			K0100171	
30-048-02	類聚名義抄_天理図書館_観智院本	9	9	弼	弼	弼	弼			1		入	入	ヒチ	ヒチ		又音弼〈入〉「ヒチ」			K0100171	音注字
30-048-02	類聚名義抄_天理図書館_観智院本	10	10	佛	佛	佛	佛			1				和音部ツ	和音部ツ					K0100171	
30-048-02	類聚名義抄_天理図書館_観智院本	11	11	仿	仿	仿佛	仿佛			1						芳往反				K0100181	
30-048-02	類聚名義抄_天理図書館_観智院本	12	11	佛	佛	仿佛	仿佛			2							音費			K0100181	
30-048-02	類聚名義抄_天理図書館_観智院本	13	12	㐻	㐻	㐻	㐻			1		去／＊	去／＊				内〈去〉「タイ」納二音			K0100212	
30-048-02	類聚名義抄_天理図書館_観智院本	14	13	内	内	内	内			1		去	去	タイ	タイ		内〈去〉「タイ」納二音			K0100212	音注字
30-048-02	類聚名義抄_天理図書館_観智院本	15	14	僧	僧	僧	僧			1						蘇曽〈平軽〉反				K0100213	
30-048-02	類聚名義抄_天理図書館_観智院本	16	15	曾	曽	曾	曽			1		平軽	平軽							K0100213	
30-048-02	類聚名義抄_天理図書館_観智院本	17	16	僧	僧	僧	僧			1		平平N	平平N	和音ソウ	和音ソウ					K0100213	
30-048-02	類聚名義抄_天理図書館_観智院本	18	17	傮	傮	傮	傮			1		平／平	平／平				遭〈平〉「サウ」曹〈平〉「サウ」二音			K0100221	
30-048-02	類聚名義抄_天理図書館_観智院本	19	18	遭	遭	遭	遭			1		平	平	サウ	サウ		遭〈平〉「サウ」曹〈平〉「サウ」二音			K0100221	音注字
30-048-02	類聚名義抄_天理図書館_観智院本	20	19	曹	曹	曹	曹			1		平	平	サウ	サウ		遭〈平〉「サウ」曹〈平〉「サウ」二音			K0100221	音注字
30-048-02	類聚名義抄_天理図書館_観智院本	21	20	⿰亻胃	⿰亻胃	⿰亻胃	⿰亻胃				1	去	去				音謂〈去〉「ヰ」			K0100222	
30-048-02	類聚名義抄_天理図書館_観智院本	22	21	謂	謂	謂	謂			1		去	去	ヰ	ヰ		音謂〈去〉「ヰ」			K0100222	音注字
