資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-056-01	解脱門義聴集記_金沢文庫	1	1	自	自	自然	自然			1		上	上平濁							0102b5	
30-056-01	解脱門義聴集記_金沢文庫	2	1	然	然	自然	自然			2		平濁	上平濁							0102b5	
30-056-01	解脱門義聴集記_金沢文庫	3	2	虵	虵	虵牛	虵牛			1		〔墨〕上濁	上濁上濁							0103b6	
30-056-01	解脱門義聴集記_金沢文庫	4	2	牛	牛	虵牛	虵牛			2		〔墨〕上濁	上濁上濁							0103b6	
30-056-01	解脱門義聴集記_金沢文庫	5	3	全	全	全	全ニ			1		上濁	上濁＊							0106b1	
30-056-01	解脱門義聴集記_金沢文庫	6	4	全	全	全	全ニ			1		上濁	上濁＊							0106b5	
30-056-01	解脱門義聴集記_金沢文庫	7	5	是	是	是邪是正	是邪是正ヲ			1		平濁	平濁上濁平濁平＊							0114b7	暗褐色声点
30-056-01	解脱門義聴集記_金沢文庫	8	5	邪	邪	是邪是正	是邪是正ヲ			2		上濁	平濁上濁平濁平＊							0114b7	暗褐色声点
30-056-01	解脱門義聴集記_金沢文庫	9	5	是	是	是邪是正	是邪是正ヲ			3		平濁	平濁上濁平濁平＊							0114b7	暗褐色声点
30-056-01	解脱門義聴集記_金沢文庫	10	5	正	正	是邪是正	是邪是正ヲ			4		平	平濁上濁平濁平＊							0114b7	暗褐色声点
30-056-01	解脱門義聴集記_金沢文庫	11	6	有	有	有	有ニ			1		平	平＊							0118b2	
30-056-01	解脱門義聴集記_金沢文庫	12	7	有	有	有	有ト			1		平	平＊							0121a2	暗褐色声点
30-056-01	解脱門義聴集記_金沢文庫	13	8	欲	欲	欲想	欲想			1		入	入平							0123b5	
30-056-01	解脱門義聴集記_金沢文庫	14	8	想	想	欲想	欲想			2		平	入平							0123b5	
30-056-01	解脱門義聴集記_金沢文庫	15	9	事	事	事善	事善ナレトモ			1		平濁	平濁平濁＊＊＊＊							0145b1	
30-056-01	解脱門義聴集記_金沢文庫	16	9	善	善	事善	事善ナレトモ			2		平濁	平濁平濁＊＊＊＊							0145b1	
30-056-01	解脱門義聴集記_金沢文庫	17	10	波	ハ	波羅蜜	ハラ密			1										0214a4	
30-056-01	解脱門義聴集記_金沢文庫	18	10	羅	ラ	波羅蜜	ハラ密			2										0214a4	
30-056-01	解脱門義聴集記_金沢文庫	19	11	陀	タ	陀羅尼	タラ尼			1										0216b2	
30-056-01	解脱門義聴集記_金沢文庫	20	11	羅	ラ	陀羅尼	タラ尼			2										0216b2	
30-056-01	解脱門義聴集記_金沢文庫	21	12	賴	ラ	阿賴耶識	阿ラヤ識ノ			2										0255b5	
30-056-01	解脱門義聴集記_金沢文庫	22	12	耶	ヤ	阿賴耶識	阿ラヤ識ノ			3										0255b5	
30-056-01	解脱門義聴集記_金沢文庫	23	13	狗	狗	天狗	天狐ノ			2				ク	＊ク＊					0327b3	
