資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-057-01	華厳信種義聞集記_金沢文庫	1	1	博	博	廣博	廣博ナル			2				ハク	＊ハク＊＊					0102a2	
30-057-01	華厳信種義聞集記_金沢文庫	2	2	信	信	信	信ヲ			1				〔朱〕シム	シム					0120b6	
30-057-01	華厳信種義聞集記_金沢文庫	3	3	影	影	影像	影像ト			1				〔朱〕ヤウ	ヤウ＊					0124a6	
30-057-01	華厳信種義聞集記_金沢文庫	4	4	質	質	本質	本質ヲ			2				セツ	＊セツ＊					0124a7	
30-057-01	華厳信種義聞集記_金沢文庫	5	5	覺	覚	等覺	等覚			2				〔朱〕カク	＊カク					0125a4	
30-057-01	華厳信種義聞集記_金沢文庫	6	6	行	行	行法	行法モ			1		平	平＊＊							0125b3	
30-057-01	華厳信種義聞集記_金沢文庫	7	7	蚊	蚊	蚊蝱	蚊虻ノ			1				〔朱〕モム	モムマウ＊					0131b4	
30-057-01	華厳信種義聞集記_金沢文庫	8	7	蝱	虻	蚊蝱	蚊虻ノ			2				〔朱〕マウ	モムマウ＊					0131b4	
30-057-01	華厳信種義聞集記_金沢文庫	9	8	螻	螻	螻蟻	螻蟻			1				〔朱〕ロウ	ロウキ					0131b4	
30-057-01	華厳信種義聞集記_金沢文庫	10	8	蟻	蟻	螻蟻	螻蟻			2				〔朱〕キ	ロウキ					0131b4	
30-057-01	華厳信種義聞集記_金沢文庫	11	9	論	論	俱舎論	倶舎論			3				〔朱〕ロム	＊＊ロム					0133b5	
30-057-01	華厳信種義聞集記_金沢文庫	12	10	影	影	影像	影像ヲ			1				〔朱〕ヤウ	ヤウ＊＊					0134a1	
30-057-01	華厳信種義聞集記_金沢文庫	13	11	涅	涅	涅槃	涅槃モ			1				〔朱〕ネ	ネハム＊					0134b7	
30-057-01	華厳信種義聞集記_金沢文庫	14	11	槃	槃	涅槃	涅槃モ			2				〔朱〕ハム	ネハム＊					0134b7	
30-057-01	華厳信種義聞集記_金沢文庫	15	12	終	終	終教	終教			1				〔朱〕シユ	シユ＊					0135a4	
30-057-01	華厳信種義聞集記_金沢文庫	16	13	德	徳	德用	徳用			1				〔朱〕トク	トク＊					0135a5	
30-057-01	華厳信種義聞集記_金沢文庫	17	14	談	談	談	談セリ			1				〔朱〕タム	タム＊＊					0135b2	
30-057-01	華厳信種義聞集記_金沢文庫	18	15	信	信	初信	初信ト			2				〔朱〕シム	＊シム＊					0135b4	
30-057-01	華厳信種義聞集記_金沢文庫	19	16	信	信	信智	信智ト			1				〔朱〕シム	シム＊＊					0136a6	
30-057-01	華厳信種義聞集記_金沢文庫	20	17	位	位	凡位	凡位ニシテ			2				〔朱〕イ	＊イ＊＊＊					0136b5	
30-057-01	華厳信種義聞集記_金沢文庫	21	18	戚	戚	歡戚	歓戚ヲ			2				シク	＊シク＊					0137b2	
30-057-01	華厳信種義聞集記_金沢文庫	22	19	誑	誑	誑惑	誑惑ニモ			1				〔朱〕ワウ	ワウワク					0139a6	
30-057-01	華厳信種義聞集記_金沢文庫	23	19	惑	惑	誑惑	誑惑ニモ			2				〔朱〕ワク	ワウワク					0139a6	
30-057-01	華厳信種義聞集記_金沢文庫	24	20	□	□	□生	□生ノ			1		去	去上＊							0140b2	
30-057-01	華厳信種義聞集記_金沢文庫	25	20	生	生	□生	□生ノ			2		上	去上＊							0140b2	
30-057-01	華厳信種義聞集記_金沢文庫	26	21	痴	痴	痴癩	痴癩ノ			1				〔朱〕チ	チ＊＊					0140b5	
30-057-01	華厳信種義聞集記_金沢文庫	27	22	諸	諸	諸趣	諸趣ニ			1				〔朱〕シヨ	シヨ＊＊					0141b6	
30-057-01	華厳信種義聞集記_金沢文庫	28	23	信	信	信	信			1				〔朱〕シム	シム					0142b7	
30-057-01	華厳信種義聞集記_金沢文庫	29	24	深	深	深法	深法ニ			1				〔朱〕セム	セム＊＊					0144a7	染と誤認か
30-057-01	華厳信種義聞集記_金沢文庫	30	25	融	融	融	融スル			1				〔朱〕ユウ	ユウ＊＊					0150b2	
30-057-01	華厳信種義聞集記_金沢文庫	31	26	雜	サウ	雜役	サウヤク			1		平濁上	平濁上平平							0151a1	
30-057-01	華厳信種義聞集記_金沢文庫	32	26	役	ヤク	雜役	サウヤク			2		平平	平濁上平平							0151a1	
30-057-01	華厳信種義聞集記_金沢文庫	33	27	檳	ヒ	檳榔	ヒリヤウ			1		平濁	平濁上＊＊							0151a1	
30-057-01	華厳信種義聞集記_金沢文庫	34	27	榔	リヤウ	檳榔	ヒリヤウ			2		上	平濁上＊＊							0151a1	
30-057-01	華厳信種義聞集記_金沢文庫	35	28	紺	紺	紺	紺ヲ			1				コン	コン＊					0151b3	
30-057-01	華厳信種義聞集記_金沢文庫	36	29	時	時	時	時			1		上濁	上濁							0152a5	
30-057-01	華厳信種義聞集記_金沢文庫	37	30	朝	朝	朝隆	朝隆			1				テウ	テウリウ					0152b3	
30-057-01	華厳信種義聞集記_金沢文庫	38	30	隆	隆	朝隆	朝隆			2				リウ	テウリウ					0152b3	
30-057-01	華厳信種義聞集記_金沢文庫	39	31	道	道	道風	道風			1				〔朱〕タウ	タウフウ					0152b3	
30-057-01	華厳信種義聞集記_金沢文庫	40	31	風	風	道風	道風			2				〔朱〕フウ	タウフウ					0152b3	
30-057-01	華厳信種義聞集記_金沢文庫	41	32	雅	雅	雅意	雅意ヲ			1				カ	カイ＊					0156a3	
30-057-01	華厳信種義聞集記_金沢文庫	42	32	意	意	雅意	雅意ヲ			2				〔朱〕イ	カイ＊					0156a3	
30-057-01	華厳信種義聞集記_金沢文庫	43	33	趺	趺	趺	趺ト			1				〔朱〕フ	フ＊					0159b3	
30-057-01	華厳信種義聞集記_金沢文庫	44	34	跗	跗	跗	跗			1				〔朱〕フ	フ					0159b5	
30-057-01	華厳信種義聞集記_金沢文庫	45	35	竝	並	竝	並シテ			1		上濁	上濁＊＊							0215b5	
30-057-01	華厳信種義聞集記_金沢文庫	46	36	胸	胸	胸臆	胸臆ニ			1				〔朱〕ク	クヲク＊					0223a3	
30-057-01	華厳信種義聞集記_金沢文庫	47	36	臆	臆	胸臆	胸臆ニ			2				〔朱〕ヲク	クヲク＊					0223a3	
30-057-01	華厳信種義聞集記_金沢文庫	48	37	理	理	理	理ヲ			1		上	上＊							0224b3	
30-057-01	華厳信種義聞集記_金沢文庫	49	38	理	理	理々	理々トシテ			1		平	平平＊＊＊							0226a6	
30-057-01	華厳信種義聞集記_金沢文庫	50	38	理	々	理々	理々トシテ			2		平	平平＊＊＊							0226a6	
30-057-01	華厳信種義聞集記_金沢文庫	51	39	烏	烏	烏杖那國	烏杖那國			1				〔朱〕ウ	ウチヤウナ＊					0235a2	
30-057-01	華厳信種義聞集記_金沢文庫	52	39	杖	杖	烏杖那國	烏杖那國			2				〔朱〕チヤウ	ウチヤウナ＊					0235a2	
30-057-01	華厳信種義聞集記_金沢文庫	53	39	那	那	烏杖那國	烏杖那國			3				〔朱〕ナ	ウチヤウナ＊					0235a2	
30-057-01	華厳信種義聞集記_金沢文庫	54	40	笙	笙	笙	〔朱〕笙			1				〔朱〕シヤウ	シヤウ					0308a1	右傍書入
30-057-01	華厳信種義聞集記_金沢文庫	55	41	縁	縁	縁	縁ノ			1		平	平＊							0319a2	
30-057-01	華厳信種義聞集記_金沢文庫	56	42	尋	尋	尋思觀	尋思観ト			1		去濁	去濁上＊＊							0320a5	
30-057-01	華厳信種義聞集記_金沢文庫	57	42	思	思	尋思觀	尋思観ト			2		上	去濁上＊＊							0320a5	
30-057-01	華厳信種義聞集記_金沢文庫	58	43	期	期	期	期ニ			1		平濁	平濁＊							0330b1	声点存疑
30-057-01	華厳信種義聞集記_金沢文庫	59	44	天	天	天台	天台ニハ			1		平	平＊＊＊							0331a5	声点存疑
30-057-01	華厳信種義聞集記_金沢文庫	60	45	衆	衆	衆生	衆生ト			1				シユ	シユ＊＊					0403b2	
30-057-01	華厳信種義聞集記_金沢文庫	61	46	興	興	興	興アリケナル			1				ケウ	ケウ＊＊＊＊＊					0403b4	アリケ、本文「カリケ」
30-057-01	華厳信種義聞集記_金沢文庫	62	47	提	提	提	提ヲ			1				タイ	タイ＊					0416b2	
30-057-01	華厳信種義聞集記_金沢文庫	63	48	化	化	化	化ナリ			1				ケ	ケ＊＊					0422b5	
30-057-01	華厳信種義聞集記_金沢文庫	64	49	化	ケ	化	ケナラムスル			1										0422b5	
30-057-01	華厳信種義聞集記_金沢文庫	65	50	聖	聖	聖覺	聖覚			1				セイ	セイ＊					0436b1	
30-057-01	華厳信種義聞集記_金沢文庫	66	51	芝	芝	芝宋	芝宋？			1				シ	シソウ					0447b6	第2字「宋」か
