資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	大正蔵所在巻	巻	元_出現位置
30-058-01	仮名書き法華経_妙一記念館	1	1	序	序	序品	序品			1				しよ	しよほん					1-0003-1		T0262_.09.0001c15	1	0003-1
30-058-01	仮名書き法華経_妙一記念館	2	1	品	品	序品	序品			2				ほん	しよほん					1-0003-1		T0262_.09.0001c15	1	0003-1
30-058-01	仮名書き法華経_妙一記念館	3	2	第	第	第一	第一			1				たい	たいいち					1-0003-1		T0262_.09.0001c15	1	0003-1
30-058-01	仮名書き法華経_妙一記念館	4	2	一	一	第一	第一			2				いち	たいいち					1-0003-1		T0262_.09.0001c15	1	0003-1
30-058-01	仮名書き法華経_妙一記念館	5	3	住	住	住	住し			1				ちう	ちう					1-0003-4		T0262_.09.0001c19	1	0003-4
30-058-01	仮名書き法華経_妙一記念館	6	4	王	王	王舎城	王舍城			1				わう	わうしやしやう					1-0003-3		T0262_.09.0001c19	1	0003-3
30-058-01	仮名書き法華経_妙一記念館	7	4	舎	舍	王舎城	王舍城			2				しや	わうしやしやう					1-0003-3		T0262_.09.0001c19	1	0003-3
30-058-01	仮名書き法華経_妙一記念館	8	4	城	城	王舎城	王舍城			3				しやう	わうしやしやう					1-0003-3		T0262_.09.0001c19	1	0003-3
30-058-01	仮名書き法華経_妙一記念館	9	5	耆	耆	耆闍崛山	耆闍崛山			1				き	きしやくつせむ					1-0003-3		T0262_.09.0001c19	1	0003-3
30-058-01	仮名書き法華経_妙一記念館	10	5	闍	闍	耆闍崛山	耆闍崛山			2				しや	きしやくつせむ					1-0003-3		T0262_.09.0001c19	1	0003-3
30-058-01	仮名書き法華経_妙一記念館	11	5	崛	崛	耆闍崛山	耆闍崛山			3				くつ	きしやくつせむ					1-0003-3		T0262_.09.0001c19	1	0003-3
30-058-01	仮名書き法華経_妙一記念館	12	5	山	山	耆闍崛山	耆闍崛山			4				せむ	きしやくつせむ					1-0003-3		T0262_.09.0001c19	1	0003-3
30-058-01	仮名書き法華経_妙一記念館	13	6	大	大	大比丘衆	大比丘衆			1				たい	たいひくしう					1-0003-4		T0262_.09.0001c20	1	0003-4
30-058-01	仮名書き法華経_妙一記念館	14	6	比	比	大比丘衆	大比丘衆			2				ひ	たいひくしう					1-0003-4		T0262_.09.0001c20	1	0003-4
