資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	国立国会図書館デジタルコレクション複製本リンク
40-045-01	東洋文庫本法華経音訓	1	1	妙	妙	妙	妙			1	1	平	平	メウ	メウ				"序品,(妙,_)"	01a3_1		https://dl.ndl.go.jp/pid/3438692/1/2
40-045-01	東洋文庫本法華経音訓	2	2	妙	_	妙	_			1	1	(平)	(平)	(メウ)	(メウ)				"序品,同(妙,_)"	01a3_2		https://dl.ndl.go.jp/pid/3438692/1/2
40-045-01	東洋文庫本法華経音訓	3	3	法	法	法	法			1	1	入	入	ホフ	ホフ				序品	01a3_3		https://dl.ndl.go.jp/pid/3438692/1/2
40-045-01	東洋文庫本法華経音訓	4	4	蓮	蓮	蓮	蓮			1	1	上／去	上／去	レン	レン				序品	01a3_4	複製本では上声点不鮮明だが、原本では確認できる。	https://dl.ndl.go.jp/pid/3438692/1/2
40-045-01	東洋文庫本法華経音訓	5	5	華	華	華	華			1	1	上／去	上／去	クエ	クエ				"序品,(華,_,花)"	01b1_1		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	6	6	華	_	華	_			1	1	(上／去)	(上／去)	(クエ)	(クエ)				"序品,同(華,_,花)"	01b1_2		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	7	7	花	花	花	花			1	1	(上／去)	(上／去)	(クエ)	(クエ)				"序品,同(華,_,花)"	01b1_3		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	8	8	經	經	經	經			1	1	上／去	上／去	キヤウ	キヤウ				序品	01b1_4		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	9	9	序	序	序	序			1	1	平濁	平濁	シヨ	シヨ				序品	01b2_1		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	10	10	品	品	品	品			1	1	平	平	ホン	ホン				序品	01b2_2		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	11	11	第	第	第	第			1	1	平濁／去濁	平濁／去濁	タイ	タイ				序品	01b2_3		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	12	12	一	一	一	一			1	1	入	入	イチ	イチ				序品	01b2_4		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	13	13	如	如	如	如			1	1	上／去	上／去	ニヨ	ニヨ				序品	01b3_1		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	14	14	是	是	是	是			1	1	平濁	平濁	セ	セ				序品	01b3_2		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	15	15	我	我	我	我			1	1	平濁	平濁	カ	カ				序品	01b3_3		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	16	16	聞	聞	聞	聞			1	1	上／去	上／去	モン	モン				序品	01b3_4		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	17	17	時	時	時	時			1	1	上濁／去濁	上濁／去濁	シ	シ				序品	01b4_1		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	18	18	佛	佛	佛	佛			1	1	入濁	入濁	フツ	フツ				序品	01b4_2		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	19	19	住	住	住	住			1	1	平濁	平濁	チウ	チウ				序品	01b4_3		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	20	20	王	王	王	王			1	1	平／上／去	平／上／去	ワウ	ワウ				序品	01b4_4		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	21	21	舍	舍	舍	舍			1	1	平／上	平／上	シヤ	シヤ				序品	01b5_1		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	22	22	城	城	城	城			1	1	去濁	去濁	シヤウ	シヤウ				序品	01b5_2		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	23	23	耆	耆	耆	耆			1	1	上濁／去濁	上濁／去濁	キ	キ				序品	01b5_3	八十日―	https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	24	24	闍	闍	闍	闍			1	1	上	上	シヤ	シヤ				序品	01b5_4		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	25	25	崛	崛	崛	崛			1	1	入	入	クツ	クツ				序品	01b6_1		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	26	26	山	山	山	山			1	1	上／去	上／去	セン	セン				序品	01b6_2		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	27	27	中	中	中	中			1	1	上／去	上／去	チウ	チウ				序品	01b6_3		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	28	28	與	與	與	與			1	1	平	平	ヨ	ヨ				序品	01b6_4		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	29	29	大	大	大	大			1	1	平濁	平濁	タイ	タイ				序品	02a1_1		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	30	30	比	比	比	比			1	1	平濁	平濁	ヒ	ヒ				序品	02a1_2		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	31	31	丘	丘	丘	丘			1	1	上	上	ク	ク				序品	02a1_3		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	32	32	衆	衆	衆	衆			1	1	平／上／去	平／上／去	シユ／シユウ	シユ／シユウ				序品	02a1_4		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	33	33	萬	万	萬	万			1	1	平	平	マン	マン				"序品,(万,萬)"	02a2_1		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	34	34	萬	萬	萬	萬			1	1	(平)	(平)	(マン)	(マン)				"序品,同(万,萬)"	02a2_2		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	35	35	二	二	二	二			1	1	平／上／去	平／上／去	ニ	ニ				序品	02a2_3		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	36	36	千	千	千	千			1	1	上／去	上／去	セン	セン				序品	02a2_4		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	37	37	人	人	人	人			1	1	上／去	上／去	ニン	ニン				序品	02a3_1		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	38	38	倶	倶	倶	倶			1	1	上／去	上／去	ク	ク				序品	02a3_2		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	39	39	皆	皆	皆	皆			1	1	上／去	上／去	カイ	カイ				序品	02a3_3		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	40	40	阿	阿	阿	阿			1	1	平／上／去	平／上／去	ア	ア				序品	02a3_4		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	41	41	羅	羅	羅	羅			1	1	上／去	上／去	ラ	ラ				序品	02a4_1		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	42	42	漢	漢	漢	漢			1	1	平	平	カン	カン				序品	02a4_2		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	43	43	諸	諸	諸	諸			1	1	上／去	上／去	シヨ	シヨ				序品	02a4_3		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	44	44	漏	漏	漏	漏			1	1	平	平	ロ	ロ				序品	02a4_4		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	45	45	巳	巳	巳	已			1	1	平	平	イ／シ	イ／シ				序品	02a5_1	掲出字「巳」（漢字音シ）と「已」（漢字音ミ）を混同したか。和訓も「スデニ/ミ/ヤム」とあり、このうち「ミ」は「巳」の和訓、「スデニ」「ヤム」は「已」の和訓とみられる。	https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	46	46	盡	盡	盡	盡			1	1	平濁	平濁	シン	シン				序品	02a5_2		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	47	47	無	無	無	無			1	1	上／去	上／去	ム	ム				"序品,(無,无)"	02a5_3		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	48	48	無	无	無	无			1	1	(上／去)	(上／去)	(ム)	(ム)				"序品,同(無,无)"	02a5_4		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	49	49	復	復	復	復			1	1	平濁／入	平濁／入	フ	フ				序品	02a5_1	字左側にも仮名注があったと見えるが損壊により読めず。	https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	50	50	煩	煩	煩	煩			1	1	去濁	去濁	ホン	ホン				序品	02a5_2		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	51	51	惱	__	惱	__			1	1	平	平	ナウ	ナウ				"序品,(__,__)"	02a5_3		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	52	52	惱	__	惱	__			1	1	(平)	(平)	(ナウ)	(ナウ)				"序品,同(__,__)"	02a5_4		https://dl.ndl.go.jp/pid/3438692/1/3
40-045-01	東洋文庫本法華経音訓	53	53	逮	逮	逮	逮			1	1	平	平	タイ	タイ				序品	02b1_1		https://dl.ndl.go.jp/pid/3438692/1/4
