資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
40-060-01	古文孝経_延文本	1	1	高	髙	高行	髙行			1	2u	平	平去							007_002	
40-060-01	古文孝経_延文本	2	1	行	行	高行	髙行			2	2ŋ	去	平去							007_002	
40-060-01	古文孝経_延文本	3	2	經	經	經	經は			1	2ŋ	平軽	平軽							007_003	
40-060-01	古文孝経_延文本	4	3	常	常	常	常			1	2ŋ	平	平							007_003	
40-060-01	古文孝経_延文本	5	4	滂	滂	滂流	滂流して			1	2ŋ	平	平平							007_005	
40-060-01	古文孝経_延文本	6	4	流	流	滂流	滂流して			2	2u	平	平平							007_005	
40-060-01	古文孝経_延文本	7	5	義	誼	禮義	礼誼			2	1	去濁	＊去濁							007_008	
40-060-01	古文孝経_延文本	8	6	弑	弑	弑	弑し			1	1	去	去							007_008	
40-060-01	古文孝経_延文本	9	7	間	間	間居	間居にし			1	2n	平軽	平軽平軽							007_010	
40-060-01	古文孝経_延文本	10	7	居	居	間居	間居にし			2	1	平軽	平軽平軽							007_010	
40-060-01	古文孝経_延文本	11	8	魯	魯	魯	魯ノ			1	1			〔右〕ロ	ロ					007_012	
40-060-01	古文孝経_延文本	12	9	洙	洙	洙泗	洙泗に			1	2u/1	平	平去							007_012	
40-060-01	古文孝経_延文本	13	9	泗	泗	洙泗	洙泗に			2	1	去	平去							007_012	
40-060-01	古文孝経_延文本	14	10	貫	貫	貫首	貫首の			1	2n	去	去上							007_013	
40-060-01	古文孝経_延文本	15	10	首	首	貫首	貫首の			2	1(2u)	上	去上							007_013	
40-060-01	古文孝経_延文本	16	11	弟	弟	弟子	弟子			1	2i	去	去＊							007_014	
40-060-01	古文孝経_延文本	17	12	顔	顔	顔回	顔回			1	2n	平濁	平濁平							007_014	
40-060-01	古文孝経_延文本	18	12	回	回	顔回	顔回			2	2i	平	平濁平							007_014	
40-060-01	古文孝経_延文本	19	13	閔	閔	閔子騫	閔子騫			1	2n	上濁	上濁＊平軽							007_014	
40-060-01	古文孝経_延文本	20	13	騫	騫	閔子騫	閔子騫			3	2n	平軽	上濁＊平軽							007_014	
40-060-01	古文孝経_延文本	21	14	冉	𮉼	冉伯牛	𮉼伯牛			1	2m	上濁	上濁入平軽濁							007_014	
40-060-01	古文孝経_延文本	22	14	伯	伯	冉伯牛	𮉼伯牛			2	2k	入	上濁入平軽濁							007_014	
40-060-01	古文孝経_延文本	23	14	牛	牛	冉伯牛	𮉼伯牛			3	2u	平軽濁	上濁入平軽濁							007_014	
40-060-01	古文孝経_延文本	24	15	仲	仲	仲弓	仲弓			1	2ŋ	去	去平							007_014	
40-060-01	古文孝経_延文本	25	15	弓	弓	仲弓	仲弓			2	2ŋ	平	去平							007_015	
40-060-01	古文孝経_延文本	26	16	性	性	性	性			1	2ŋ	去	去							007_015	
40-060-01	古文孝経_延文本	27	17	至	至	至孝	至孝			1	1	去	去＊							007_015	
40-060-01	古文孝経_延文本	28	18	自	自	自然	自然ナレば			1	1	去	去平軽濁							007_015	
40-060-01	古文孝経_延文本	29	18	然	然	自然	自然ナレば			2	2n	平軽濁	去平軽濁							007_015	
40-060-01	古文孝経_延文本	30	19	餘	餘	餘	餘は			1	1	平	平							007_016	
40-060-01	古文孝経_延文本	31	20	悱	悱	悱々	悱々			1	1	上	上＊	〔右〕ヒ	ヒ＊					007_016	
40-060-01	古文孝経_延文本	32	21	憤	憤	憤々	憤々			1	2n	去	去＊	〔右〕フン	フン＊					007_016	
40-060-01	古文孝経_延文本	33	22	存	存	存	存せるが			1	2n	平	平							008_017	
40-060-01	古文孝経_延文本	34	23	亡	亡	亡	亡せるが			1	2ŋ	平濁	平濁							008_017	
40-060-01	古文孝経_延文本	35	24	曾	曽	曾參	曾參			1	2ŋ	平	平平軽		＊シン					008_017	
40-060-01	古文孝経_延文本	36	24	參	參	曾參	曾參			2	2m	平軽	平平軽	〔右〕シン	＊シン					008_017	
40-060-01	古文孝経_延文本	37	25	匹	匹	匹夫	匹夫			1	t	入	入平							008_017	
40-060-01	古文孝経_延文本	38	25	夫	夫	匹夫	匹夫			2	1	平	入平							008_019	
40-060-01	古文孝経_延文本	39	26	親	親	親	親を			1	2n	平	平							008_019	
40-060-01	古文孝経_延文本	40	27	侍	侍	侍坐	侍坐に			1	1	去	去上							008_019	
40-060-01	古文孝経_延文本	41	27	坐	坐	侍坐	侍坐に			2	1	上	去上							008_019	
40-060-01	古文孝経_延文本	42	28	諮	諮	諮問	諮問す			1	1	平軽	平軽去濁	〔右〕シ	シフン					008_020	
40-060-01	古文孝経_延文本	43	28	問	問	諮問	諮問す			2	2n	去濁	平軽去濁	〔右〕フン	シフン					008_020	
40-060-01	古文孝経_延文本	44	29	喟	喟	喟然	喟然として			1	1	去	去＊	〔右〕クヰ	クヰ＊					008_021	
40-060-01	古文孝経_延文本	45	30	大	大	大	大			1	2i	去	去							008_021	
40-060-01	古文孝経_延文本	46	31	逮	逮	逮	逮ヲヨン			1	2i	去濁	去濁							008_023	
40-060-01	古文孝経_延文本	47	32	校	校	學校	𫝯校			2	2u	去	＊去	〔右〕カウ	＊カウ					008_023	
40-060-01	古文孝経_延文本	48	33	始	始	始皇	始皇が			1	1	上	上＊							008_024	
40-060-01	古文孝経_延文本	49	34	建	建	建元	建元			1	2n	去	去平濁	〔左〕ケン	ケン＊					008_025	
40-060-01	古文孝経_延文本	50	34	元	元	建元	建元			2	2n	平濁	去平濁		ケン＊					008_026	
40-060-01	古文孝経_延文本	51	35	間	間	河間王	河間王			2	2n	平	＊平＊							008_026	
40-060-01	古文孝経_延文本	52	36	字	字	文字	文字			2	1	去	＊去							008_027	
40-060-01	古文孝経_延文本	53	37	恭	恭	恭王	恭王			1	2ŋ	平	平＊							008_028	
40-060-01	古文孝経_延文本	54	38	講	講	講堂	講堂を			1	2ŋ	上	上平							008_029	
40-060-01	古文孝経_延文本	55	38	堂	堂	講堂	講堂を			2	2ŋ	平	上平							008_029	
40-060-01	古文孝経_延文本	56	39	牒	牒	竹牒	竹牒に			2	2p			〔右〕テフ	＊テフ					008_030	
40-060-01	古文孝経_延文本	57	40	字	字	字	字			1	1	去	去							008_031	
40-060-01	古文孝経_延文本	58	41	科	科	科斗	科斗の			1	1	平	平上							008_031	
40-060-01	古文孝経_延文本	59	41	斗	斗	科斗	科斗の			2	2u	上	平上							008_031	
40-060-01	古文孝経_延文本	60	42	惠	惠	孔子惠	孔子惠			3	2i	去	＊＊去							009_032	
40-060-01	古文孝経_延文本	61	43	京	京	京師	京師に			1	2ŋ	平	平平							009_032	
40-060-01	古文孝経_延文本	62	43	師	師	京師	京師に			2	1	平	平平							009_032	
40-060-01	古文孝経_延文本	63	44	詔	詔	侍詔	侍詔			2	2u			〔右〕シヨウ	＊シヨウ					009_033	
40-060-01	古文孝経_延文本	64	45	隷	𨽻	隷字	𨽻字に			1	2i	去	去＊	〔右〕レイ	レイ＊					009_034	
40-060-01	古文孝経_延文本	65	46	通	通	一通	一通を			2	2ŋ	平	平							009_035	
40-060-01	古文孝経_延文本	66	47	幸	幸	幸	幸せ			1	2ŋ	去	去							009_035	
40-060-01	古文孝経_延文本	67	48	侍	侍	侍中	侍中			1	1	去	去＊							009_035	
40-060-01	古文孝経_延文本	68	49	霍	霍	霍光	霍光に			1	2k	入軽	入軽平							009_036	
40-060-01	古文孝経_延文本	69	49	光	光	霍光	霍光に			2	2ŋ	平	入軽平							009_036	
40-060-01	古文孝経_延文本	70	50	口	口	口實	口實と			1	2u	上	上＊	〔右〕コウ	コウ＊					009_036	
40-060-01	古文孝経_延文本	71	51	祕	秘	神祕	神秘して			2	1	去	＊去	〔右〕ヒ?	＊ヒ					009_037	
40-060-01	古文孝経_延文本	72	52	禁	禁	禁方	禁方に			1	2m	去	去＊	〔右〕キン	キン＊					009_037	
40-060-01	古文孝経_延文本	73	53	使	使	使者	使者の			1	1	♯	♯	〔右〕シ	シ＊					009_039	
40-060-01	古文孝経_延文本	74	54	錢	錢	錢帛	錢帛を			1	2n	平	平＊	〔右〕セン	セン＊					009_040	
40-060-01	古文孝経_延文本	75	55	問	問	問遺	問遺す			1	2n	去濁	去濁去							009_040	
40-060-01	古文孝経_延文本	76	55	遺	遺	問遺	問遺す			2	1	去	去濁去							009_041	
40-060-01	古文孝経_延文本	77	56	吏	吏	吏	吏の			1	1	去	去							009_041	
40-060-01	古文孝経_延文本	78	57	行	行	行路	行路ノ			1	2ŋ	平	平去							009_042	
40-060-01	古文孝経_延文本	79	57	路	路	行路	行路ノ			2	1	去	平去	〔左〕ロ						009_042	
40-060-01	古文孝経_延文本	80	58	數	𢿙	數家	𢿙家			1	2u/1	去	去＊							009_044	
40-060-01	古文孝経_延文本	81	59	義	誼	義	誼と			1	1	去濁	去濁							009_045	
40-060-01	古文孝経_延文本	82	60	訓	訓	訓傳	訓傳			1	2n	去	去去							010_049	
40-060-01	古文孝経_延文本	83	60	傳	傳	訓傳	訓傳			2	2n	去	去去							010_049	
40-060-01	古文孝経_延文本	84	61	餘	餘	餘言	餘言			1	1			〔右〕ヨ	ヨ＊					010_050	
40-060-01	古文孝経_延文本	85	62	朱	朱	朱	朱			1	2u/1	平軽	平軽	〔右〕シ□	シ□					010_050	
40-060-01	古文孝経_延文本	86	63	墨	墨	墨	墨			1	2k			〔右〕ホ	ホ					010_050	
40-060-01	古文孝経_延文本	87	64	傳	傳	傳	傳を			1	2n	去	去							010_051	
40-060-01	古文孝経_延文本	88	65	正	正	正義	正誼			1	2ŋ	去	去平濁／去去濁	〔右〕セイ	セイ＊					010_051	
40-060-01	古文孝経_延文本	89	65	義	誼	正義	正誼			2	1	平濁・去濁	去平濁／去去濁		セイ＊					010_051	
40-060-01	古文孝経_延文本	90	66	中	中	中祕書	中秘書は			1	2ŋ	平	平去平							010_052	
40-060-01	古文孝経_延文本	91	66	祕	秘	中祕書	中秘書は			2	1	去	平去平							010_052	
40-060-01	古文孝経_延文本	92	66	書	書	中祕書	中秘書は			3	1	平	平去平							010_052	
40-060-01	古文孝経_延文本	93	67	稱	稱	稱	稱する			1	2ŋ	平	平							010_055	
40-060-01	古文孝経_延文本	94	68	傳	傳	傳曰	傳曰と			1	2n	去	去＊		＊ヤツ					010_056	
40-060-01	古文孝経_延文本	95	68	曰	曰	傳曰	傳曰と			2	t		去＊	〔右〕ヤツ	＊ヤツ					010_056	
40-060-01	古文孝経_延文本	96	69	論	論	論	論セシ			1	2n	去	去							010_057	
40-060-01	古文孝経_延文本	97	70	義	誼	義	誼を			1	1	去濁	去濁							010_058	
40-060-01	古文孝経_延文本	98	71	叔	叔	叔孫氏	叔孫氏			1	2k	入	入平＊							010_058	
40-060-01	古文孝経_延文本	99	71	孫	孫	叔孫氏	叔孫氏			2	2n	平	入平＊							010_058	
40-060-01	古文孝経_延文本	100	72	風	風	風	風を			1	2ŋ	平軽	平軽							010_060	
40-060-01	古文孝経_延文本	101	73	樂	樂	樂	樂より			1	2k	入濁	入濁							010_060	
40-060-01	古文孝経_延文本	102	74	盛	盛	盛衰	盛𮕱を			1	2ŋ	去	去平	〔右〕セイ	セイスイ					010_061	
40-060-01	古文孝経_延文本	103	74	衰	𮕱	盛衰	盛𮕱を			2	2i	平	去平	〔右〕スイ	セイスイ					010_061	
40-060-01	古文孝経_延文本	104	75	貞	貞	貞盛	貞盛			1	2ŋ	平軽	平軽去	〔右〕テイ	テイ＊					010_061	
40-060-01	古文孝経_延文本	105	75	盛	盛	貞盛	貞盛			2	2ŋ	去	平軽去		テイ＊					010_061	
40-060-01	古文孝経_延文本	106	76	淫	淫	淫	淫するときは			1	2m	平	平	〔右〕□ム	□ム					010_062	
40-060-01	古文孝経_延文本	107	77	貞	貞	貞固	貞固			1	2ŋ	平	平去							010_062	
40-060-01	古文孝経_延文本	108	77	固	固	貞固	貞固			2	1	去	平去							010_062	
40-060-01	古文孝経_延文本	109	78	師	師	師曠	師曠が			1	1	平	平去							010_065	
40-060-01	古文孝経_延文本	110	78	曠	曠	師曠	師曠が			2	2ŋ	去	平去							011_066	
40-060-01	古文孝経_延文本	111	79	死	死	死	死の／死ノ			1	1	上	上	〔右〕シ	シ					011_066	
40-060-01	古文孝経_延文本	112	80	楚	楚	楚	楚は／楚ハ			1	1	上	上	〔右〕ソ	ソ					011_066	
40-060-01	古文孝経_延文本	113	81	庶	庶	庶民	庶民			1	1	去	去＊							011_067	
40-060-01	古文孝経_延文本	114	82	當	當	當時	當時の			1	2ŋ	平	平＊							011_069	
40-060-01	古文孝経_延文本	115	83	衆	衆	衆人	衆人			1	2ŋ	去	去＊							011_069	
40-060-01	古文孝経_延文本	116	84	難	難	難	難すること			1	2n	去	去							011_070	
40-060-01	古文孝経_延文本	117	85	城	城	武城	武城の			2	2ŋ	平	＊平							011_072	
40-060-01	古文孝経_延文本	118	86	宰	宰	宰	宰とて			1	2i	上	上							011_072	
40-060-01	古文孝経_延文本	119	87	邑	邑	下邑	下邑ナレと			2	2p	♯		〔右〕ユウ	＊ユウ					011_073	
40-060-01	古文孝経_延文本	120	88	傳	傳	傳	傳に			1	2n	去	去							011_073	
40-060-01	古文孝経_延文本	121	89	風	風	風	風を			1	2ŋ	平軽	平軽							011_074	
40-060-01	古文孝経_延文本	122	90	廣	廣	廣遠	廣逺に／廣逺ニ			1	2ŋ	上	上上		＊エン					011_075	
40-060-01	古文孝経_延文本	123	90	遠	逺	廣遠	廣逺に／廣逺ニ			2	2n	上	上上	〔右〕エン	＊エン					011_075	
40-060-01	古文孝経_延文本	124	91	風	風	風	風して			1	2ŋ	去	去							011_075	
40-060-01	古文孝経_延文本	125	92	詠	詠	詠	詠す／詠ス			1	2ŋ			〔右〕エイ	エイ					011_076	
40-060-01	古文孝経_延文本	126	93	節	節	節	節す／節ス			1	t			〔右〕セ□	セ□					011_076	
