資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
50-007-04	国会図書館本本朝文粋巻六	1	1	執	執	執政	執政			1				シツ	シツセイ					001_001_a_03	別筆
50-007-04	国会図書館本本朝文粋巻六	2	1	政	政	執政	執政			2				セイ	シツセイ					001_001_a_03	別筆
50-007-04	国会図書館本本朝文粋巻六	3	2	江	江	江	江			1				カウ	カウ					001_003_a_07	別筆
50-007-04	国会図書館本本朝文粋巻六	4	3	鴻	鴻	鴻慈	鴻慈			1		平	平平							001_003_b_03	
50-007-04	国会図書館本本朝文粋巻六	5	3	慈	慈	鴻慈	鴻慈			2		平	平平							001_003_b_03	
50-007-04	国会図書館本本朝文粋巻六	6	4	省	省	省丞	省丞			1				シヤウ	シヤウ＊					001_003_b_04	別筆
50-007-04	国会図書館本本朝文粋巻六	7	5	賢	賢	賢愚	賢愚			1		平	平上濁							001_003_b_05	
50-007-04	国会図書館本本朝文粋巻六	8	5	愚	愚	賢愚	賢愚			2		上濁	平上濁							001_003_b_05	
50-007-04	国会図書館本本朝文粋巻六	9	6	虎	虎	虎門	虎門			1		上	上平							001_003_b_05	
50-007-04	国会図書館本本朝文粋巻六	10	6	門	門	虎門	虎門			2		平	上平							001_003_b_05	
50-007-04	国会図書館本本朝文粋巻六	11	7	方	方	方寸	方寸			1		平	平＊							001_003_b_06	
50-007-04	国会図書館本本朝文粋巻六	12	8	性	性	天性	天性			2		平濁	＊平濁							001_003_b_06	
50-007-04	国会図書館本本朝文粋巻六	13	9	吏	吏	吏幹	吏幹			1				リ	リカン					001_003_b_07	
50-007-04	国会図書館本本朝文粋巻六	14	9	幹	幹	吏幹	吏幹			2				カン	リカン					001_003_b_07	
50-007-04	国会図書館本本朝文粋巻六	15	10	慈	慈	慈母	慈母			1		上濁	上濁上濁							001_003_b_07	
50-007-04	国会図書館本本朝文粋巻六	16	10	母	母	慈母	慈母			2		上濁	上濁上濁							001_004_a_01	
50-007-04	国会図書館本本朝文粋巻六	17	11	期	期	期	期ス			1				キ	キ					001_004_a_01	
50-007-04	国会図書館本本朝文粋巻六	18	12	湯	湯	湯藥	湯薬			1		去	去＊							001_004_a_01	
50-007-04	国会図書館本本朝文粋巻六	19	13	官	官	官	官			1		平	平							001_004_a_03	
50-007-04	国会図書館本本朝文粋巻六	20	14	鴻	鴻	鴻恩	鴻恩			1		平軽	平軽平軽							001_004_a_04	
50-007-04	国会図書館本本朝文粋巻六	21	14	恩	恩	鴻恩	鴻恩			2		平軽	平軽平軽							001_004_a_04	
50-007-04	国会図書館本本朝文粋巻六	22	15	禄	禄	禄養	禄養			1		入軽	入軽＊							001_004_a_04	
50-007-04	国会図書館本本朝文粋巻六	23	16	綱	綱	朝綱	朝綱			2		去濁	＊去濁							001_004_a_05	
50-007-04	国会図書館本本朝文粋巻六	24	17	直	直	直幹	直幹			1				チョツ	チョツカン					001_004_b_02	
50-007-04	国会図書館本本朝文粋巻六	25	17	幹	幹	直幹	直幹			2				カン	チョツカン					001_004_b_02	
50-007-04	国会図書館本本朝文粋巻六	26	18	榮	栄	榮枯	栄枯			1		平	平上							001_004_b_07	
50-007-04	国会図書館本本朝文粋巻六	27	18	枯	枯	榮枯	栄枯			2		上	平上							001_004_b_07	
50-007-04	国会図書館本本朝文粋巻六	28	19	分	分	分	分			1		去	去							001_004_b_07	
50-007-04	国会図書館本本朝文粋巻六	29	20	職	職	職	職			1		入軽	入軽							001_005_a_02	
50-007-04	国会図書館本本朝文粋巻六	30	21	朝	朝	當朝	当朝			2		平	＊平							001_005_a_03	
50-007-04	国会図書館本本朝文粋巻六	31	22	維	維	維時	維時			1				イ	イ＊					001_005_a_04	
50-007-04	国会図書館本本朝文粋巻六	32	23	在	在	在昌	在昌			1				サイ	サイシヤウ					001_005_a_05	
50-007-04	国会図書館本本朝文粋巻六	33	23	昌	昌	在昌	在昌			2				シヤウ	サイシヤウ					001_005_a_05	
50-007-04	国会図書館本本朝文粋巻六	34	24	躬	躬	在躬	在躬			2				〔左〕キウ	＊キウ					001_005_a_07	〔右〕ミ
50-007-04	国会図書館本本朝文粋巻六	35	25	儒	儒	儒官	儒官			1		平濁	平濁＊	シユ	シユ＊					001_005_b_01	
50-007-04	国会図書館本本朝文粋巻六	36	26	文	文	文明	文明			1		上	上平							001_005_b_01	
50-007-04	国会図書館本本朝文粋巻六	37	26	明	明	文明	文明			2		平	上平							001_005_b_01	
50-007-04	国会図書館本本朝文粋巻六	38	27	榮	栄	榮爵	栄爵			1				ヱイ	ヱイ＊					001_005_b_03	
50-007-04	国会図書館本本朝文粋巻六	39	28	秀	秀	秀才	秀才			1		去	去平							001_005_b_04	
