資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
50-029-01	浄土三部経音義_龍谷大学図書館	1	1	栴	栴	栴	栴			1		去	去	セン	セン					2オ5	
50-029-01	浄土三部経音義_龍谷大学図書館	2	2	檀	檀	檀	檀			1		去濁	去濁	タン	タン					2オ5	
50-029-01	浄土三部経音義_龍谷大学図書館	3	3	植	植	植	植			1				シキ	シキ					2オ5	
50-029-01	浄土三部経音義_龍谷大学図書館	4	4	樹	樹	樹	樹			1		平濁	平濁							2オ5	
50-029-01	浄土三部経音義_龍谷大学図書館	5	5	_	_	_	_			1		平	平	アン	アン					2オ5	
50-029-01	浄土三部経音義_龍谷大学図書館	6	6	枝	枝	枝	枝			1				シ	シ					2オ6	
50-029-01	浄土三部経音義_龍谷大学図書館	7	7	桂	桂	桂	桂			1				ケイ	ケイ					2オ6	
50-029-01	浄土三部経音義_龍谷大学図書館	8	8	欄	欄	欄	欄			1				ラン	ラン					2オ6	
50-029-01	浄土三部経音義_龍谷大学図書館	9	9	楯	楯	楯	楯			1				シユン	シユン					2オ6	
50-029-01	浄土三部経音義_龍谷大学図書館	10	10	桓	桓	桓	桓			1				クワン	クワン					2オ6	
50-029-01	浄土三部経音義_龍谷大学図書館	11	11	樓	楼	樓	楼			1				ル／ロウ	ル／ロウ					2ウ1	
50-029-01	浄土三部経音義_龍谷大学図書館	12	12	根	根	根	根			1				コン	コン					2ウ1	
50-029-01	浄土三部経音義_龍谷大学図書館	13	13	桃	桃	桃	桃			1				タウ	タウ					2ウ1	
50-029-01	浄土三部経音義_龍谷大学図書館	14	14	柱	柱	柱	柱			1				チウ	チウ					2ウ1	
50-029-01	浄土三部経音義_龍谷大学図書館	15	15	枉	枉	枉	枉			1		平	平	ワウ	ワウ					2ウ1	
50-029-01	浄土三部経音義_龍谷大学図書館	16	16	杜	杜	杜	杜			1				ト	ト					2ウ2	
50-029-01	浄土三部経音義_龍谷大学図書館	17	17	_	_	_	_			1				ハイ	ハイ					2ウ2	
50-029-01	浄土三部経音義_龍谷大学図書館	18	18	析	析	析	析			1				シヤク	シヤク					2ウ2	
50-029-01	浄土三部経音義_龍谷大学図書館	19	19	横	横	横	横			1				ワウ	ワウ					2ウ2	
50-029-01	浄土三部経音義_龍谷大学図書館	20	20	相	相	相	相			1				サウ	サウ					2ウ2	
50-029-01	浄土三部経音義_龍谷大学図書館	21	21	標	標	標	標			1										2ウ3	
50-029-01	浄土三部経音義_龍谷大学図書館	22	22	楞	楞	楞	楞			1				レウ	レウ					2ウ3	
50-029-01	浄土三部経音義_龍谷大学図書館	23	23	火	火	火	火			1				クワ	クワ					2ウ4	
50-029-01	浄土三部経音義_龍谷大学図書館	24	24	焔	焔	焔	焔			1				ヱン	ヱン					2ウ4	
50-029-01	浄土三部経音義_龍谷大学図書館	25	25	爍	爍	爍	爍			1				シヤク	シヤク					2ウ4	
50-029-01	浄土三部経音義_龍谷大学図書館	26	26	勳	勲	勳	勲			1				クン	クン					2ウ4	
50-029-01	浄土三部経音義_龍谷大学図書館	27	27	灸	灸	灸	灸			1										2ウ4	
50-029-01	浄土三部経音義_龍谷大学図書館	28	28	_	_	_	_			1				イ	イ					2ウ5	
50-029-01	浄土三部経音義_龍谷大学図書館	29	29	煥	煥	煥	煥			1				クワン	クワン					2ウ5	
50-029-01	浄土三部経音義_龍谷大学図書館	30	30	〓	〓（火＋薬）	〓	〓（火＋薬）			1		平	平	アマワ	アマワ					2ウ5	ママ
50-029-01	浄土三部経音義_龍谷大学図書館	31	31	_	_	_	_			1				ラン	ラン					2ウ5	
50-029-01	浄土三部経音義_龍谷大学図書館	32	32	_	_	_	_			1				コン	コン					2ウ5	焜か
