資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
50-035-01	論語_京大清家文庫蔵_宣賢点	1	1	先	先	先進	先進			1				〔墨〕セン	〔墨〕センシン					1オ1	
50-035-01	論語_京大清家文庫蔵_宣賢点	2	1	進	進	先進	先進			2				〔墨〕シン	〔墨〕センシン					1オ1	
50-035-01	論語_京大清家文庫蔵_宣賢点	3	2	第	第	第十一	第十一			1				〔墨〕テイ	〔墨〕テイシウイツ					1オ1	
50-035-01	論語_京大清家文庫蔵_宣賢点	4	2	十	十	第十一	第十一			2				〔墨〕シウ	〔墨〕テイシウイツ				「清」注記	1オ1	
50-035-01	論語_京大清家文庫蔵_宣賢点	5	2	一	一	第十一	第十一			3				〔墨〕イツ	〔墨〕テイシウイツ					1オ1	
50-035-01	論語_京大清家文庫蔵_宣賢点	6	3	禮	禮	禮樂	禮樂			1				〔墨〕レイ	〔墨〕レイガク					1オ2	
50-035-01	論語_京大清家文庫蔵_宣賢点	7	3	樂	樂	禮樂	禮樂			2				〔墨〕ガク	〔墨〕レイガク					1オ2	
50-035-01	論語_京大清家文庫蔵_宣賢点	8	4	野	野	野人	野人			1				〔墨〕ヤ	〔墨〕ヤジン					1オ2	
50-035-01	論語_京大清家文庫蔵_宣賢点	9	4	人	人	野人	野人			2				〔墨〕ジン	〔墨〕ヤジン					1オ2	
50-035-01	論語_京大清家文庫蔵_宣賢点	10	5	禮	禮	禮樂	禮樂			1				〔墨〕レイ	〔墨〕レイガク					1オ2	
50-035-01	論語_京大清家文庫蔵_宣賢点	11	5	樂	樂	禮樂	禮樂			2				〔墨〕ガク	〔墨〕レイガク					1オ2	
50-035-01	論語_京大清家文庫蔵_宣賢点	12	6	君	君	君子	君子			1				〔墨〕クン	〔墨〕クンシ					1オ3	
50-035-01	論語_京大清家文庫蔵_宣賢点	13	6	子	子	君子	君子			2				〔墨〕シ	〔墨〕クンシ					1オ3	
50-035-01	論語_京大清家文庫蔵_宣賢点	14	7	先	先	先進	先進			1				〔墨〕セン	〔墨〕センシン					1オ3	
50-035-01	論語_京大清家文庫蔵_宣賢点	15	7	進	進	先進	先進			2				〔墨〕シン	〔墨〕センシン					1オ3	
50-035-01	論語_京大清家文庫蔵_宣賢点	16	8	陳	陳	陳	陳			1				〔墨〕チン	〔墨〕チン					1オ4	
50-035-01	論語_京大清家文庫蔵_宣賢点	17	9	蔡	蔡	蔡	蔡			1				〔墨〕サイ	〔墨〕サイ					1オ4	
50-035-01	論語_京大清家文庫蔵_宣賢点	18	10	徳	徳	徳行	徳行			1				〔墨〕トク・〔朱〕トツ	〔墨〕トクカウ・〔朱〕トツ					1オ4	
50-035-01	論語_京大清家文庫蔵_宣賢点	19	10	行	行	徳行	徳行			2				〔墨〕カウ	〔墨〕トクカウ・〔朱〕トツ					1オ4	
50-035-01	論語_京大清家文庫蔵_宣賢点	20	11	顔	顔	顔淵	顔淵			1				〔墨〕カン	〔墨〕カンエン					1オ4	
50-035-01	論語_京大清家文庫蔵_宣賢点	21	11	淵	淵	顔淵	顔淵			2				〔墨〕エン	〔墨〕カンエン					1オ4	
50-035-01	論語_京大清家文庫蔵_宣賢点	22	12	閔	閔	閔子騫	閔子騫			1				〔墨〕ビン	〔墨〕ビンシケン					1オ4	
