資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	位置	単字長さ	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	単字_alphabet
50-041-01	邦訳日葡辞書	1	1	阿	阿	阿鼻地獄	阿鼻地獄	abigigocu		1	1			ア	アビヂゴク					007r		a
50-041-01	邦訳日葡辞書	2	1	鼻	鼻	阿鼻地獄	阿鼻地獄	abigigocu		2	1			ビ	アビヂゴク					007r		bi
50-041-01	邦訳日葡辞書	3	1	地	地	阿鼻地獄	阿鼻地獄	abigigocu		3	1			ヂ	アビヂゴク					007r		gi
50-041-01	邦訳日葡辞書	4	1	獄	獄	阿鼻地獄	阿鼻地獄	abigigocu		4	2			ゴク	アビヂゴク					007r		gocu
50-041-01	邦訳日葡辞書	5	2	氣	気	油氣	油気	aburaqe	混種語	2	1			ケ	アブラケ				見出し語出現形：aburaqeno mono	008l		qe
50-041-01	邦訳日葡辞書	6	3	昆	昆	炙昆布	炙昆布	aburicobu	混種語	2	1			コ	アブリコブ					008r		co
50-041-01	邦訳日葡辞書	7	3	布	布	炙昆布	炙昆布	aburicobu	混種語	3	1			ブ	アブリコブ					008r		bu
50-041-01	邦訳日葡辞書	8	4	豆	豆	炙豆腐	炙豆腐	aburid_fu	混種語	2	2			ドゥ	アブリドゥフ					009l†		d_
50-041-01	邦訳日葡辞書	9	4	腐	腐	炙豆腐	炙豆腐	aburid_fu	混種語	3	1			フ	アブリドゥフ					009l†		fu
50-041-01	邦訳日葡辞書	10	5	閼	閼	閼伽	閼伽	aca		1	1			ア	アカ					009l	"複合派生項目：acadana, acamizzu"	a
50-041-01	邦訳日葡辞書	11	5	伽	伽	閼伽	閼伽	aca		2	1			カ	アカ					009l	"複合派生項目：acadana, acamizzu"	ca
50-041-01	邦訳日葡辞書	12	6	閼	閼	閼伽陀	閼伽陀	acada		1	1			ア	アカダ					009l		a
50-041-01	邦訳日葡辞書	13	6	伽	伽	閼伽陀	閼伽陀	acada		2	1			カ	アカダ					009l		ca
50-041-01	邦訳日葡辞書	14	6	陀	陀	閼伽陀	閼伽陀	acada		3	1			ダ	アカダ					009l		da
50-041-01	邦訳日葡辞書	15	7	大	大	赤大根	赤大根	acadaicon	混種語	2	2			ダイ	アカダイコン					009l		dai
50-041-01	邦訳日葡辞書	16	7	根	根	赤大根	赤大根	acadaicon	混種語	3	2			コン	アカダイコン					009l		con
50-041-01	邦訳日葡辞書	17	8	阿	阿	阿伽陀圓	阿伽陀円	acadayen		1	1			ア	アカダエン					009l		a
50-041-01	邦訳日葡辞書	18	8	伽	伽	阿伽陀圓	阿伽陀円	acadayen		2	1			カ	アカダエン					009l		ca
50-041-01	邦訳日葡辞書	19	8	陀	陀	阿伽陀圓	阿伽陀円	acadayen		3	1			ダ	アカダエン					009l		da
50-041-01	邦訳日葡辞書	20	8	圓	円	阿伽陀圓	阿伽陀円	acadayen		4	2			エン	アカダエン					009l		yen
50-041-01	邦訳日葡辞書	21	9	細	細	銅細工	銅細工	acaganezaicu	混種語	2	2			ザイ	アカガネザイク					009r†		zai
50-041-01	邦訳日葡辞書	22	9	工	工	銅細工	銅細工	acaganezaicu	混種語	3	1			ク	アカガネザイク					009r†		cu
