資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
50-047-01	中庸章句_京大清家文庫蔵_宣賢点	1	1	中	中	中庸	中庸			1				チウ	チウヨウ					1オ1	
50-047-01	中庸章句_京大清家文庫蔵_宣賢点	2	1	庸	庸	中庸	中庸			2				ヨウ	チウヨウ					1オ1	
50-047-01	中庸章句_京大清家文庫蔵_宣賢点	3	2	章	章	章句	章句			1				シヤウ	シヤウク					1オ1	
50-047-01	中庸章句_京大清家文庫蔵_宣賢点	4	2	句	句	章句	章句			2				ク	シヤウク					1オ1	
50-047-01	中庸章句_京大清家文庫蔵_宣賢点	5	3	序	序	序	序			1				シヨ	シヨ				「清」注記	1オ1	
50-047-01	中庸章句_京大清家文庫蔵_宣賢点	6	4	中	中	中庸	中庸			1				チウ	チウヨウ					1オ2	
50-047-01	中庸章句_京大清家文庫蔵_宣賢点	7	4	庸	庸	中庸	中庸			2				ヨウ	チウヨウ					1オ2	
50-047-01	中庸章句_京大清家文庫蔵_宣賢点	8	5	作	作	作	作セル			1				サク	サク					1オ2	
50-047-01	中庸章句_京大清家文庫蔵_宣賢点	9	6	子	子	子思子	子思子			1				シ	シシシ					1オ2	
50-047-01	中庸章句_京大清家文庫蔵_宣賢点	10	6	思	思	子思子	子思子			2				シ	シシシ					1オ2	
50-047-01	中庸章句_京大清家文庫蔵_宣賢点	11	6	子	子	子思子	子思子			3				シ	シシシ					1オ2	
50-047-01	中庸章句_京大清家文庫蔵_宣賢点	12	7	道	道	道學	道學			1				タウ	タウカク				「清」注記	1オ2	
50-047-01	中庸章句_京大清家文庫蔵_宣賢点	13	7	學	學	道學	道學			2				カク	タウカク				「清」注記	1オ2	
50-047-01	中庸章句_京大清家文庫蔵_宣賢点	14	8	傳	傳	傳	傳			1				テン	テン				「清」注記	1オ3	
50-047-01	中庸章句_京大清家文庫蔵_宣賢点	15	9	作	作	作	作セリ			1				サク	サク					1オ3	
50-047-01	中庸章句_京大清家文庫蔵_宣賢点	16	10	上	上	上古	上古			1				シヤウ	シヤウコ				「清」注記	1オ3	
50-047-01	中庸章句_京大清家文庫蔵_宣賢点	17	10	古	古	上古	上古			2				コ	シヤウコ					1オ3	
50-047-01	中庸章句_京大清家文庫蔵_宣賢点	18	11	聖	聖	聖神	聖神			1				セイ	セイシン					1オ3	
50-047-01	中庸章句_京大清家文庫蔵_宣賢点	19	11	神	神	聖神	聖神			2				シン	セイシン				「清」注記	1オ3	
50-047-01	中庸章句_京大清家文庫蔵_宣賢点	20	12	天	天	天	天			1				テン	テン					1オ3	
50-047-01	中庸章句_京大清家文庫蔵_宣賢点	21	13	極	極	極	極			1				キヨク	キヨク					1オ3	
50-047-01	中庸章句_京大清家文庫蔵_宣賢点	22	14	道	道	道統	道統			1				タウ	タウトウ				「清」注記	1オ4	
50-047-01	中庸章句_京大清家文庫蔵_宣賢点	23	14	統	統	道統	道統			2				トウ	タウトウ					1オ4	
