資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	単字_alphabet
50-055-01	ドチリーナ・キリシタン_東洋文庫	1	1	日	日	日本	日本	nippon		1				ニッ	ニッポン					扉1		nip
50-055-01	ドチリーナ・キリシタン_東洋文庫	2	1	本	本	日本	日本	nippon		2				ポン	ニッポン					扉1		pon
50-055-01	ドチリーナ・キリシタン_東洋文庫	3	2	相	相	相當	相當	sǒtǒ		1				サゥ	サゥタゥ					扉3		sǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	4	2	當	當	相當	相當	sǒtǒ		2				タゥ	サゥタゥ					扉3		tǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	5	3	問	問	問答	問答	mondǒ		1				モン	モンダゥ					扉4		mon
50-055-01	ドチリーナ・キリシタン_東洋文庫	6	3	答	答	問答	問答	mondǒ		2				ダゥ	モンダゥ					扉4		dǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	7	4	次	次	次第	次第	xidai		1				シ	シダイ					扉4		xi
50-055-01	ドチリーナ・キリシタン_東洋文庫	8	4	第	第	次第	次第	xidai		2				ダイ	シダイ					扉4		dai
50-055-01	ドチリーナ・キリシタン_東洋文庫	9	5	版	版	版	版	fan		1				ハン	ハン					扉8		fan
50-055-01	ドチリーナ・キリシタン_東洋文庫	10	6	御	御	御出世	御出世	goxuxxe		1				ゴ	ゴシュッセ					扉9		go
50-055-01	ドチリーナ・キリシタン_東洋文庫	11	6	出	出	御出世	御出世	goxuxxe		2				シュッ	ゴシュッセ					扉9		xux
50-055-01	ドチリーナ・キリシタン_東洋文庫	12	6	世	世	御出世	御出世	goxuxxe		3				セ	ゴシュッセ					扉9		xe
50-055-01	ドチリーナ・キリシタン_東洋文庫	13	7	年	年	年紀	年紀	nenqi		1				ネン	ネンキ					扉9		nen
50-055-01	ドチリーナ・キリシタン_東洋文庫	14	7	紀	紀	年紀	年紀	nenqi		2				キ	ネンキ					扉9		qi
50-055-01	ドチリーナ・キリシタン_東洋文庫	15	8	序	序	序	序	jo		1				ジョ	ジョ					序オ02		jo
50-055-01	ドチリーナ・キリシタン_東洋文庫	16	9	御	御	御在世	御在世	gozaixe		1				ゴ	ゴザイセ					序オ03		go
50-055-01	ドチリーナ・キリシタン_東洋文庫	17	9	在	在	御在世	御在世	gozaixe		2				ザイ	ゴザイセ					序オ03		zai
50-055-01	ドチリーナ・キリシタン_東洋文庫	18	9	世	世	御在世	御在世	gozaixe		3				セ	ゴザイセ					序オ03		xe
50-055-01	ドチリーナ・キリシタン_東洋文庫	19	10	弟	弟	御弟子達	御弟子達	midexi tachi	混種語	2				デ	ミデシタチ					序オ04		de
50-055-01	ドチリーナ・キリシタン_東洋文庫	20	10	子	子	御弟子達	御弟子達	midexi tachi	混種語	3				シ	ミデシタチ					序オ04		xi
50-055-01	ドチリーナ・キリシタン_東洋文庫	21	10	達	達	御弟子達	御弟子達	midexi tachi	混種語	4				タチ	ミデシタチ					序オ04		tachi
50-055-01	ドチリーナ・キリシタン_東洋文庫	22	11	一	一	一切	一切	issai		1				イッ	イッサイ					序オ06		is
50-055-01	ドチリーナ・キリシタン_東洋文庫	23	11	切	切	一切	一切	issai		2				サイ	イッサイ					序オ06		sai
50-055-01	ドチリーナ・キリシタン_東洋文庫	24	12	人	人	人間	人間	ninguen		1				ニン	ニンゲン					序オ06		nin
50-055-01	ドチリーナ・キリシタン_東洋文庫	25	12	間	間	人間	人間	ninguen		2				ゲン	ニンゲン					序オ06		guen
50-055-01	ドチリーナ・キリシタン_東洋文庫	26	13	後	後	後生	後生	goxǒ		1				ゴ	ゴシャゥ					序オ06		go
50-055-01	ドチリーナ・キリシタン_東洋文庫	27	13	生	生	後生	後生	goxǒ		2				シャゥ	ゴシャゥ					序オ06		xǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	28	14	學	學	學者達	學者達	gacuxa tachi		1				ガク	ガクシャタチ					序オ08	バチカン本「がく者達」（005-06)	gacu
50-055-01	ドチリーナ・キリシタン_東洋文庫	29	14	者	者	學者達	學者達	gacuxa tachi		2				シャ	ガクシャタチ					序オ08	バチカン本「がく者達」（005-06)	xa
50-055-01	ドチリーナ・キリシタン_東洋文庫	30	14	達	達	學者達	學者達	gacuxa tachi		3				タチ	ガクシャタチ					序オ08	バチカン本「がく者達」（005-06)	tachi
50-055-01	ドチリーナ・キリシタン_東洋文庫	31	15	信	信	信じ	信じ	xinji	混種語	1				シン	シンジ					序オ10		xin
50-055-01	ドチリーナ・キリシタン_東洋文庫	32	16	存	存	存じ	存じ	zonji	混種語	1				ゾン	ゾンジ					序オ11	バチカン本「ぞんじ」（005-08）	zon
50-055-01	ドチリーナ・キリシタン_東洋文庫	33	17	信	信	信じ	信じ	xinji	混種語	1				シン	シンジ					序オ13		xin
50-055-01	ドチリーナ・キリシタン_東洋文庫	34	18	善	善	善	善	jen		1				ゼン	ゼン					序オ13		jen
50-055-01	ドチリーナ・キリシタン_東洋文庫	35	19	人	人	人間	人間	ninguen		1				ニン	ニンゲン					序オ14		nin
50-055-01	ドチリーナ・キリシタン_東洋文庫	36	19	間	間	人間	人間	ninguen		2				ゲン	ニンゲン					序オ14		guen
50-055-01	ドチリーナ・キリシタン_東洋文庫	37	20	分	分	分別	分別	funbet		1				フン	フンベっ					序オ14		fun
50-055-01	ドチリーナ・キリシタン_東洋文庫	38	20	別	別	分別	分別	funbet		2				ベっ	フンベっ					序オ14		bet
50-055-01	ドチリーナ・キリシタン_東洋文庫	39	21	後	後	後生	後生	goxǒ		1				ゴ	ゴシャゥ					序オ16		go
50-055-01	ドチリーナ・キリシタン_東洋文庫	40	21	生	生	後生	後生	goxǒ		2				シャゥ	ゴシャゥ					序オ16		xǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	41	22	善	善	善	善	jen		1				ゼン	ゼン					序オ17		jen
50-055-01	ドチリーナ・キリシタン_東洋文庫	42	23	約	約	御約束	御約束	von yacusocu	混種語	2				ヤク	ヲンヤクソク					序オ19	バチカン本「御やくそく」006-01	yacu
50-055-01	ドチリーナ・キリシタン_東洋文庫	43	23	束	束	御約束	御約束	von yacusocu	混種語	3				ソク	ヲンヤクソク					序オ19	バチカン本「御やくそく」006-01	socu
50-055-01	ドチリーナ・キリシタン_東洋文庫	44	24	義	義	義	義	gui		1				ギ	ギ					序オ20	バチカン本「儀」006-01	gui
50-055-01	ドチリーナ・キリシタン_東洋文庫	45	25	難	難	難儀	難儀	nangui		1				ナン	ナンギ					序オ20	バチカン本「なんぎ」006-02	
50-055-01	ドチリーナ・キリシタン_東洋文庫	46	25	儀	儀	難儀	難儀	nangui		2				ギ	ナンギ					序オ20	バチカン本「なんぎ」006-02	gui
50-055-01	ドチリーナ・キリシタン_東洋文庫	47	26	善	善	善	善	jen		1				ゼン	ゼン					序ウ2		jen
50-055-01	ドチリーナ・キリシタン_東洋文庫	48	27	善	善	善	善	jen		1				ゼン	ゼン					序ウ4		jen
50-055-01	ドチリーナ・キリシタン_東洋文庫	49	28	學	學	學者	學者	gacuxa		1				ガク	ガクシャ					序ウ6	バチカン本「がくしや」006-08	gacu
50-055-01	ドチリーナ・キリシタン_東洋文庫	50	28	者	者	學者	學者	gacuxa		2				シャ	ガクシャ					序ウ6	バチカン本「がくしや」006-08	xa
50-055-01	ドチリーナ・キリシタン_東洋文庫	51	29	善	善	善人達	善人達	jennin tachi		1				ゼン	ゼンニンタチ					序ウ7		jen
50-055-01	ドチリーナ・キリシタン_東洋文庫	52	29	人	人	善人達	善人達	jennin tachi		2				ニン	ゼンニンタチ					序ウ7		nin
50-055-01	ドチリーナ・キリシタン_東洋文庫	53	29	達	達	善人達	善人達	jennin tachi		3				タチ	ゼンニンタチ					序ウ7		tachi
50-055-01	ドチリーナ・キリシタン_東洋文庫	54	30	義	義	義	義	gui		1				ギ	ギ					序ウ7	バチカン本「儀」006-09	gui
50-055-01	ドチリーナ・キリシタン_東洋文庫	55	31	經	經	經	經	qiǒ		1				キャゥ	キャゥ					序ウ8		qiǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	56	32	肝	肝	肝要	肝要	canyô		1				カン	カンヨゥ					序ウ8		can
50-055-01	ドチリーナ・キリシタン_東洋文庫	57	32	要	要	肝要	肝要	canyô		2				ヨゥ	カンヨゥ					序ウ8		yô
50-055-01	ドチリーナ・キリシタン_東洋文庫	58	33	版	版	版	版	fan		1				ハン	ハン					序ウ9	バチカン本「はん」006-11	fan
50-055-01	ドチリーナ・キリシタン_東洋文庫	59	34	後	後	後生	後生	goxǒ		1				ゴ	ゴシャゥ					序ウ11		go
50-055-01	ドチリーナ・キリシタン_東洋文庫	60	34	生	生	後生	後生	goxǒ		2				シャゥ	ゴシャゥ					序ウ11		xǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	61	35	經	經	經	經	qiǒ		1				キャゥ	キャゥ					序ウ13		qiǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	62	36	上	上	上下	上下	iǒgue		1				ジャゥ	ジャゥゲ					序ウ15		iǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	63	36	下	下	上下	上下	iǒgue		2				ゲ	ジャゥゲ					序ウ15		gue
