資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
70-042-01	和英語林集成第三版	1	1	婀	婀	婀娜	婀娜	ADA		1	1			ア	アダ					2	
70-042-01	和英語林集成第三版	2	1	娜	娜	婀娜	婀娜	ADA		2	1			ダ	アダ					2	
70-042-01	和英語林集成第三版	3	2	亞	亜	亞鉛	亜鉛	AEN		1	1			ア	アエン					3	
70-042-01	和英語林集成第三版	4	2	鉛	鉛	亞鉛	亜鉛	AEN		2	2			エン	アエン					3	
70-042-01	和英語林集成第三版	5	3	阿	阿	阿魏	阿魏	AGI		1	1			ア	アギ					5	
70-042-01	和英語林集成第三版	6	3	魏	魏	阿魏	阿魏	AGI		2	1			ギ	アギ					5	
70-042-01	和英語林集成第三版	7	4	阿	阿	阿片	阿片	AHEN		1	1			ア	アヘン					5	
70-042-01	和英語林集成第三版	8	4	片	片	阿片	阿片	AHEN		2	2			ヘン	アヘン					5	
70-042-01	和英語林集成第三版	9	5	阿	阿	阿呆	阿呆	AH_		1	1			ア	アホウ					5	
70-042-01	和英語林集成第三版	10	5	呆	呆	阿呆	阿呆	AH_		2	2			ホウ	アホウ					5	
70-042-01	和英語林集成第三版	11	6	哀	哀	哀	哀	AI		1	2			アイ	アイ					5	
70-042-01	和英語林集成第三版	12	7	愛	愛	愛	愛	AI		1	2			アイ	アイ					5	
70-042-01	和英語林集成第三版	13	8	相	相	相番	相番	AIBAN	混種語	1	2			アヒ	アヒバン					6	
70-042-01	和英語林集成第三版	14	8	番	番	相番	相番	AIBAN	混種語	2	2			バン	アヒバン					6	
70-042-01	和英語林集成第三版	15	9	哀	哀	哀別	哀別	AIBETSU		1	2			アイ	アイベツ					6	
70-042-01	和英語林集成第三版	16	9	別	別	哀別	哀別	AIBETSU		2	2			ベツ	アイベツ					6	
70-042-01	和英語林集成第三版	17	10	哀	哀	哀慟	哀慟	AID_		1	2			アイ	アイドウ					6	
70-042-01	和英語林集成第三版	18	10	慟	慟	哀慟	哀慟	AID_		2	2			ドウ	アイドウ					6	
70-042-01	和英語林集成第三版	19	11	愛	愛	愛翫	愛翫	AIGWAN		1	2			アイ	アイグワン					6	
70-042-01	和英語林集成第三版	20	11	翫	翫	愛翫	愛翫	AIGWAN		2	2			グワン	アイグワン					6	
70-042-01	和英語林集成第三版	21	12	愛	愛	愛敬	愛敬	AIGY_		1	2			アイ	アイキヤウ					6	
70-042-01	和英語林集成第三版	22	12	敬	敬	愛敬	愛敬	AIGY_		2	2			キヤウ	アイキヤウ					6	
70-042-01	和英語林集成第三版	23	13	愛	愛	愛著	愛著	AIJAKU		1	2			アイ	アイジアク					6	
70-042-01	和英語林集成第三版	24	13	著	著	愛著	愛著	AIJAKU		2	2			ジアク	アイジアク					6	
70-042-01	和英語林集成第三版	25	15	哀	哀	哀傷	哀傷	AIJ_		1	2			アイ	アイジヤウ					6	
70-042-01	和英語林集成第三版	26	15	傷	傷	哀傷	哀傷	AIJ_		2	2			ジヤウ	アイジヤウ					6	
70-042-01	和英語林集成第三版	27	14	愛	愛	愛情	愛情	AIJ_		1	2			アイ	アイジヤウ					6	
70-042-01	和英語林集成第三版	28	14	情	情	愛情	愛情	AIJ_		2	2			ジヤウ	アイジヤウ					6	
70-042-01	和英語林集成第三版	29	16	合	合	合証文	合証文	AIJ_MON	混種語	1	2			アヒ	アヒジヤウモン					6	
70-042-01	和英語林集成第三版	30	16	証	証	合証文	合証文	AIJ_MON	混種語	2	2			ジヤウ	アヒジヤウモン					6	
70-042-01	和英語林集成第三版	31	16	文	文	合証文	合証文	AIJ_MON	混種語	3	2			モン	アヒジヤウモン					6	
70-042-01	和英語林集成第三版	32	17	哀	哀	哀哭	哀哭	AIKOKU		1	2			アイ	アイコク					6	
70-042-01	和英語林集成第三版	33	17	哭	哭	哀哭	哀哭	AIKOKU		2	2			コク	アイコク					6	
70-042-01	和英語林集成第三版	34	18	愛	愛	愛國	愛国	AIKOKU		1	2			アイ	アイコク					6	
