資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
70-054-01	和仏小辞典_神戸大学	1	1	婀	婀	婀娜	婀娜	ada		1									a	3	
70-054-01	和仏小辞典_神戸大学	2	1	娜	娜	婀娜	婀娜	ada		2									da	3	
70-054-01	和仏小辞典_神戸大学	3	2	亞	亜	亞鉛	亜鉛	aen		1									a	3	
70-054-01	和仏小辞典_神戸大学	4	2	鉛	鉛	亞鉛	亜鉛	aen		2									en	3	
70-054-01	和仏小辞典_神戸大学	5	3	阿	阿	阿片	阿片	ahen		1									a	5	
70-054-01	和仏小辞典_神戸大学	6	3	片	片	阿片	阿片	ahen		2									hen	5	
70-054-01	和仏小辞典_神戸大学	7	4	阿	阿	阿呆	阿呆	ahō		1									a	5	
70-054-01	和仏小辞典_神戸大学	8	4	呆	呆	阿呆	阿呆	ahō		2									hō	5	
70-054-01	和仏小辞典_神戸大学	9	5	阿	阿	阿房	阿房	ahō		1									a	5	
70-054-01	和仏小辞典_神戸大学	10	5	房	房	阿房	阿房	ahō		2									hō	5	
70-054-01	和仏小辞典_神戸大学	11	6	愛	愛	愛	愛	ai		1									ai	6	
70-054-01	和仏小辞典_神戸大学	12	7	愛	愛	愛縁氣縁	愛縁気縁	aienkien		1									ai	6	
70-054-01	和仏小辞典_神戸大学	13	7	縁	縁	愛縁氣縁	愛縁気縁	aienkien		2									en	6	
70-054-01	和仏小辞典_神戸大学	14	7	氣	気	愛縁氣縁	愛縁気縁	aienkien		3									ki	6	
70-054-01	和仏小辞典_神戸大学	15	7	縁	縁	愛縁氣縁	愛縁気縁	aienkien		4									en	6	
70-054-01	和仏小辞典_神戸大学	16	8	愛	愛	愛敬	愛敬	aigyō		1									ai	6	
70-054-01	和仏小辞典_神戸大学	17	8	敬	敬	愛敬	愛敬	aigyō		2									gyō	6	
70-054-01	和仏小辞典_神戸大学	18	9	愛	愛	愛情	愛情	aijō		1									ai	7	
70-054-01	和仏小辞典_神戸大学	19	9	情	情	愛情	愛情	aijō		2									jō	7	
70-054-01	和仏小辞典_神戸大学	20	10	愛	愛	愛孃	愛嬢	aijō		1									ai	7	
70-054-01	和仏小辞典_神戸大学	21	10	孃	嬢	愛孃	愛嬢	aijō		2									jō	7	
70-054-01	和仏小辞典_神戸大学	22	11	愛	愛	愛國	愛国	aikoku		1									ai	7	
70-054-01	和仏小辞典_神戸大学	23	11	國	国	愛國	愛国	aikoku		2									koku	7	
70-054-01	和仏小辞典_神戸大学	24	12	愛	愛	愛郷	愛郷	aikyō		1									ai	7	
70-054-01	和仏小辞典_神戸大学	25	12	郷	郷	愛郷	愛郷	aikyō		2									kyō	7	
70-054-01	和仏小辞典_神戸大学	26	13	愛	愛	愛敬	愛敬	aikyō		1									ai	7	
70-054-01	和仏小辞典_神戸大学	27	13	敬	敬	愛敬	愛敬	aikyō		2									kyō	7	
70-054-01	和仏小辞典_神戸大学	28	14	曖	曖	曖昧	曖昧	aimai		1									ai	7	
70-054-01	和仏小辞典_神戸大学	29	14	昧	昧	曖昧	曖昧	aimai		2									mai	7	
70-054-01	和仏小辞典_神戸大学	30	15	愛	愛	愛	愛	ai		1									ai	8	愛らしい
70-054-01	和仏小辞典_神戸大学	31	16	挨	挨	挨拶	挨拶	aisatsu		1									ai	8	
70-054-01	和仏小辞典_神戸大学	32	16	拶	拶	挨拶	挨拶	aisatsu		2									satsu	8	
70-054-01	和仏小辞典_神戸大学	33	17	愛	愛	愛心	愛心	aishin		1									ai	8	
70-054-01	和仏小辞典_神戸大学	34	17	心	心	愛心	愛心	aishin		2									shin	8	
70-054-01	和仏小辞典_神戸大学	35	18	愛	愛	愛執	愛執	aishū		1									ai	8	
70-054-01	和仏小辞典_神戸大学	36	18	執	執	愛執	愛執	aishū		2									shū	8	
70-054-01	和仏小辞典_神戸大学	37	19	愛	愛	愛相	愛相	aisō		1									ai	8	
70-054-01	和仏小辞典_神戸大学	38	19	相	相	愛相	愛相	aisō		2									sō	8	
70-054-01	和仏小辞典_神戸大学	39	20	愛	愛	愛ス	愛ス	ai		1									ai	8	
70-054-01	和仏小辞典_神戸大学	40	21	愛	愛	愛友	愛友	aiyū		1									ai	9	
70-054-01	和仏小辞典_神戸大学	41	21	友	友	愛友	愛友	aiyū		2									yū	9	
